категорія	kategorii	категорія	kategoria	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
від	from	від	from	ADP;GEN	
від	vid	від	vid	ADP;GEN	V;IPFV;IMP;SG;2;FIN;ACT
для	na	для	na	ADP;GEN	INTJ
для	za	для	za	ADP;GEN	PART
також	także	також	także	ADV	PART
також	też	також	też	ADV	PART
також	również	також	również	ADV	PART
його	jego	він	on	PRO;ACC;MASC;SG;3	PRO;GEN;MASC;SG;3
його	jego	він	on	PRO;ACC;MASC;SG;3	PRO;GEN;MASC;SG;3
населення	demografii	населення	demografia	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
населення	demograficzne	населення	demograficzny	N;INAN;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
населення	populacji	населення	populacja	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
він	wien	він	wien	PRO;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
після	after	після	after	ADP;GEN	
після	po	після	po	ADP;GEN	INTJ
час	razy	час	raz	N;INAN;NOM;MASC;SG	N;ACC;MASC;PL
час	times	час	times	N;INAN;NOM;MASC;SG	
час	czasy	час	czas	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
час	czasu	час	czas	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
області	tereny	область	teren	N;INAN;GEN;FEM;SG	N;NOM;MASC;PL
області	obszary	область	obszar	N;INAN;GEN;FEM;SG	N;NOM;MASC;PL
області	obszarach	область	obszary	N;INAN;GEN;FEM;SG	N;GEN;MASC;PL
області	powierzchnie	область	powierzchnie	N;INAN;GEN;FEM;SG	N;NOM;FEM;PL
які	które	який	który	DET;NOM;PL	DET;ACC;MASC;SG
які	która	який	który	DET;NOM;PL	DET;NOM;FEM;SG
які	który	який	który	DET;NOM;PL	DET;NOM;MASC;SG
при	pri	при	prić	ADP;ESS	PROPN;NOM;MASC;SG
який	które	який	który	DET;NOM;MASC;SG	DET;ACC;MASC;SG
який	która	який	który	DET;NOM;MASC;SG	DET;NOM;FEM;SG
який	który	який	który	DET;NOM;MASC;SG	DET;NOM;MASC;SG
були	były	бути	być	V;IPFV;IND;PL;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
осіб	osoby	особа	osoba	N;ANIM;ACC;FEM;PL	N;NOM;FEM;PL
міста	miasta	місто	miasto	N;INAN;NOM;NEUT;SG	N;GEN;NEUT;SG
див	patrz	див.	patrzeć		V;IPFV;IMP;SG;2;FIN;ACT
див	zobacz	див.	zobaczyć		V;PFV;IMP;SG;2;FIN;ACT
село	selo	село	selo	N;INAN;NOM;NEUT;SG	
село	wiosce	село	wioska	N;INAN;NOM;NEUT;SG	N;DAT;FEM;SG
