del	del	del	del	ADP;MASC;SG	
con	함께	con	함께	ADP	ADV
una	하나	uno	하나	DET;INDF;FEM;SG	
más	기타	más	기타	ADV	N
sus	그들의	su	그+들+의	DET;PL;3	PRO
sus	그의	su	그+의	DET;PL;3	PRO
también	또한	también	또한	ADV	CONJ
este	이거	este	이거	PRO;MASC;SG	
este	동부	este	동부	PRO;MASC;SG	N
este	이스트	este	이스트	PRO;MASC;SG	
este	동쪽	este	동+쪽	PRO;MASC;SG	
pero	근데	pero	근데	CONJ	
años	수년	año	수년	N;MASC;PL	
dos	dos	dos	dos	NUM;PL	
dos	두두	dos	두두	NUM;PL	
dos	두분	dos	두분	NUM;PL	
sobre	소개	sobre	소개	ADP	N
sobre	대략	sobre	대략	ADP	
sobre	봉투	sobre	봉투	ADP	N
año	year	año	year	N;MASC;SG	
año	연도	año	연도	N;MASC;SG	
desde	언제부터	desde	언제+부터	ADP	
desde	이후	desde	이후	ADP	N
desde	이후부터	desde	이후+부터	ADP	ADV
desde	출신	desde	출신	ADP	N
esta	이거	este	이거	PRO;FEM;SG	
enlaces	링크	enlace	링크	N;MASC;PL	
hasta	심지어	hasta	심지어	ADP	ADV
hasta	조차도	hasta	조차도	ADP	
externos	외부	externo	외부	ADJ;MASC;PL	
ciudad	타운	ciudad	타우+ㄴ	N;FEM;SG	
ciudad	시티	ciudad	시티	N;FEM;SG	
ciudad	시우	ciudad	시우	N;FEM;SG	
parte	party	parte	party	N;FEM;SG	
parte	파트	parte	파트	N;FEM;SG	
sin	without	sin	without	ADP	
sin	sin	sin	sin	ADP	
donde	어디서	donde	어디+서	PRO	ADV
donde	어디	donde	어디	PRO	
donde	어디에	donde	어디+에	PRO	ADV
donde	어디로	donde	어디+로	PRO	ADV
san	세인트	san	세인트	N;MASC;SG	
nacional	국립	nacional	국립	ADJ;SG	N
nacional	내셔널	nacional	내+시+어+요+ㄴ	ADJ;SG	
nacional	국민	nacional	국민	ADJ;SG	N
primera	우선	primero	우선	ADJ;FEM;SG	ADV
primera	퍼스트	primero	퍼스트	ADJ;FEM;SG	
primera	처음	primero	처음	ADJ;FEM;SG	N
primera	먼저	primero	먼저	ADJ;FEM;SG	ADV
team	team	team	team	N	
cuando	언제쯤	cuando	언제+쯤	CONJ	N
cuando	언제	cuando	언제	CONJ	
utc	utc	utc	utc	N	
utc	표준시	utc	표준시	N	
españa	스페인인	españa	스페인인	N;FEM;SG	
españa	스페인	españa	스페인	N;FEM;SG	PROPN
otros	기타	otro	기타	PRO;MASC;PL	N
otros	다른	otro	다르+ㄴ	PRO;MASC;PL	ADJ
otros	기타	otro	기타	PRO;MASC;PL	N
gran	그랜드	gran	그랜드	ADJ;SG	
unidos	united	unido	united	ADJ;MASC;PL;V.PTCP	
unidos	유나이티드	unido	유나이티드	ADJ;MASC;PL;V.PTCP	PROPN
uno	uno	uno	uno	PRO;MASC;SG	
uno	하나	uno	하나	PRO;MASC;SG	
lugar	위치	lugar	위치	N;MASC;SG	
primer	우선	primero	우선	ADJ;MASC;SG	ADV
primer	퍼스트	primero	퍼스트	ADJ;MASC;SG	
primer	처음	primero	처음	ADJ;MASC;SG	N
primer	먼저	primero	먼저	ADJ;MASC;SG	ADV
mismo	동일	mismo	동일	ADJ;MASC;SG	
mismo	똑같이	mismo	똑같이	ADJ;MASC;SG	ADV
historia	히스토리	historia	히스토리	N;FEM;SG	
club	클럽	club	클럽	N;MASC;SG	
cual	어느	cual	어느	PRO;SG	DET
universidad	칼리지	universidad	칼리+지	N;FEM;SG	
universidad	대학생	universidad	대학생	N;FEM;SG	
forma	형식	forma	형식	N;FEM;SG	
tres	tres	tres	tres	NUM;PL	
grupo	그룹	grupo	그룹	N;MASC;SG	
general	일반인	general	일반+이+ㄴ	N;SG	
aunque	비록	aunque	비록	CONJ	ADV
familia	가족	familia	가족	N;FEM;SG	
familia	가족	familia	가족	N;FEM;SG	
familia	가족과	familia	가족+과	N;FEM;SG	CONJ
familia	패밀리	familia	패밀리	N;FEM;SG	
además	또한	además	또한	ADV	CONJ
además	플러스	además	플러스	ADV	
todo	모두	todo	모두	PRO;MASC;SG	ADV
todo	전체	todo	전체	PRO;MASC;SG	N
sur	남부	sur	남부	N;MASC;SG	
sur	남방	sur	남방	N;MASC;SG	
sur	sur	sur	sur	N;MASC;SG	
sur	남부	sur	남부	N;MASC;SG	
sur	사우스	sur	사우스	N;MASC;SG	
sur	남쪽	sur	남+쪽	N;MASC;SG	
mayor	전공	mayor	전공	ADJ;SG	N
mayor	메이저	mayor	메이저	ADJ;SG	
tiempo	타임	tiempo	타임	N;MASC;SG	
tiempo	time	tiempo	time	N;MASC;SG	
partido	party	partido	party	N;MASC;SG	
partido	일치하기	partido	일치+하+기	N;MASC;SG	V
partido	일치합니다	partido	일치+하+ㅂ니다	N;MASC;SG	V
partido	매치	partido	매치	N;MASC;SG	
partido	일치	partido	일치	N;MASC;SG	
contra	카운터	contra	카운터	ADP	
contra	콘트라	contra	콘트라	ADP	
otras	기타	otro	기타	PRO;FEM;PL	N
otras	다른	otro	다르+ㄴ	PRO;FEM;PL	ADJ
otras	기타	otro	기타	PRO;FEM;PL	N
todos	everybody	todo	everybody	PRO;MASC;PL	
todos	다들	todo	다+들	PRO;MASC;PL	
todos	모두	todo	모두	PRO;MASC;PL	ADV
todos	전체	todo	전체	PRO;MASC;PL	N
todos	모두	todo	모두	PRO;MASC;PL	ADV
juan	조앤	juan	조앤	PROPN	N
josé	조셉	josé	조셉	PROPN	
josé	요제프	josé	요제프	PROPN	PROPN
josé	조제프	josé	조제프	PROPN	PROPN
josé	조지프	josé	조지프	PROPN	PROPN
josé	요셉	josé	요셉	PROPN	
bajo	낮은	bajo	낮+ㄴ	ADP	ADJ
bajo	낮음	bajo	낮+ㅁ	ADP	ADJ
bajo	low	bajo	low	ADP	
bajo	베이스	bajo	베이스	ADP	
bajo	배스	bajo	배스	ADP	
serie	시리즈	serie	시리즈	N;FEM;SG	
serie	시리얼	serie	시리얼	N;FEM;SG	
cada	꼴찌	cada	꼴찌	DET;SG	
cada	각각	cada	각각	DET;SG	ADV
equipo	team	equipo	team	N;MASC;SG	
norte	노스	norte	노스	N;MASC;SG	
río	리오	río	리오	N;MASC;SG	
méxico	멕시코	méxico	멕시코	N;MASC;SG	PROPN
han	한한	haber	한하+ㄴ	V;IND;PL;3;PRS;FIN	
argentina	아르헨티나	argentino	아르헨티나	ADJ;FEM;SG	PROPN
argentina	아르헨티나인	argentino	아르헨티나인	ADJ;FEM;SG	V
argentina	아르헨티나	argentino	아르헨티나	ADJ;FEM;SG	PROPN
argentina	아르헨티나인	argentino	아르헨티나인	ADJ;FEM;SG	V
inglés	영어	inglés	영어	N;MASC;SG	
inglés	잉글리시	inglés	잉글리시	N;MASC;SG	
septiembre	구월	septiembre	구월	N	
segunda	둘째	segundo	둘째	ADJ;FEM;SG	NUM
segunda	두번째	segundo	두번+째	ADJ;FEM;SG	N
discusión	토론	discusión	토론	N;FEM;SG	
gobierno	거버넌스	gobierno	거버넌스	N;MASC;SG	
final	끝내기	final	끝내+기	N;MASC;SG	V
final	피날레	final	피날레	N;MASC;SG	
final	파이널	final	파이널	N;MASC;SG	
final	파이널	final	파이널	N;MASC;SG	
vida	라이프	vida	라이프	N;FEM;SG	
personas	명인	persona	명인	N;FEM;PL	
español	스페인어	español	스페인어	N;MASC;SG	
centro	다운타운	centro	다운데우+ㄴ	N;MASC;SG	
centro	센터	centro	센터	N;MASC;SG	
centro	센터	centro	센터	N;MASC;SG	
julio	훌리오	julio	자리+오	N	PROPN
julio	줄리어스	julio	줄리어스	N	
lincoln	링컨	lincoln	링컨	N;MASC;SG	
país	시골	país	시골	N;MASC;SG	
país	컨트리	país	컨트리	N;MASC;SG	
mientras	동안	mientras	동안	CONJ	
web	웹사이트	web	웹사이트	N;FEM;SG	
web	웹툰	web	웹툰	N;FEM;SG	
internacional	국제	internacional	국제	ADJ;SG	
internacional	인터내셔널	internacional	인터+내러텔	ADJ;SG	
santa	거룩한	santo	거룩+하+ㄴ	ADJ;FEM;SG	V
santa	거룩	santo	거룩	ADJ;FEM;SG	
santa	세인트	santo	세인트	ADJ;FEM;SG	
santa	산타	santo	산타	ADJ;FEM;SG	
antes	아까	antes	아까	ADV	
antes	이전	antes	이전	ADV	N
oficial	공식	oficial	공식	ADJ;SG	N
oficial	official	oficial	official	ADJ;SG	
oficial	책임자	oficial	책임자	ADJ;SG	N
oficial	경관	oficial	경관	ADJ;SG	N
oficial	경찰관	oficial	경찰관	ADJ;SG	N
oficial	장교	oficial	장교	ADJ;SG	N
quien	who	quien	who	PRO;SG	
mundo	월드	mundo	월드	N;MASC;SG	
tanto	둘다	tanto	두+ㄴ다	ADV	
algunos	일부	alguno	일부	PRO;MASC;PL	N
temporada	시즌	temporada	시즌	N;FEM;SG	
hacia	향해	hacia	향하+어	ADP	
mejor	최고	mejor	최고	ADV	N
mejor	베스트	mejor	베스트	ADV	N
luego	그렇다면	luego	그렇다면	ADV	CONJ
luego	그러면	luego	그러면	ADV	CONJ
luego	그때	luego	그때	ADV	
marzo	행진곡	marzo	행진곡	N	
día	데이	día	데이	N;MASC;SG	
madrid	마드리드	madrid	마드리드	N;MASC;SG	PROPN
madrid	liverpool	madrid	liverpool	N;MASC;SG	
madrid	리버풀	madrid	리버풀	N;MASC;SG	PROPN
