ogas	bär	oga	bära	N;NOM;FEM;PL	V;IMP;FIN;ACT
plūdi	översvämning	plūdi	översvämning	N;NOM;MASC	N;NOM;INDF;MASC+FEM;SG
plūdi	översvämningar	plūdi	översvämning	N;NOM;MASC	N;NOM;INDF;MASC+FEM;PL
plūdi	översvämning	plūdi	översvämning	N;NOM;MASC	N;NOM;INDF;MASC+FEM;SG
plūdi	översvämningar	plūdi	översvämning	N;NOM;MASC	N;NOM;INDF;MASC+FEM;PL
plūdi	översvämning	plūdi	översvämning	N;NOM;MASC	N;NOM;INDF;MASC+FEM;SG
plūdi	översvämningarna	plūdi	översvämning	N;NOM;MASC	N;NOM;DEF;MASC+FEM;PL
plūdi	översvämningar	plūdi	översvämning	N;NOM;MASC	N;NOM;INDF;MASC+FEM;PL
kazu	getter	kazs	gett	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;PL
kazu	get	kazs	ge	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
garāks	längre	gars	länge	ADJ;NOM;CMPR;MASC;SG	ADV;CMPR
anatolijas	anatoliska	anatolija	anatolisk	N;NOM;FEM;PL	ADJ;NOM;PL
pavēle	beställningar	pavēle	beställning	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;PL
identitāti	identitet	identitāte	identitet	N;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
api	apis	aps	apis	N	V;IMP;FIN;ACT
subtropu	subtropiska	subtrops	subtropisk	N;ACC;MASC;SG	ADJ;NOM;PL
bite	nappar	bite	napp	N;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;PL
bite	bits	bite	bits	N;NOM;FEM;SG	V;IMP;FIN;ACT
bite	bita	bite	bita	N;NOM;FEM;SG	V;IMP;FIN;ACT
bite	bett	bite	be	N;NOM;FEM;SG	V;IMP;V.CVB;ACT
labot	edit	labot	edit	V;POS;NFIN	N;NOM;INDF;MASC+FEM;SG
zeppelin	zeppelin	zeppelin	zeppelin	PROPN	PROPN;NOM
debesis	himmel	debess	himmel	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
debesis	heaven	debess	heav	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;SG
debesis	himlen	debess	himle	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;SG
debesis	himmelriket	debess	himmelrik	N;NOM;FEM;PL	N;NOM;DEF;NEUT;SG
debesis	himmelen	debess	himmel	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;SG
debesis	himmel	debess	himmel	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
debesis	sky	debess	sky	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
debesis	himlen	debess	himle	N;NOM;FEM;PL	N;NOM;DEF;MASC+FEM;SG
debesis	himmel	debess	himmel	N;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
ģimenēm	familjer	ģimene	familj	N;DAT;FEM;PL	N;NOM;INDF;MASC+FEM;PL
krāteris	månkrater	krāteris	månkrat	N;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
padarīt	fabrikat	padarīt	fabrika	V;POS;NFIN	N;NOM;INDF;NEUT;SG
