loại	kategória	loại	kategória	N	
một	egy	một	egy	NUM	DET;INDF
năm	öt	năm	öt	N	
năm	öten	năm	öten	N	PRO;NOM;PL;3
năm	évi	năm	évi	N	
các	te	các	te	DET	V;DEF;IND;SG;1;PRS;FIN;ACT
này	ezt	này	ez	PROPN	PRO;ACC;SG;3
này	ez	này	ez	PROPN	PRO;NOM;SG;3
vật	állati	vật	állati	N	
thích	kedvelt	thích	kedvelt	V	
thích	kedvel	thích	kedvel	V	
thích	mint	thích	mint	V	CONJ
thích	like	thích	lik	V	
thích	kedvel	thích	kedvel	V	
học	tanulás	học	tanulás	V	N;NOM;SG
học	vizsgálat	học	vizsgálat	V	N;NOM;SG
học	tanulmányok	học	tanulmány	V	N;NOM;PL
học	tanulás	học	tanulás	V	N;NOM;SG
học	tanulmány	học	tanulmány	V	N;NOM;SG
học	iskolában	học	iskolában	V	N;IN+ESS;SG
học	iskola	học	iskola	V	N;NOM;SG
học	suli	học	suli	V	
học	tanulás	học	tanulás	V	N;NOM;SG
người	személy	người	személy	N	
người	személyre	người	személy	N	
thực	real	thực	real	V	
thực	valós	thực	valós	V	ADJ;NOM;SG
thực	igazi	thực	igazi	V	
thực	valódi	thực	valódi	V	
thực	igazából	thực	igazából	V	ADV
thực	valójában	thực	valójában	V	N;IN+ESS;SG
thực	hiteles	thực	hiteles	V	ADJ;NOM;SG
thực	tényleg	thực	tényleg	V	
thực	igazán	thực	igazán	V	
liên	zálogjog	liên	zálogjog		N;NOM;SG
tham	ízületi	tham	ízületi	V	N;NOM;SG
tham	joint	tham	joint	V	
tham	együttes	tham	együttes	V	
tham	közös	tham	közös	V	
đầu	először	đầu	először	N	ADV
đầu	első	đầu	első	N	ADJ;NOM;SG
ngoài	kint	ngoài	kint	N	
ngoài	kívül	ngoài	kívül	N	
ngoài	külső	ngoài	külső	N	
thành	cheng	thành	cheng	V	
thành	citadella	thành	citadel	V	N;NOM;SG
khoa	tudomány	khoa	tudomány		N;NOM;SG
với	with	với	with	ADP	
tháng	februári	tháng	februári	N	ADJ;NOM;SG
cho	cho	cho	cho	V	
cho	for	cho	for	V	
không	nem	không	nem	;NEG	ADV
hoa	united	hoa	united	N	
hoa	egyesült	hoa	egyesül	N	V;INDF;IND;SG;3;PST;FIN;ACT
hoa	virágos	hoa	virágos	N	
những	ezek	những	ez	DET	PRO;NOM;PL;3
những	ezeket	những	ez	DET	PRO;ACC;PL;3
những	azok	những	az	DET	PRO;NOM;PL;3
những	ők	những	ők	DET	PRO;NOM;PL;3
nam	nan	nam	nan	N	
nam	dél	nam	dél	N	
nam	délre	nam	délre	N	ADV
nam	déli	nam	déli	N	
nam	nam	nam	nam	N	
công	nyilvános	công	nyilvános	N	ADJ;NOM;SG
công	nyilvánosan	công	nyilvános	N	ADJ;FRML;SG
công	publikus	công	publikus	N	
chính	még	chính	még	PART	ADV
chính	saját	chính	saját	PART	PRO;NOM;SG;3
chính	elsődleges	chính	elsődleges	PART	ADJ;NOM;SG
chính	primer	chính	primer	PART	
chính	fő	chính	fő	PART	
chính	main	chính	main	PART	
chính	főbb	chính	fő	PART	ADJ;NOM;CMPR;SG
động	dinamikus	động	dinamikus	V	ADJ;NOM;SG
động	automata	động	automata	V	
động	automatikus	động	automatikus	V	N;NOM;SG
động	automatikusan	động	automatikus	V	ADJ;FRML;SG
động	automatikus	động	automatikus	V	N;NOM;SG
khi	mikor	khi	mikor	N	ADV
khi	amikor	khi	amikor	N	ADV
đến	érkezés	đến	érkezés	PART	
đến	megérkezett	đến	meg+érkezik	PART	V;INDF;IND;SG;3;PST;FIN;ACT
đến	megérkeztek	đến	meg+érkezik	PART	V;INDF;IND;PL;3;PST;FIN;ACT
đến	gyere	đến	gyere	PART	V;DEF;IMP;SG;1;PRS;FIN;ACT
đến	jövök	đến	jövök	PART	V;INDF;IND;SG;1;PRS;FIN;ACT
đến	jön	đến	jön	PART	V;INDF;IND;SG;3;PRS;FIN;ACT
theo	theo	theo	theo	V	
theo	után	theo	után	V	ADP
theo	after	theo	after	V	
theo	miután	theo	miután	V	CONJ
theo	utána	theo	utána	V	
tỉnh	józanul	tỉnh	józanul	N	
tỉnh	józan	tỉnh	józan	N	
tỉnh	ébren	tỉnh	éb	N	
sau	után	sau	után	N	ADP
