kategória	kategori	kategória	kategori	N;NOM;FEM;SG	PROPN;SG
roku	year	rok	year	N;INAN;GEN;MASC;SG	PROPN
ako	bagaimana	ako	bagaimana	ADV	ADV
ako	how	ako	how	ADV	PROPN
ako	suka	ako	suka	ADV	V;SG
ako	sukai	ako	sukai	ADV	ADJ;SG
ako	seperti	ako	seperti	ADV	ADP
ako	like	ako	like	ADV	PROPN
bol	bol	byť	bol	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	PROPN
bol	euy	byť	euy	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	PROPN
bol	was	byť	was	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	PROPN
bol	been	byť	been	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	PROPN
pozri	look	pozrieť	look	V;PFV;IMP;SG;2;POS;FIN	PROPN
obce	desa	obec	desa	N;NOM;FEM;PL	N;SG
mba	mba	mba	mba		PROPN
obyvateľov	penghuninya	obyvateľ	penhuni	N;ANIM;ACC;MASC;PL	N;SG
obyvateľov	penduduk	obyvateľ	penduduk	N;ANIM;ACC;MASC;PL	N;SG
obyvateľov	warga	obyvateľ	warga	N;ANIM;ACC;MASC;PL	N;SG
obyvateľov	penghuni	obyvateľ	penhuni	N;ANIM;ACC;MASC;PL	N;SG
obec	village	obec	village	N;NOM;FEM;SG	PROPN
jeho	his	jeho	his	DET;NOM;NEUT;SG;3	PROPN
jeho	nya	jeho	nya	DET;NOM;NEUT;SG;3	PRO
jeho	menta	jeho	menta	DET;NOM;NEUT;SG;3	
jeho	its	jeho	its	DET;NOM;NEUT;SG;3	PROPN
pri	pri	pri	pri	ADP;ESS	PROPN
bola	euy	byť	euy	V;IPFV;FEM;SG;POS;PST;V.PTCP	PROPN
bola	was	byť	was	V;IPFV;FEM;SG;POS;PST;V.PTCP	PROPN
bola	been	byť	been	V;IPFV;FEM;SG;POS;PST;V.PTCP	PROPN
odkazy	referensi	odkaz	referensi	N;INAN;NOM;MASC;PL	N;SG
odkazy	rujukan	odkaz	rujukan	N;INAN;NOM;MASC;PL	N;SG
odkazy	taut	odkaz	taut	N;INAN;NOM;MASC;PL	N;SG
odkazy	pranala	odkaz	pranala	N;INAN;NOM;MASC;PL	N;SG
odkazy	tautan	odkaz	tautan	N;INAN;NOM;MASC;PL	N;SG
odkazy	links	odkaz	links	N;INAN;NOM;MASC;PL	PROPN
socorro	socorro	socorro	socorro	N;NOM;NEUT;SG	PROPN
externé	eksternal	externý	eksternal	ADJ;NOM;NEUT;SG	N
ale	tapi	ale	tapi	CONJ	CONJ
ale	tetapi	ale	tetapi	CONJ	CONJ
iné	lain	iný	lain	DET;NOM;NEUT;SG	ADJ;SG
iné	lainnya	iný	lainnya	DET;NOM;NEUT;SG	N
iné	lain	iný	lain	DET;NOM;NEUT;SG	ADJ;SG
iné	lainnya	iný	lainnya	DET;NOM;NEUT;SG	N
the	the	the	the		PROPN
počet	nomer	počet	nomer	N;INAN;NOM;MASC;SG	PROPN;SG
boli	were	byť	were	V;IPFV;MASC;PL;POS;PST;V.PTCP	PROPN
podľa	under	podľa	under	ADP;GEN	PROPN
miesto	spot	miesto	spot	N;NOM;NEUT;SG	PROPN
miesto	tempatkan	miesto	tempatkan	N;NOM;NEUT;SG	V;SG;ACT
miesto	place	miesto	place	N;NOM;NEUT;SG	PROPN
miesto	site	miesto	site	N;NOM;NEUT;SG	PROPN
bolo	euy	byť	euy	V;IPFV;NEUT;SG;POS;PST;V.PTCP	PROPN
bolo	was	byť	was	V;IPFV;NEUT;SG;POS;PST;V.PTCP	PROPN
jej	menta	ona	menta	PRO;DAT;FEM;SG;3	
jej	its	ona	its	PRO;DAT;FEM;SG;3	PROPN
jej	her	ona	her	PRO;DAT;FEM;SG;3	PROPN
ich	ich	on	ich	PRO;NOM;MASC;PL;3	PROPN
projekty	proyek	projekt	proyek	N;INAN;NOM;MASC;PL	N;SG
team	tim	team	tim	PROPN;ANIM;NOM;MASC;SG	N;SG
team	team	team	team	PROPN;ANIM;NOM;MASC;SG	PROPN
byť	being	byť	being	V;IPFV;POS;NFIN	PROPN
byť	menjadi	byť	menjadi	V;IPFV;POS;NFIN	V;SG;ACT
francúzska	prancis	francúzsky	prancis	N;NOM;FEM;SG	PROPN;SG
