destinatari	آخذ.	destinatari	آخذ.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
mostassa	خردل.	mostassar	خردل.	N;FEM;SG	
mostassa	سرسوں	mostassar	سرس	N;FEM;SG	N;ACC;MASC;PL;3
alcohòlic	شرابی.	alcohòlic	شرابی.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
ginger	تحرک	ginger	تحرک	N;FEM;SG	
ginger	جذبہ.	ginger	جذبہ.	N;FEM;SG	PROPN;NOM;MASC;SG;3
austera	ّکٹر.	austera	ّکٹر.	ADJ;FEM;SG	N;NOM;MASC;SG;3
escindir	چمٹارہنا	escindir	چمٹارہنا	V;NFIN	PROPN;NOM;MASC;SG;3
chin	زنخداں	chin	زنخداں		ADJ
chin	ٹھوڑی	chin	ٹھوڑی		PROPN;NOM;MASC;SG;3
chin	زنخداں	chin	زنخداں		ADJ
chin	ٹھوڑی	chin	ٹھوڑی		PROPN;NOM;MASC;SG;3
julivert	پودینہ	julivert	پودینہ		PROPN;NOM;MASC;SG;3
julivert	اجمود	julivert	اجمود		PROPN;NOM;MASC;SG;3
orgullós	مسرور	orgullós	مسرور	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
orgullós	مطمئن.	orgullós	مطمئن.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
rústic	گنوار	rústic	گنوار	ADJ;MASC;SG	
rústic	بھدّا.	rústic	بھدّا.	ADJ;MASC;SG	
rústic	پینڈو.	rústic	پینڈو.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
rústic	گھسیٹ	rústic	گھسیٹ	ADJ;MASC;SG	V;ACT
rústic	شکستہ	rústic	شکستہ	ADJ;MASC;SG	
rústic	گنوارو.	rústic	گنوارو.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
rústic	گنوار	rústic	گنوار	ADJ;MASC;SG	
rústic	بھدّا.	rústic	بھدّا.	ADJ;MASC;SG	
rústic	پینڈو.	rústic	پینڈو.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
rústic	گھسیٹ	rústic	گھسیٹ	ADJ;MASC;SG	V;ACT
rústic	شکستہ	rústic	شکستہ	ADJ;MASC;SG	
rústic	دیہی	rústic	دیہی	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
rústic	گنوارو.	rústic	گنوارو.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
locus	محل	locus	محل	ADJ;MASC;SG	N;NOM;MASC;SG;3
