que	dat	que	dat	CONJ	PRO;3
del	del	del	del	ADP;MASC;SG	N;MASC+FEM;SG
los	de	él	de	PRO;ACC;MASC;PL;3	DET;DEF
las	de	él	de	PRO;ACC;FEM;PL;3	DET;DEF
una	one	uno	oon	DET;INDF;FEM;SG	
una	één	uno	één	DET;INDF;FEM;SG	NUM
una	eén	uno	eén	DET;INDF;FEM;SG	N;MASC+FEM;SG
como	hoe	como	hoe	CONJ	ADV
como	like	como	lik	CONJ	
más	more	más	more	ADV	
más	meer	más	veel	ADV	PRO
sus	hun	su	hun	DET;PL;3	PRO;ACC;3
sus	zijn	su	zijn	DET;PL;3	V;PL;PRS;FIN
sus	je	su	je	DET;PL;3	PRO;NOM;2
sus	uw	su	uw	DET;PL;3	PRO;2
sus	jouw	su	jou	DET;PL;3	PRO;ACC;2
sus	its	su	its	DET;PL;3	
entre	entre	entre	entre	ADP	N;MASC+FEM;SG
este	oosten	este	oosten	PRO;MASC;SG	N;NEUT;SG
este	oost	este	oost	PRO;MASC;SG	N;MASC+FEM;SG
años	jaar	año	jaar	N;MASC;PL	N;NEUT;SG
dos	dos	dos	dos	NUM;PL	N;MASC+FEM;SG
dos	two	dos	two	NUM;PL	
sobre	ongeveer	sobre	ongeveer	ADP	ADV
sobre	envelop	sobre	envelop	ADP	N;MASC+FEM;SG
sobre	enveloppe	sobre	enveloppe	ADP	N;MASC+FEM;SG
enlaces	links	enlace	links	N;MASC;PL	ADJ
hasta	zelfs	hasta	zelfs	ADP	ADV
ser	ser	ser	ser	V;NFIN	N;MASC+FEM;SG
sin	zonde	sin	zonde	ADP	N;MASC+FEM;SG
sin	zonden	sin	zonde	ADP	N;PL
sin	sin	sin	sin	ADP	N;MASC+FEM;SG
sin	zondigen	sin	zondigen	ADP	V;NFIN
donde	waar	donde	waar	PRO	ADV
san	heilige	san	heilige	N;MASC;SG	ADJ
era	was	ser	zijn	V;IND;SG;3;IPFV;FIN	V;SG;PST;FIN
nacional	nacional	nacional	nacional	ADJ;SG	N;MASC+FEM;SG
primera	eerst	primero	eerst	ADJ;FEM;SG	ADV
cuando	wanneer	cuando	wanneer	CONJ	ADV
después	na	después	na	ADV	ADP
después	after	después	after	ADV	
después	later	después	laat	ADV	ADJ;CMPR
españa	spanje	españa	spanje	N;FEM;SG	PROPN;NEUT;SG
otros	overige	otro	overig	PRO;MASC;PL	ADJ
otros	andere	otro	ander	PRO;MASC;PL	ADJ
otros	ander	otro	ander	PRO;MASC;PL	ADJ
otros	overig	otro	overig	PRO;MASC;PL	
otros	overige	otro	overig	PRO;MASC;PL	ADJ
otros	andere	otro	ander	PRO;MASC;PL	ADJ
otros	overigen	otro	overigen	PRO;MASC;PL	ADJ
otros	anderen	otro	ander	PRO;MASC;PL	ADJ
gran	big	gran	big	ADJ;SG	N;MASC+FEM;SG
gran	gran	gran	gran	ADJ;SG	N;MASC+FEM;SG
gran	grand	gran	grand	ADJ;SG	
unidos	united	unido	united	ADJ;MASC;PL;V.PTCP	N;NEUT;SG
unidos	verenigde	unido	verenigen	ADJ;MASC;PL;V.PTCP	V;V.PTCP
unidos	verenigd	unido	verenigen	ADJ;MASC;PL;V.PTCP	V;V.PTCP
puede	kunt	poder	kunnen	V;IND;SG;3;PRS;FIN	V;SG;PRS;FIN
puede	kunnen	poder	kunnen	V;IND;SG;3;PRS;FIN	V;PL;PRS;FIN
estado	staat	estado	staan	N;MASC;SG	V;SG;PRS;FIN
uno	uno	uno	uno	PRO;MASC;SG	N;MASC+FEM;SG
uno	one	uno	oon	PRO;MASC;SG	
uno	één	uno	één	PRO;MASC;SG	NUM
uno	een	uno	een	PRO;MASC;SG	DET;INDF
uno	eén	uno	eén	PRO;MASC;SG	N;MASC+FEM;SG
primer	eerst	primero	eerst	ADJ;MASC;SG	ADV
había	hadden	haber	hebben	V;IND;SG;3;IPFV;FIN	V;PL;PST;FIN
había	had	haber	hebben	V;IND;SG;3;IPFV;FIN	V;SG;PST;FIN
había	gehad	haber	hebben	V;IND;SG;3;IPFV;FIN	V;V.PTCP
mismo	same	mismo	same	ADJ;MASC;SG	
eran	waren	ser	zijn	V;IND;PL;3;IPFV;FIN	V;PL;PST;FIN
cual	welke	cual	welk	PRO;SG	PRO
forma	form	forma	form	N;FEM;SG	
tres	tres	tres	tres	NUM;PL	
tres	three	tres	three	NUM;PL	
general	algemene	general	algemeen	N;SG	ADJ
general	algemeen	general	algemeen	N;SG	ADJ
aunque	alhoewel	aunque	alhoewel	CONJ	ADV
tras	after	tras	after	ADP	
familia	families	familia	familie	N;FEM;SG	N;PL
familia	gezinnen	familia	gezin	N;FEM;SG	N;PL
todo	alle	todo	al	PRO;MASC;SG	DET
todo	allemaal	todo	allemaal	PRO;MASC;SG	ADV
sur	zuidelijk	sur	zuidelijk	N;MASC;SG	ADJ
sur	zuid	sur	zuid	N;MASC;SG	ADJ
mayor	majoor	mayor	majoor	ADJ;SG	N;MASC+FEM;SG
mayor	major	mayor	major	ADJ;SG	N;MASC+FEM;SG
mayor	hoofdvak	mayor	hoofdvak	ADJ;SG	N;NEUT;SG
tiempo	weer	tiempo	weer	N;MASC;SG	ADV
contra	counter	contra	counter	ADP	N;MASC+FEM;SG
contra	teller	contra	tel	ADP	N;MASC+FEM;SG
contra	toonbank	contra	toonbank	ADP	N;MASC+FEM;SG
contra	contra	contra	contra	ADP	N;MASC+FEM;SG
encuentra	zoek	encontrar	zoek	V;IND;SG;3;PRS;FIN	ADJ
otras	overige	otro	overig	PRO;FEM;PL	ADJ
otras	andere	otro	ander	PRO;FEM;PL	ADJ
otras	ander	otro	ander	PRO;FEM;PL	ADJ
otras	overig	otro	overig	PRO;FEM;PL	
otras	overige	otro	overig	PRO;FEM;PL	ADJ
otras	andere	otro	ander	PRO;FEM;PL	ADJ
otras	overigen	otro	overigen	PRO;FEM;PL	ADJ
otras	anderen	otro	ander	PRO;FEM;PL	ADJ
todos	alle	todo	al	PRO;MASC;PL	DET
todos	allemaal	todo	allemaal	PRO;MASC;PL	ADV
juan	johannes	juan	johanne	PROPN	N;PL
juan	john	juan	john	PROPN	N;MASC+FEM;SG
juan	johanna	juan	johanna	PROPN	N;MASC+FEM;SG
juan	joan	juan	joan	PROPN	N;MASC+FEM;SG
josé	jozef	josé	jozef	PROPN	N;MASC+FEM;SG
josé	joseph	josé	joseph	PROPN	N;MASC+FEM;SG
josé	josef	josé	josef	PROPN	N;MASC+FEM;SG
josé	jose	josé	jose	PROPN	N;MASC+FEM;SG
josé	josé	josé	josé	PROPN	N;MASC+FEM;SG
bajo	under	bajo	under	ADP	
bajo	laag	bajo	laag	ADP	ADJ
bajo	low	bajo	low	ADP	N;MASC+FEM;SG
bajo	lage	bajo	laag	ADP	ADJ
bajo	bajo	bajo	bajo	ADP	N;MASC+FEM;SG
bajo	basgitaar	bajo	basgitaar	ADP	N;MASC+FEM;SG
bajo	baars	bajo	baars	ADP	N;MASC+FEM;SG
bajo	bas	bajo	bas	ADP	N;MASC+FEM;SG
bajo	bass	bajo	bass	ADP	N;MASC+FEM;SG
serie	reeksen	serie	reeks	N;FEM;SG	N;PL
serie	series	serie	serie	N;FEM;SG	N;PL
serie	seriële	serie	seriel	N;FEM;SG	ADJ
cada	elk	cada	elk	DET;SG	PRO
cada	ieder	cada	ieder	DET;SG	PRO
cada	elk	cada	elk	DET;SG	PRO
cada	ieder	cada	ieder	DET;SG	PRO
fútbol	voetballen	fútbol	voetballen	N;MASC;SG	V;NFIN
fútbol	voetballen	fútbol	voetballen	N;MASC;SG	V;NFIN
méxico	mexicaanse	méxico	mexicaans	N;MASC;SG	ADJ
méxico	mexico	méxico	mexico	N;MASC;SG	PROPN;NEUT;SG
han	heb	haber	hebben	V;IND;PL;3;PRS;FIN	V;SG;PRS;FIN
han	hebben	haber	hebben	V;IND;PL;3;PRS;FIN	V;PL;PRS;FIN
han	han	haber	han	V;IND;PL;3;PRS;FIN	N;MASC+FEM;SG
argentina	argentinië	argentino	argentinië	ADJ;FEM;SG	PROPN;NEUT;SG
argentina	argentinië	argentino	argentinië	ADJ;FEM;SG	PROPN;NEUT;SG
inglés	engels	inglés	engel	N;MASC;SG	ADJ
inglés	engelsen	inglés	engelsen	N;MASC;SG	N;PL
septiembre	september	septiembre	september	N	PROPN;MASC+FEM;SG
octubre	oktober	octubre	oktober	N	PROPN;MASC+FEM;SG
octubre	october	octubre	october	N	PROPN;MASC+FEM;SG
segunda	segunda	segundo	segunda	ADJ;FEM;SG	N;MASC+FEM;SG
discusión	discussies	discusión	discussie	N;FEM;SG	N;PL
final	beëindigen	final	beëindigen	N;MASC;SG	V;NFIN
final	definitief	final	definitief	N;MASC;SG	ADJ
final	finales	final	finale	N;MASC;SG	N;PL
vida	life	vida	life	N;FEM;SG	
español	spaanse	español	Spaans	N;MASC;SG	ADJ
español	spaans	español	spaans	N;MASC;SG	ADJ
centro	centreren	centro	centreren	N;MASC;SG	V;NFIN
centro	centreren	centro	centreren	N;MASC;SG	V;NFIN
julio	juli	julio	juli	N	PROPN;MASC+FEM;SG
hay	hay	haber	hay	V;IND;SG;3;PRS;FIN	N;MASC+FEM;SG
hay	hooi	haber	hooi	V;IND;SG;3;PRS;FIN	N;NEUT;SG
internacional	internacional	internacional	internacional	ADJ;SG	N;MASC+FEM;SG
santa	holy	santo	holy	ADJ;FEM;SG	
santa	kerstman	santo	kerstman	ADJ;FEM;SG	N;MASC+FEM;SG
santa	santa	santo	santa	ADJ;FEM;SG	N;SG
antes	voordat	antes	voordat	ADV	CONJ
antes	vóór	antes	voor	ADV	ADP
