پِنڈلی	shin	پِنڈلی	shin	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
پُنر	altul	پُنر	altul	N;NOM;MASC;SG;3	PRO;MASC;SG;3
پنساری	condimente	پنساری	condiment	PROPN;NOM;MASC;SG;3	N;INDF;FEM;PL
پنساری	mirodenii	پنساری	mirodean	PROPN;NOM;MASC;SG;3	N;INDF;FEM;PL
پنساری	băcan	پنساری	băcan	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
پنسال	nivelul	پنسال	nivel	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
پنسال	nivel	پنسال	nivel	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
پنک	slough	پنک	slough	PROPN;NOM;MASC;SG;3	PROPN
پنک	noroi	پنک	noroi	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
پنک	nămol	پنک	nămol	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
پنک	quagmire	پنک	quagmire	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
پنک	argilă	پنک	argilă	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
پنک	lut	پنک	lut	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
پنک	clay	پنک	clay	PROPN;NOM;MASC;SG;3	PROPN
پنکھ	pană	پنکھ	pană	N;NOM;MASC;SG;3	N;INDF;FEM;SG
پنکھ	aripă	پنکھ	aripă	N;NOM;MASC;SG;3	N;INDF;FEM;SG
پنکھ	wing	پنکھ	wing	N;NOM;MASC;SG;3	PROPN
پنکھ	aripa	پنکھ	aripă	N;NOM;MASC;SG;3	N;DEF;FEM;SG
پنکھا	ventilator	پنکھا	ventilator	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;MASC;SG
پنکھا	fana	پنکھا	fană	V;PFV;MASC;SG;V.PTCP;ACT	N;DEF;FEM;SG
پنکھا	fană	پنکھا	fană	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;FEM;SG
