что	hva	что	hva	PRO;NOM	N;INDF;NEUT;SG
как	hvordan	как	hvordan	CONJ	N;INDF;MASC;SG
как	korleis	как	korleis	CONJ	ADV
как	how	как	how	CONJ	N;INDF;SG
как	som	как	som	CONJ	ADP
как	liker	как	like	CONJ	V;IND;PRS;FIN
как	like	как	lik	CONJ	ADJ;SG
был	var	быть	vere	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PST;FIN
его	ham	он	ham	PRO;ACC;MASC;SG;3	N;INDF;MASC;SG
его	him	он	him	PRO;ACC;MASC;SG;3	N
это	this	это	this	PRO;INAN;NOM;NEUT;SG	
это	at	это	at	PRO;INAN;NOM;NEUT;SG	CONJ
после	after	после	after	ADP	N;INDF;NEUT;SG
после	etterpå	после	etterpå	ADP	ADV
после	efter	после	efter	ADP	
было	var	быть	vere	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;PST;FIN
место	sted	место	stå	N;INAN;NOM;NEUT;SG	
место	sted	место	stå	N;INAN;NOM;NEUT;SG	
были	var	быть	vere	V;IPFV;IND;PL;PST;FIN;ACT	V;IND;PST;FIN
вид	arter	вид	arter	N;INAN;NOM;MASC;SG	N;INDF;FEM;PL
только	berre	только	berre	PART	ADV
только	only	только	only	PART	
только	bare	только	bare	PART	ADV
только	kun	только	kun	PART	N;INDF;NEUT;SG
только	berre	только	berre	PART	ADV
только	akkurat	только	akkurat	PART	ADV
только	bare	только	bare	PART	ADV
только	nettopp	только	nettopp	PART	ADV
только	just	только	just	PART	N;INDF;MASC;SG
есть	fikk	быть	fikk	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PST;FIN
есть	henta	быть	hente	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADJ;INDF;NEUT;SG;V.PTCP
есть	got	быть	got	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
язык	tunge	язык	tung	N;INAN;NOM;MASC;SG	ADJ;PL
ссср	sovjetunionen	ссср	sovjetunion	PROPN;INAN;NOM;MASC;SG	N;DEF;MASC;SG
код	kodeks	код	kodeks	N;INAN;NOM;MASC;SG	ADJ;INDF;SG
более	fleire	более	mange	ADV;CMPR	ADJ;CMPR
более	fler	более	fler	ADV;CMPR	N;INDF;NEUT;SG
более	flere	более	flere	ADV;CMPR	
более	mer	более	mer	ADV;CMPR	N;INDF;MASC;SG
более	meir	более	mykje	ADV;CMPR	ADJ;CMPR
более	mere	более	mere	ADV;CMPR	N;INDF;MASC;SG
где	hvor	где	hvor	ADV	
марта	marsjere	март	marsjere	N;INAN;GEN;MASC;SG	V;NFIN
все	everything	все	everything	PRO;INAN;NOM;NEUT;SG	N;INDF;FEM;SG
все	allting	все	allting	PRO;INAN;NOM;NEUT;SG	N;INDF;FEM;SG
все	alle	все	alle	PRO;INAN;NOM;NEUT;SG	PRO;PL;3
все	all	все	all	PRO;INAN;NOM;NEUT;SG	DET;MASC;SG
все	alle	все	alle	PRO;INAN;NOM;NEUT;SG	PRO;PL;3
том	tom	то	tom	PRO;INAN;NOM;NEUT;SG	ADJ;INDF;SG
октября	oct	октябрь	oct	N;INAN;GEN;MASC;SG	NUM
который	hvilket	который	hvilk	PRO;NOM	N;DEF;NEUT;SG
который	hvilken	который	hvilk	PRO;NOM	N;DEF;MASC;SG
человек	menneskelig	человек	menneskelig	N;ANIM;NOM;MASC;SG	ADJ;INDF;NEUT;SG
лет	ar	год	ar	N;INAN;GEN;MASC;PL	N;INDF;MASC;SG
лет	årevis	год	årevis	N;INAN;GEN;MASC;PL	ADV
