ausscheiden	звільнення	ausscheiden	звільнення	V;NFIN	N;INAN;NOM;NEUT;SG
auschwitz	воротах	auschwitz	ворот	PROPN	N;INAN;ESS;MASC;PL
zeitgenössische	сучасна	zeitgenössisch	сучасний	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
zeitgenössische	contemporary	zeitgenössisch	contemporary	ADJ;NOM;FEM;PL	
zeitgenössische	сучасне	zeitgenössisch	сучасне	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
planungen	планування	planung	планування	V;NFIN	N;INAN;NOM;NEUT;SG
planungen	плани	planung	план	V;NFIN	N;INAN;NOM;MASC;PL
beendigung	завершення	beendigung	завершення	ADV	N;INAN;NOM;NEUT;SG
detroit	detroit	detroit	detroit	PROPN;NOM;MASC;SG	
emma	емма	emma	емма	PROPN;NOM;SG	PROPN;ANIM;NOM;FEM;SG
publikation	публікаціях	publikation	публікація	N;NOM;FEM;SG	N;INAN;ESS;FEM;PL
publikation	публікацію	publikation	публікація	N;NOM;FEM;SG	N;INAN;ACC;FEM;SG
stoff	тканина	stoff	тканина		N;INAN;NOM;FEM;SG
stoff	речовини	stoff	речовина		N;INAN;NOM;FEM;PL
stoff	речовина	stoff	речовина		N;INAN;NOM;FEM;SG
stoff	тканину	stoff	тканина		N;INAN;ACC;FEM;SG
stoff	тканина	stoff	тканина		N;INAN;NOM;FEM;SG
fremden	чужинці	fremd	чужинка	ADJ	N;ANIM;NOM;MASC;PL
fremden	чужинців	fremd	чужинець	ADJ	N;ANIM;ACC;MASC;PL
fremden	прибульці	fremd	прибулець	ADJ	N;ANIM;NOM;MASC;PL
fremden	прибульців	fremd	прибулець	ADJ	N;ANIM;ACC;MASC;PL
fremden	незнайомця	fremd	незнайомець	ADJ	N;ANIM;ACC;MASC;SG
ernsthaft	серйозно	ernsthaft	серйозно	ADJ	ADV
ernsthaft	серйозно	ernsthaft	серйозно	ADJ	ADV
gelben	жовте	gelb	жовий		ADJ;NOM;NEUT;SG
gelben	жовтого	gelb	жовтий		ADJ;GEN;MASC;SG
gelben	жовті	gelb	жовтий		ADJ;NOM;PL
gelben	жовтий	gelb	жовтий		ADJ;NOM;MASC;SG
krankheiten	недуг	krankheit	недуг	V;NFIN	N;INAN;GEN;FEM;PL
krankheiten	хвороби	krankheit	хвороба	V;NFIN	N;INAN;NOM;FEM;PL
krankheiten	хворобу	krankheit	хвороба	V;NFIN	N;INAN;ACC;FEM;SG
krankheiten	хвороб	krankheit	хвороб	V;NFIN	N;INAN;GEN;FEM;PL
krankheiten	захворювань	krankheit	захворювання	V;NFIN	N;INAN;GEN;NEUT;PL
krankheiten	захворювання	krankheit	захворювання	V;NFIN	N;INAN;NOM;NEUT;SG
krankheiten	розлади	krankheit	розлад	V;NFIN	N;INAN;NOM;MASC;PL
krankheiten	хвороба	krankheit	хвороба	V;NFIN	N;INAN;NOM;FEM;SG
zentimetern	сантиметри	zentimetern	сантиметр	ADJ	ADV
zentimetern	сантиметрів	zentimetern	сантиметр	ADJ	N;INAN;GEN;MASC;PL
bukarest	бухарест	bukarest	бухарест	PROPN;NOM;NEUT;SG	PROPN;INAN;NOM;MASC;SG
mans	ман	mans	мана	PROPN;NOM;MASC;SG	
maine	мен	mainen	я	PROPN;NOM;SG	
rief	назвали	rufen	назвати	V;IND;SG;3;PST;FIN	V;PFV;IND;PL;PST;FIN
rief	називається	rufen	називатися	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PRS;FIN
rief	викликали	rufen	викликати	V;IND;SG;3;PST;FIN	V;PFV;IND;PL;PST;FIN
entlassung	видати	entlassung	видати	N;NOM;FEM;SG	V;PFV;NFIN
kongo	конго	kongo	конго	PROPN;NOM;MASC;SG	PROPN;INAN;NOM;FEM;SG
stämme	народами	stammen	народ		N;INAN;INS;MASC;PL
stämme	племен	stammen	племено		N;INAN;GEN;FEM;PL
siebten	сьомому	siebt	сьомий	ADJ;NOM;MASC;SG	
musikern	музикантів	musikern	музикант	V;NFIN	N;ANIM;ACC;MASC;PL
