تلاقی	reunion	تلاقی	reunion	ADJ	N
تلالا	fame	تلالا	fame	PROPN;NOM;MASC;SG;3	N
تلالا	renown	تلالا	renown	PROPN;NOM;MASC;SG;3	ADJ
تلالا	khốc	تلالا	khốc	PROPN;NOM;MASC;SG;3	
تلالا	cry	تلالا	cry	PROPN;NOM;MASC;SG;3	
تلالا	khóc	تلالا	khóc	PROPN;NOM;MASC;SG;3	V
تلالا	voice	تلالا	voice	PROPN;NOM;MASC;SG;3	N
تلالا	giọng	تلالا	giọng	PROPN;NOM;MASC;SG;3	N
تلالُو	trưng	تلالُو	trưng	PROPN;NOM;MASC;SG;3	N
تلالُو	chói	تلالُو	chói	PROPN;NOM;MASC;SG;3	N
تلائو	tank	تلائو	tank	PROPN;NOM;MASC;SG;3	N
تلائو	tăng	تلائو	tăng	PROPN;NOM;MASC;SG;3	V
تلائو	bể	تلائو	bể	PROPN;NOM;MASC;SG;3	V
تلائو	hồ	تلائو	hồ	PROPN;NOM;MASC;SG;3	N
تلائو	ao	تلائو	ao	PROPN;NOM;MASC;SG;3	N
تلائی	rán	تلائی	rán	PROPN;NOM;MASC;SG;3	N
تِلبر	thoa	تِلبر	thoa	PROPN;NOM;MASC;SG;3	V
تلبُّس	dressing	تلبُّس	dressing	PROPN;NOM;MASC;SG;3	N
تلپٹ	mất	تلپٹ	mất	PROPN;NOM;MASC;SG;3	V
تلپٹ	thua	تلپٹ	thua	PROPN;NOM;MASC;SG;3	V
تلپٹ	hỏng	تلپٹ	hỏng	PROPN;NOM;MASC;SG;3	V
تلپٹ	hư	تلپٹ	hư	PROPN;NOM;MASC;SG;3	ADJ
تلپٹ	xì	تلپٹ	xì	PROPN;NOM;MASC;SG;3	
تلپٹ	hỏng	تلپٹ	hỏng	PROPN;NOM;MASC;SG;3	V
تلپٹ	xì	تلپٹ	xì	PROPN;NOM;MASC;SG;3	
تُلتُلانا	drip	تُلتُلانا	drip	V;SG;NFIN;ACT	
تلچھٹ	sediments	تلچھٹ	sediments	N;NOM;MASC;SG;3	V
تلچھٹ	sediments	تلچھٹ	sediments	N;NOM;MASC;SG;3	V
تلخ	đắng	تلخ	đắng		ADJ
تلخیص	precis	تلخیص	precis	PROPN;NOM;MASC;SG;3	
تلخیص	precis	تلخیص	precis	PROPN;NOM;MASC;SG;3	
تلذُّذ	delight	تلذُّذ	delight	PROPN;NOM;MASC;SG;3	
تلّڑ	bụng	تلّڑ	bụng		ADJ
تلّڑ	bụng	تلّڑ	bụng		ADJ
تُلسی	tulsi	تُلسی	tulsi	PROPN;NOM;MASC;SG;3	
تلعُّب	sport	تلعُّب	sport	PROPN;NOM;MASC;SG;3	N
تلعُّب	fun	تلعُّب	fun	PROPN;NOM;MASC;SG;3	N
تلعُّب	ké	تلعُّب	ké	PROPN;NOM;MASC;SG;3	N
تلعُّب	vui	تلعُّب	vui	PROPN;NOM;MASC;SG;3	
تلف	mát	تلف	mát	N;NOM;MASC;SG;3	ADJ
تلف	hỏng	تلف	hỏng	N;NOM;MASC;SG;3	V
تلف	xì	تلف	xì	N;NOM;MASC;SG;3	
تلفُّظ	pronunciation	تلفُّظ	pronunciation	PROPN;NOM;MASC;SG;3	V
تلفی	chết	تلفی	chết	N;NOM;MASC;SG;3	V
