של	shel	של	shel	PART;GEN	
את	du	את	du	PART;ACC	PRO;NOM;MASC+FEM;SG;2
את	dig	את	du	PART;ACC	PRO;ACC;MASC+FEM;SG;2
על	omkring	על	omkring	ADP	ADV
עם	med	עם	med	ADP	ADV
שיחה	ring	שיחה	ring	N;FEM;SG	V;IMP
שיחה	ringe	שיחה	ringe	N;FEM;SG	V;NFIN;ACT
לאחר	efter	לאחר	efter	ADP	ADV
בין	bean	בין	bean	ADP	
בין	bønne	בין	bønne	ADP	N;INDF;MASC+FEM;SG
בין	inter	בין	inter	ADP	
בין	imellem	בין	imellem	ADP	ADV
כל	alle	כול	al	DET;PSSD	ADJ;PL
כל	alt	כול	al	DET;PSSD	ADJ;NEUT;SG
יותר	flere	יותר	mange	ADV	ADJ;CMPR;PL
ישראל	israel	ישראל	israel	PROPN	
ישראל	israelsk	ישראל	israelsk	PROPN	ADJ;INDF;SG
עד	till	עד	till	ADP	N;INDF;MASC+FEM;SG
עד	indtil	עד	indtil	ADP	CONJ
יש	jubii	יש	jubii	V	N;INDF;MASC+FEM;SG
שם	betegnelse	שם	betegnelse	ADV	N;INDF;MASC+FEM;SG
שם	navn	שם	navn	ADV	N;INDF;NEUT;SG
בית	beit	בית	beit	N;MASC;SG	
בית	hjem	בית	hjem	N;MASC;SG	ADV
בית	hjemme	בית	hjemme	N;MASC;SG	ADV
בית	hjemad	בית	hjemad	N;MASC;SG	ADV
בית	home	בית	home	N;MASC;SG	
אשר	asher	אשר	asher	CONJ	N;INDF;MASC+FEM;SG
אשר	escher	אשר	escher	CONJ	N;INDF;MASC+FEM;SG
אשר	usher	אשר	usher	CONJ	
אשר	hvilket	אשר	hvilken	CONJ	PRO;NEUT;SG
אשר	hvilken	אשר	hvilken	CONJ	PRO;MASC+FEM;SG
אשר	hvilke	אשר	hvilken	CONJ	PRO;PL
אשר	bekræfter	אשר	bekræfte	CONJ	V;IND;PRS;FIN;ACT
אשר	bekræft	אשר	bekræft	CONJ	V;IMP
כמו	gerne	כמו	gerne	ADP	ADV
כמו	like	כמו	like	ADP	
אחד	et	אחד	en	NUM;MASC;SG	PRO;NEUT;SG
אחד	en	אחד	en	NUM;MASC;SG	PRO;MASC+FEM;SG
אחד	én	אחד	en	NUM;MASC;SG	PRO;MASC+FEM;SG
שמאל	venstre	שמאל	venstre	N;MASC;SG	ADJ
קישורים	link	קישורים	link	N;MASC;PL	N;INDF;NEUT;SG
קישורים	links	קישורים	links	N;MASC;PL	N;INDF;NEUT;SG
הברית	forbund	הברית	forbund	PROPN	N;INDF;NEUT;SG
הברית	alliance	הברית	alliance	PROPN	N;INDF;MASC+FEM;SG
הברית	alliancen	הברית	alliance	PROPN	N;DEF;MASC+FEM;SG
מספר	tal	מספר	tal	N;MASC;SG	N;INDF;NEUT;PL
בו	ham	ב	han	ADP	PRO;ACC;MASC+FEM;SG;3
בו	bøh	ב	bøh	ADP	
בו	boo	ב	boo	ADP	
כאשר	da	כאשר	da	CONJ	ADV
כאשר	hvornår	כאשר	hvornår	CONJ	ADV
בן	ben	בן	ben	PROPN	N;INDF;NEUT;PL
בן	søn	בן	søn	PROPN	N;INDF;MASC+FEM;SG
שלו	hans	של	hans		DET;3
שלו	dens	של	dens		DET;3
שלו	dets	של	dets		DET;3
שלו	its	של	itse		
שני	sekund	שני	sekund	NUM;MASC;PL	N;INDF;NEUT;SG
שני	andet	שני	anden	NUM;MASC;PL	PRO;NEUT;SG
שני	anden	שני	anden	NUM;MASC;PL	PRO;MASC+FEM;SG
שני	mandags	שני	mandag	NUM;MASC;PL	N;GEN;INDF;MASC+FEM;SG
שני	mandag	שני	mandag	NUM;MASC;PL	N;INDF;MASC+FEM;SG
לו	lew	ל	lew		N;INDF;MASC+FEM;SG
לו	lou	ל	lou		
