विपक्षी	антагонисти	विपक्षी	антагонист	N;NOM;MASC;SG;3	N;INDF;MASC;PL
टमाटर	домати	टमाटर	домат	N;NOM;MASC;SG;3	N;INDF;MASC;PL
टमाटर	домати	टमाटर	домат	N;NOM;MASC;SG;3	N;INDF;MASC;PL
फेयर	панаир	फेयर	панаир		N;INDF;MASC;SG
फेयर	справедлив	फेयर	справедлив		ADJ;INDF;MASC;SG
फेयर	справедливо	फेयर	справедливо		ADV
फेयर	справедлива	फेयर	справедлив		ADJ;INDF;FEM;SG
प्रतीकात्मक	символична	प्रतीकात्मक	символичен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
प्रतीकात्मक	символично	प्रतीकात्मक	символично	N;NOM;MASC;SG;3	ADV
प्रतीकात्मक	символичен	प्रतीकात्मक	символичен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
वृद्ध	старо	वृद्ध	стар	PROPN;NOM;MASC;SG;3	ADV
वृद्ध	стари	वृद्ध	стар	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
वृद्ध	стар	वृद्ध	стар	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
वृद्ध	стара	वृद्ध	стар	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
सिक्का	монети	सिक्का	монета	N;NOM;MASC;SG;3	N;INDF;MASC;PL
सिक्का	монетата	सिक्का	монета	N;NOM;MASC;SG;3	N;DEF;NEUT;PL
पर्दे	завеси	पर्दा	завеся	N;NOM;MASC;SG;3	N;INDF;MASC;PL
पर्दे	пердета	पर्दा	пердет	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
घोटाले	скандали	घोटाला	скандал	N;NOM;MASC;SG;3	N;INDF;MASC;PL
घोटाले	скандално	घोटाला	скандално	N;NOM;MASC;SG;3	ADV
रनों	управлява	रन	управлявам	N;ACC;MASC;PL;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
रनों	тича	रन	тича	N;ACC;MASC;PL;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
लाभांश	дивиденти	लाभांश	дивидент	N;NOM;MASC;SG;3	N;INDF;MASC;PL
ब्रह्मपुत्र	брахмапутра	ब्रह्मपुत्र	брахмапутра	PROPN;NOM;FEM;SG;3	N;INDF;FEM;SG
राजी	раджи	राजी	раджи	ADJ	N;INDF;MASC;SG
जासूस	детективите	जासूस	детектива	N;NOM;MASC;SG;3	N;DEF;FEM;PL
जासूस	детективи	जासूस	детектива	N;NOM;MASC;SG;3	N;INDF;FEM;PL
नमस्कार	здравей	नमस्कार	здравей	PROPN;NOM;MASC;SG;3	INTJ
नमस्कार	ало	नमस्कार	ало	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
नमस्कार	здравейте	नमस्कार	здравейте	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
निर्मल	полупрозрачни	निर्मल	полупрозрачен	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
मोटरसाइकिल	мотори	मोटरसाइकिल	мотор	N;NOM;FEM;SG;3	N;INDF;MASC;PL
मोटरसाइकिल	мотоциклети	मोटरसाइकिल	мотоциклет	N;NOM;FEM;SG;3	N;INDF;MASC;PL
मोटरसाइकिल	мотоциклети	मोटरसाइकिल	мотоциклет	N;NOM;FEM;SG;3	N;INDF;MASC;PL
गल्फ	залив	गल्फ	залив	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
गल्फ	залива	गल्फ	заливам	PROPN;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
अंटार्कटिक	антарктида	अंटार्कटिक	антарктида	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
अंटार्कटिक	антарктика	अंटार्कटिक	антарктика	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
अंटार्कटिक	антарктида	अंटार्कटिक	антарктида	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
अंटार्कटिक	антарктика	अंटार्कटिक	антарктика	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
डैनी	дани	डैनी	дани	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
बेड़े	флотилия	बेड़ा	флотилия	N;NOM;MASC;SG;3	ADJ;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
महंगा	скъпо	महंगा	скъпо	ADJ;NOM;MASC;SG	ADV
प्रबंधित	управлявано	प्रबंधित	управлявам	N;NOM;MASC;SG;3	V;IPFV;INDF;NEUT;SG;V.PTCP;PASS
