par	za	par	za		ADP;ACC
gada	godišnje	gads	godišnje	N;GEN;MASC;SG	ADV
gada	godišnje	gads	godišnje	N;GEN;MASC;SG	ADV
gada	godišnja	gads	godišnji	N;GEN;MASC;SG	ADJ;NOM;DEF;FEM;SG
gada	godišnji	gads	godišnji	N;GEN;MASC;SG	ADJ;NOM;DEF;MASC;SG
arī	također	arī	također	PART	ADV
arī	takođe	arī	takođa	PART	ADV
bija	bio	būt	biti	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;PST;V.PTCP;ACT
bija	bila	būt	biti	V;FH;IND;3;POS;PST;FIN;ACT	V;FEM;SG;PST;V.PTCP;ACT
kas	što	kas	što	PRO;NOM	PRO;NOM;NEUT
kas	sta	kas	sta	PRO;NOM	
kas	šta	kas	šta	PRO;NOM	PRO;NOM;NEUT
kas	tko	kas	tko	PRO;NOM	PRO;NOM;MASC
kas	ko	kas	ko	PRO;NOM	
kas	koji	kas	koji	PRO;NOM	DET;NOM;MASC;SG
kas	koja	kas	koji	PRO;NOM	DET;NOM;FEM;SG
kas	koje	kas	koji	PRO;NOM	DET;NOM;FEM;SG
kas	koja	kas	koji	PRO;NOM	DET;NOM;FEM;SG
kas	koji	kas	koji	PRO;NOM	DET;NOM;MASC;SG
pēc	poslije	pēc	poslije	ADP	ADV
līdz	dok	līdz	dok	ADV	CONJ
latvijas	latvijski	latvija	latvijski	PROPN;NOM;FEM;SG	ADJ;NOM;MASC;SG
var	svibanj	varēt	svibanj	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;MASC;SG
var	may	varēt	may	V;FH;IND;3;POS;PRS;FIN;ACT	PROPN;NOM;MASC;SG
var	svibnja	varēt	svibanj	V;FH;IND;3;POS;PRS;FIN;ACT	N;GEN;MASC;SG
laikā	tijekom	laiks	tijekom	N;ESS;MASC;SG	ADP;GEN
tas	ovo	tas	ovaj	PRO;NOM;MASC;SG	DET;NOM;NEUT;SG
tas	to	tas	taj	PRO;NOM;MASC;SG	DET;NOM;NEUT;SG
dzimis	rođeni	dzimt	rođen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;DEF;MASC;PL;V.PTCP
dzimis	rođen	dzimt	roditi	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP;PASS
dzimis	rođena	dzimt	roditi	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;DEF;FEM;SG;V.PTCP;PASS
valsts	stanja	valsts	stanje	N;NOM;FEM;SG	N;NOM;NEUT;PL
valsts	stanju	valsts	stanje	N;NOM;FEM;SG	N;DAT;NEUT;SG
nav	nijedan	nebūt	nijedan	V;FH;IND;3;NEG;PRS;FIN;ACT	ADJ;NOM;INDF;MASC;SG
nav	nijedna	nebūt	nijedan	V;FH;IND;3;NEG;PRS;FIN;ACT	ADJ;NOM;DEF;FEM;SG
tās	oni	tā	oni	PRO;NOM;FEM;PL	PRO;NOM;MASC;PL;3
atrodas	smješten	atrasties	smjestiti	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	ADJ;NOM;MASC;SG;V.PTCP;PASS
gan	oboje	gan	oboje	CONJ	N;NOM;MASC;SG
tikai	samo	tikai	samo	PART	ADV
tikai	jedino	tikai	jedino	PART	ADV
tikai	samo	tikai	samo	PART	ADV
latviešu	latvijski	latvietis	latvijski	N;GEN;MASC;PL	ADJ;NOM;MASC;SG
viņa	njegovo	viņa	njegov	PRO;NOM;FEM;SG;3	DET;NOM;NEUT;SG;3
viņa	njegov	viņa	njegov	PRO;NOM;FEM;SG;3	DET;NOM;MASC;SG;3
viņa	njegova	viņa	njegov	PRO;NOM;FEM;SG;3	DET;NOM;FEM;SG;3
asv	usa	asv	us	PROPN	PROPN;NOM;MASC;SG
kad	kada	kad	kada	ADV	ADV
kad	kad	kad	kad	ADV	ADV
gadu	godine	gads	godina	N;ACC;MASC;SG	N;GEN;FEM;SG
gadu	godina	gads	godina	N;ACC;MASC;SG	N;NOM;FEM;SG
pilsētas	gradove	pilsēta	grad	N;NOM;FEM;PL	N;ACC;MASC;PL
