और	og	और	og		CONJ
से	fra	से	fra		ADV
है	hai	है	hai	V;IND;SG;3;PRS;FIN;ACT	
है	hal	है	hal	V;IND;SG;3;PRS;FIN;ACT	
एक	et	एक	en	NUM	PRO;NEUT;SG
एक	en	एक	en	NUM	PRO;MASC+FEM;SG
एक	én	एक	en	NUM	PRO;MASC+FEM;SG
श्रेणी	serier	श्रेणी	serie	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
श्रेणी	kategorierne	श्रेणी	kategorium	N;NOM;FEM;SG;3	N;DEF;MASC+FEM;PL
श्रेणी	kategorier	श्रेणी	kategori	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
भी	selv	भी	selv	PART	PRO
भी	også	भी	også	PART	ADV
भी	også	भी	også	PART	ADV
यह	dette	यह	denne	PRO;NOM;SG;3	PRO;NEUT;SG
यह	denne	यह	denne	PRO;NOM;SG;3	PRO;MASC+FEM;SG
किया	færdig	कर	færdig	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;MASC+FEM;SG
किया	done	कर	done	V;PFV;MASC;SG;V.PTCP;ACT	
इस	dette	यह	denne	DET;ACC;SG;3	PRO;NEUT;SG
इस	denne	यह	denne	DET;ACC;SG;3	PRO;MASC+FEM;SG
हैं	er	है	være	V;IND;PL;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
भारत	india	भारत	india	PROPN;NOM;MASC;SG;3	
भारत	indien	भारत	indien	PROPN;NOM;MASC;SG;3	PROPN
जो	joe	जो	joe	PRO;NOM;SG;3	
जो	hvem	जो	hvem	PRO;NOM;SG;3	PRO;MASC+FEM
ही	hee	ही	hee	PART	N;INDF;NEUT;SG
रूप	fremtræden	रूप	fremtræde	N;NOM;MASC;SG;3	V;V.MSDR
कर	afgift	कर	afgift	V;ACT	N;INDF;MASC+FEM;SG
कर	skatte	कर	skatte	V;ACT	N;INDF;NEUT;PL
कर	skatter	कर	skatter	V;ACT	ADV
कर	afgifter	कर	afgift	V;ACT	ADV
नहीं	ikke	नहीं	ikke	PART;NEG	ADV
नहीं	not	नहीं	not	PART;NEG	
नहीं	ej	नहीं	ej	PART;NEG	ADV
नहीं	nix	नहीं	nix	PART;NEG	
उत्तराखण्ड	uttarakhand	उत्तराखण्ड	uttarakhand	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
पूर्व	east	पूर्व	east	ADV;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
पूर्व	øst	पूर्व	øst	ADV;NOM;MASC;SG;3	N;INDF
तक	indtil	तक	indtil	CONJ	CONJ
तक	till	तक	till	CONJ	N;INDF;MASC+FEM;SG
अपने	eje	अपना	eje	PRO;NOM;MASC	V;NFIN;ACT
अपने	egne	अपना	egn	PRO;NOM;MASC	N;INDF;MASC+FEM;PL
अपने	egen	अपना	egen	PRO;NOM;MASC	ADJ;MASC+FEM;SG
अपने	eget	अपना	egen	PRO;NOM;MASC	ADJ;NEUT;SG
अपने	din	अपना	din	PRO;NOM;MASC	DET;MASC+FEM;SG;2
जिले	distrikterne	जिला	distrikt	N;NOM;MASC;SG;3	N;DEF;NEUT;PL
जिले	kvarterer	जिला	kvarter	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
जिले	distrikter	जिला	distrikt	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
था	havde	था	have	V;MASC;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
था	haft	था	have	V;MASC;IND;SG;PST;FIN;ACT	V;INDF;SG;PST;V.PTCP
था	var	था	være	V;MASC;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
था	blev	था	blive	V;MASC;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
राज्य	stater	राज्य	stat	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
राज्य	staterne	राज्य	stat	N;NOM;MASC;SG;3	N;DEF;MASC+FEM;PL
राज्य	state	राज्य	state	N;NOM;MASC;SG;3	
कुछ	nogle	कुछ	nogen	DET	PRO;PL
कुछ	noget	कुछ	nogen	DET	PRO;NEUT;SG
गाँव	village	गाँव	villag	N;NOM;MASC;PL;3	
गाँव	landsbyen	गाँव	landsby	N;NOM;MASC;PL;3	N;DEF;MASC+FEM;SG
गाँव	landsby	गाँव	landsby	N;NOM;MASC;PL;3	N;INDF;MASC+FEM;SG
कड़ियाँ	link	कड़ी	link	N;NOM;FEM;PL;3	N;INDF;NEUT;SG
कड़ियाँ	links	कड़ी	links	N;NOM;FEM;PL;3	N;INDF;NEUT;SG
इसके	dens	यह	dens	PRO;MASC;SG;3	DET;3
इसके	dets	यह	dets	PRO;MASC;SG;3	DET;3
इसके	its	यह	itse	PRO;MASC;SG;3	
दिया	givne	दे	givn	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;PL
दिया	given	दे	give	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;MASC+FEM;SG
अन्य	andre	अन्य	anden	N;NOM;MASC;SG;3	PRO;PL
अन्य	andet	अन्य	anden	N;NOM;MASC;SG;3	PRO;NEUT;SG
अन्य	andre	अन्य	anden	N;NOM;MASC;SG;3	PRO;PL
जा	jaa	जा	jaa	V;ACT	
वे	de	वह	de	PRO;NOM;SG;3	PRO;NOM;PL;3
प्रकार	venlig	प्रकार	venlig	N;NOM;MASC;SG;3	ADJ;INDF;MASC+FEM;SG
प्रकार	indtast	प्रकार	indtast	N;NOM;MASC;SG;3	V;IMP
प्रकार	skriv	प्रकार	skrive	N;NOM;MASC;SG;3	V;IMP
प्रकार	typerne	प्रकार	type	N;NOM;MASC;SG;3	N;DEF;MASC+FEM;PL
