som	kot	som	kot	ADP	CONJ
det	to	det	ta	PRO;NEUT;SG;3	DET;NOM;NEUT;SG
det	tisto	det	tisti	PRO;NEUT;SG;3	DET;NOM;NEUT;SG
for	za	for	za	ADP	
ble	postala	ble	postati		V;PFV;FEM;SG;V.PTCP
ble	postal	ble	postati		V;PFV;MASC;SG;V.PTCP
ble	ostal	ble	ostati		V;PFV;MASC;SG;V.PTCP
ble	ostala	ble	ostati		V;PFV;FEM;SG;V.PTCP
var	var	vere	vara	V;IND;PST;FIN	N;NOM;MASC;SG
var	bil	vere	biti	V;IND;PST;FIN	V;MASC;SG;V.PTCP
var	bila	vere	biti	V;IND;PST;FIN	V;FEM;SG;V.PTCP
var	bili	vere	biti	V;IND;PST;FIN	V;MASC;PL;V.PTCP
han	hana	han	hana	PRO;NOM;MASC;SG;3	N;NOM;FEM;SG
han	han	han	han	PRO;NOM;MASC;SG;3	N;NOM;MASC;SG
fra	iz	fra	iz		ADP;GEN
fra	od	fra	od		ADP;GEN
har	got	ha	got	V;IND;PRS;FIN	N;NOM;MASC;SG
ikke	ni	ikke	biti		V;IND;SG;3;NEG;PRS;FIN
ikke	ne	ikke	ne		PART
også	tudi	også	tudi	ADV	PART
også	preveč	også	preveč	ADV	DET
ved	drva	ved	drva	ADP	N;NOM;FEM;SG
etter	po	etter	po	ADP	N;NOM;MASC;SG
under	spodaj	under	spodaj	ADP	ADV
under	pod	under	pod	ADP	
eksterne	zunanji	ekstern	zunanji	ADJ;PL	ADJ;NOM;DEF;MASC;SG
eksterne	zunanja	ekstern	zunanji	ADJ;PL	ADJ;NOM;FEM;SG
kan	lahko	kunne	lahko	V;IND;PRS;FIN	ADV
andre	andre	annan	andre	DET;PL	PROPN;NOM;MASC;SG
andre	drugi	annan	drug	DET;PL	ADJ;NOM;MASC;SG
andre	drugo	annan	drug	DET;PL	ADJ;NOM;NEUT;SG
andre	druga	annan	drug	DET;PL	ADJ;NOM;FEM;SG
andre	druge	annan	drug	DET;PL	ADJ;NOM;FEM;PL
andre	drugi	annan	drug	DET;PL	ADJ;NOM;MASC;SG
andre	drugih	annan	drug	DET;PL	ADJ;GEN;MASC;PL
andre	druge	annan	drug	DET;PL	ADJ;NOM;FEM;PL
dette	to	dette	ta	PRO;NEUT;SG;3	DET;NOM;NEUT;SG
dette	ta	dette	ta	PRO;NEUT;SG;3	DET;NOM;MASC;SG
dette	tole	dette	tale	PRO;NEUT;SG;3	
dette	tega	dette	ta	PRO;NEUT;SG;3	DET;GEN;NEUT;SG
over	konec	over	konec	ADP	N;NOM;MASC;SG
over	zgoraj	over	zgoraj	ADP	ADV
første	prvi	første	prvi	ADJ;DEF;SG	ADJ;NOM;MASC;PL
første	najprej	første	najprej	ADJ;DEF;SG	ADV;RL
hun	hun	hun	hun		N;NOM;MASC;SG
hun	ona	hun	on		PRO;NOM;FEM;SG;3
sin	njegovo	sin	njegov	PRO;MASC;SG	DET;NOM;NEUT;SG;3
sin	njegove	sin	njegov	PRO;MASC;SG	DET;NOM;FEM;PL;3
sin	njegov	sin	njegov	PRO;MASC;SG	DET;NOM;MASC;SG;3
sin	njegova	sin	njegov	PRO;MASC;SG	DET;NOM;FEM;SG;3
sin	its	sin	its	PRO;MASC;SG	
født	rojene	føde	rojen	ADJ;INDF;SG;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
født	rojeni	føde	rojen	ADJ;INDF;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
født	rodil	føde	roditi	ADJ;INDF;SG;V.PTCP	V;MASC;SG;V.PTCP
mot	pogum	mot	pogum	ADP	N;NOM;MASC;SG
mot	mot	mot	mot	ADP	
denne	to	denne	ta	PRO;SG;3	DET;NOM;NEUT;SG
denne	ta	denne	ta	PRO;SG;3	DET;NOM;MASC;SG
denne	tole	denne	tale	PRO;SG;3	
denne	tega	denne	ta	PRO;SG;3	DET;GEN;NEUT;SG
hans	hans	hans	hans	PRO;NEUT;SG	PROPN;NOM;MASC;SG
hans	njegovo	hans	njegov	PRO;NEUT;SG	DET;NOM;NEUT;SG;3
hans	njegove	hans	njegov	PRO;NEUT;SG	DET;NOM;FEM;PL;3
hans	njegov	hans	njegov	PRO;NEUT;SG	DET;NOM;MASC;SG;3
hans	njegova	hans	njegov	PRO;NEUT;SG	DET;NOM;FEM;SG;3
norsk	norveško	norsk	norveški	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
norsk	norveške	norsk	norveški	N;INDF;MASC;SG	ADJ;NOM;FEM;PL
norsk	norveška	norsk	norveški	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
norsk	norveški	norsk	norveški	N;INDF;MASC;SG	ADJ;NOM;DEF;MASC;SG
norsk	norsk	norsk	norski	N;INDF;MASC;SG	
flere	večkratno	flere	večkraten		ADV
flere	večkratni	flere	večkraten		ADJ;NOM;MASC;SG
flere	več	flere	več		DET
flere	bolj	flere	bolj		ADV;CMPR
fikk	got	fikk	got	V;IND;PST;FIN	N;NOM;MASC;SG
norge	norveško	norge	norveški	PROPN	ADJ;NOM;NEUT;SG
norge	norveška	norge	norveški	PROPN	ADJ;NOM;FEM;SG
noen	kogarkoli	noen	kogarkoli		N;ACC;MASC;SG
noen	kdorkoli	noen	kdorkoli		PRO;NOM;MASC;SG
noen	nekdo	noen	nekdo		PRO;NOM;MASC;SG
noen	nekatere	noen	nekateri		DET;NOM;FEM;PL
noen	nekaterim	noen	nekateri		DET;DAT;MASC;PL
noen	nekateri	noen	nekateri		DET;NOM;MASC;PL
noen	nekaj	noen	nekaj		PRO;ACC;NEUT;SG
noen	neki	noen	nek		DET;NOM;MASC;SG
noen	katerekoli	noen	katerioli		DET;NOM;FEM;PL
noen	katerokoli	noen	katerolol		DET;NOM;NEUT;SG
noen	katerikoli	noen	katerikoli		DET;NOM;MASC;SG
noen	kdorkoli	noen	kdorkoli		PRO;NOM;MASC;SG
blir	bivanje	bli	bivanje	V;IND;PRS;FIN	N;NOM;NEUT;SG
alle	vsi	alle	ves	PRO;PL;3	DET;NOM;MASC;PL
alle	vsi	alle	ves	PRO;PL;3	DET;NOM;MASC;PL
alle	vsem	alle	ves	PRO;PL;3	DET;DAT;MASC;PL
alle	vse	alle	ves	PRO;PL;3	DET;NOM;NEUT;SG
alle	vseh	alle	ves	PRO;PL;3	DET;GEN;MASC;PL
alle	vsi	alle	ves	PRO;PL;3	DET;NOM;MASC;PL
noe	nekoliko	noe	nekoliko		ADV
noe	nekaj	noe	nekaj		PRO;ACC;NEUT;SG
