категория	kategorien	категория	kategorien	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
как	wie	как	wie	CONJ	ADP
как	inwiefern	как	inwiefern	CONJ	ADV
как	woher	как	woher	CONJ	ADV
как	mögen	как	mögen	CONJ	V;FIN
как	gefällt	как	gefallen	CONJ	V;IND;SG;3;PRS;FIN
как	wie	как	wie	CONJ	ADP
как	like	как	like	CONJ	PROPN;NOM;SG
был	war	быть	sein	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
был	wurde	быть	werden	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN;PASS
его	seinem	он	sein	PRO;ACC;MASC;SG;3	DET;DAT;MASC;SG
его	seinen	он	sein	PRO;ACC;MASC;SG;3	DET;ACC;MASC;SG
его	seine	он	sein	PRO;ACC;MASC;SG;3	DET;NOM;FEM;SG
его	sein	он	sein	PRO;ACC;MASC;SG;3	DET;NOM;MASC;SG
его	seiner	он	sein	PRO;ACC;MASC;SG;3	DET;NOM;MASC;SG
его	er	он	er	PRO;ACC;MASC;SG;3	PRO;NOM;MASC;SG;3
его	ihm	он	er	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
это	dass	это	dass	PRO;INAN;NOM;NEUT;SG	CONJ
после	danach	после	danach	ADP	ADV
после	after	после	aft	ADP	PROPN;NOM;SG
после	nachher	после	nachher	ADP	ADV
после	nachdem	после	nachdem	ADP	CONJ
области	bereiche	область	bereich	N;INAN;NOM;FEM;PL	
области	bereichen	область	bereichen	N;INAN;NOM;FEM;PL	V;NFIN
области	flächen	область	flächen	N;INAN;NOM;FEM;PL	V;NFIN
области	gebiete	область	gebieten	N;INAN;NOM;FEM;PL	
год	baujahr	год	baujahr	N;INAN;NOM;MASC;SG	
год	jahre	год	jahren	N;INAN;NOM;MASC;SG	ADV
было	war	быть	sein	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN
было	wurde	быть	werden	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN;PASS
время	zeit	время	zeit	N;INAN;NOM;NEUT;SG	ADJ
время	uhrzeit	время	uhrzeit	N;INAN;NOM;NEUT;SG	ADJ
время	zeiten	время	zeiten	N;INAN;NOM;NEUT;SG	V;NFIN
время	zeitraum	время	zeitraum	N;INAN;NOM;NEUT;SG	ADV
время	zeitpunkt	время	zeitpunkt	N;INAN;NOM;NEUT;SG	ADJ
состав	zusammensetzung	состав	zusammensetzung	N;INAN;NOM;MASC;SG	V;FIN
состав	komposition	состав	komposition	N;INAN;NOM;MASC;SG	ADJ
была	wurde	быть	werden	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN;PASS
место	spot	место	Spot	N;INAN;NOM;NEUT;SG	PROPN
место	stelle	место	stellen	N;INAN;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
место	platz	место	platz	N;INAN;NOM;NEUT;SG	ADV
место	lage	место	lagen	N;INAN;NOM;NEUT;SG	ADJ
место	standort	место	standoren	N;INAN;NOM;NEUT;SG	ADV
были	wurden	быть	werden	V;IPFV;IND;PL;PST;FIN;ACT	V;IND;PL;3;PST;FIN;PASS
