slovacchia	slovaquie	slovacchio	slovaquie	N;FEM;SG	PROPN
conquistando	conquérant	conquistare	conquérir	V;V.MSDR	N;MASC;SG
sub	sub	sub	sub	N	
riflessione	reflets	riflessione	reflet	N;FEM;SG	N;MASC;PL
vegas	vegas	vegas	vegas	N;FEM;SG	PROPN
ragno	spider	ragno	spider	N;MASC;SG	PROPN
ragno	araignée	ragno	araignée	N;MASC;SG	V;FEM;SG;PST;V.PTCP
dublino	dublin	dublino	dublin	N;MASC;SG	PROPN
francoforte	frankfurt	francoforte	frankfurt	N;FEM;SG	PROPN
francoforte	francfort	francoforte	francfort	N;FEM;SG	PROPN
inedito	inédits	inedito	inédit	ADJ;MASC;SG	ADJ;MASC;PL
inedito	inédites	inedito	inédit	ADJ;MASC;SG	ADJ;FEM;PL
inedito	inédits	inedito	inédit	ADJ;MASC;SG	ADJ;MASC;PL
quadrati	carré	quadrato	carré	N;MASC;PL	N;MASC;SG
quadrati	square	quadrato	square	N;MASC;PL	N;MASC;SG
quadrati	carrées	quadrato	carrée	N;MASC;PL	ADJ;FEM;PL
lucky	chanceux	lucky	chanceux	N	ADJ;MASC;SG
lucky	chanceuse	lucky	chanceur	N	ADJ;FEM;SG
lucky	lucky	lucky	lucky	N	PROPN
rilasciato	libérés	rilasciare	libérer	V;MASC;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
rilasciato	émises	rilasciare	émettre	V;MASC;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
rilasciato	délivrés	rilasciare	délivrer	V;MASC;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
collegati	connectée	collegare	connecter	V;MASC;PL;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
collegati	raccordée	collegare	raccorder	V;MASC;PL;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
collegati	connecté	collegare	connecter	V;MASC;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
collegati	liée	collegare	lier	V;MASC;PL;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
collegati	lié	collegare	lier	V;MASC;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
collegati	relié	collegare	relier	V;MASC;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
ottone	cuivres	ottone	cuivre	N;MASC;SG	N;MASC;PL
ottone	otto	ottone	otto	N;MASC;SG	PROPN
orologio	regardez	orologio	regarder	N;MASC;SG	V;IMP;PL;2;PRS;FIN
orologio	montre	orologio	montrer	N;MASC;SG	V;IND;SG;3;PRS;FIN
orologio	montres	orologio	montre	N;MASC;SG	N;FEM;PL
orologio	regarder	orologio	regarder	N;MASC;SG	V;NFIN
orologio	regarde	orologio	regarder	N;MASC;SG	V;IND;SG;3;PRS;FIN
orologio	horloges	orologio	horloge	N;MASC;SG	N;FEM;PL
separate	séparée	separare	séparer	V;FEM;PL;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
separate	séparé	separare	séparer	V;FEM;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
separate	distinct	separare	distinct	V;FEM;PL;PST;V.PTCP	ADJ;MASC;SG
separate	séparé	separare	séparer	V;FEM;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
mantenuta	maintenus	mantenere	maintenu	V;FEM;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
ascoli	ascoli	ascolo	ascoli	N;MASC;SG	PROPN
fate	fées	fare	fée	V;IMP;PL;2;PRS;FIN	N;FEM;PL
approvata	approuvés	approvare	approuver	V;FEM;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
approvata	approuvées	approvare	approuver	V;FEM;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
approvata	adoptées	approvare	adopter	V;FEM;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
approvata	adoptés	approvare	adopter	V;FEM;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
marrone	brown	marrone	brown	N;MASC;SG	PROPN
marrone	bruns	marrone	brun	N;MASC;SG	ADJ;MASC;PL
marrone	brun	marrone	brun	N;MASC;SG	ADJ;MASC;SG
marrone	brunes	marrone	brun	N;MASC;SG	ADJ;FEM;PL
ceramica	poteries	ceramica	poterie	N;FEM;SG	N;FEM;PL
ceramica	céramiques	ceramica	céramique	N;FEM;SG	N;FEM;PL
ceramica	céramiques	ceramica	céramique	N;FEM;SG	N;FEM;PL
eretto	érigés	erigere	ériger	V;MASC;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
eretto	érigées	erigere	ériger	V;MASC;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
sassari	sassari	sassario	sassari	ADJ;FEM;SG	PROPN
bravo	bravo	bravo	bravo	ADJ;MASC;SG	INTJ
bravo	bons	bravo	bon	ADJ;MASC;SG	ADJ;MASC;PL
bravo	bien	bravo	bien	ADJ;MASC;SG	ADV
bravo	bonnes	bravo	bon	ADJ;MASC;SG	ADJ;FEM;PL
gravità	sérieux	gravità	sérieux	N;FEM	ADJ;MASC;SG
vocali	vocaux	vocale	vocaux	N;FEM;PL	ADJ;MASC;PL
vocali	chant	vocale	chant	N;FEM;PL	N;MASC;SG
vocali	vocale	vocale	vocal	N;FEM;PL	ADJ;FEM;SG
vocali	vocal	vocale	vocal	N;FEM;PL	ADJ;MASC;SG
vocali	voyelle	vocale	voyelle	N;FEM;PL	N;FEM;SG
responsabili	responsable	responsabile	responsable	N;PL	ADJ;MASC;SG
responsabili	responsables	responsabile	responsable	N;PL	ADJ;MASC;PL
cleveland	cleveland	cleveland	cleveland	N;FEM;SG	PROPN
madagascar	madagascar	madagascare	madagascar	N;MASC;SG	PROPN
hit	frappe	hit	frapper	N;FEM	V;IND;SG;3;PRS;FIN
hit	touché	hit	toucher	N;FEM	V;MASC;SG;PST;V.PTCP
hit	frappé	hit	frapper	N;FEM	V;MASC;SG;PST;V.PTCP
hit	frapper	hit	frapper	N;FEM	V;NFIN
progettata	conçues	progettare	concevoir	V;FEM;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
progettata	conçus	progettare	concevoir	V;FEM;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
julian	julian	julian	julian	N;MASC;SG	PROPN
julian	julien	julian	julien	N;MASC;SG	PROPN
julian	julián	julian	julián	N;MASC;SG	PROPN
partigiani	partisanes	partigiano	partisan	N;MASC;PL	ADJ;FEM;PL
partigiani	partisan	partigiano	partisan	N;MASC;PL	V;MASC;SG;PST;V.PTCP
partigiani	partisane	partigiano	partisane	N;MASC;PL	ADJ;FEM;SG
collaboratore	contributeurs	collaboratore	contributeur	N;MASC;SG	N;MASC;PL
edgar	edgar	edgare	edgar	N;MASC	PROPN
raffaello	raphael	raffaello	raphael	N;MASC;SG	PROPN
raffaello	raphaël	raffaello	raphaël	N;MASC;SG	PROPN
raffaello	raffaello	raffaello	raffaello	N;MASC;SG	PROPN
memorial	memorial	memorial	memorial	N;MASC;SG	PROPN
berlusconi	berlusconi	berluscone	berlusconi	N;MASC;PL	PROPN
aurelio	aurelio	aurelio	aurelio	N;MASC;SG	PROPN
aurelio	aurelius	aurelio	aurelius	N;MASC;SG	PROPN
difficili	difficile	difficile	difficile	ADJ;PL	ADJ;MASC;SG
ucraino	ukrainiennes	ucraino	ukrainien	ADJ;MASC;SG	ADJ;FEM;PL
ucraino	ukrainiens	ucraino	ukrainien	ADJ;MASC;SG	ADJ;MASC;PL
franchigia	franchises	franchigia	franchise	N;FEM;SG	N;FEM;PL
franchigia	franchisé	franchigia	franchiser	N;FEM;SG	V;MASC;SG;PST;V.PTCP
franchigia	franchisés	franchigia	franchiser	N;FEM;SG	V;MASC;PL;PST;V.PTCP
giù	down	giù	down	ADJ;MASC;SG	PROPN
giù	descendre	giù	descendre	ADJ;MASC;SG	V;NFIN
tessuti	tissu	tessuto	tissu	N;MASC;PL	N;MASC;SG
josef	josef	josef	josef	N;MASC;SG	PROPN
martínez	martínez	martínez	martíne	N;FEM;SG	PROPN
finalisti	finaliste	finalista	finaliste	N;MASC;PL	N;MASC;SG
allan	allan	allan	allan	N;MASC;SG	PROPN
mina	mina	mina	miner	N;FEM;SG	PROPN
nacional	nacional	nacional	nacional	N;FEM;SG	PROPN
antonino	antonino	antonino	antonino	ADJ;MASC;SG	PROPN
essenziale	essentielles	essenziale	essentiel	ADJ;SG	ADJ;FEM;PL
essenziale	essentiels	essenziale	essentiel	ADJ;SG	ADJ;MASC;PL
essenziale	essentiels	essenziale	essentiel	ADJ;SG	ADJ;MASC;PL
essenziale	essentielles	essenziale	essentiel	ADJ;SG	ADJ;FEM;PL
duello	duels	duello	duel	N;MASC;SG	N;MASC;PL
immediato	immédiates	immediato	immédiat	ADJ;MASC;SG	ADJ;FEM;PL
immediato	immédiats	immediato	immédiat	ADJ;MASC;SG	ADJ;MASC;PL
immediato	immédiatement	immediato	immédiatement	ADJ;MASC;SG	ADV
leggeri	lumiere	leggero	lumiere	ADJ;MASC;PL	N;FEM;SG
leggeri	lumière	leggero	lumière	ADJ;MASC;PL	N;FEM;SG
leggeri	légère	leggero	léger	ADJ;MASC;PL	ADJ;FEM;SG
leggeri	léger	leggero	léger	ADJ;MASC;PL	ADJ;MASC;SG
leggeri	léger	leggero	léger	ADJ;MASC;PL	ADJ;MASC;SG
leggeri	légèreté	leggero	légèreté	ADJ;MASC;PL	N;FEM;SG
leggeri	légère	leggero	léger	ADJ;MASC;PL	ADJ;FEM;SG
coinvolti	impliqué	coinvolgere	impliquer	V;MASC;PL;PST;V.PTCP	V;MASC;SG;PST;V.PTCP
coinvolti	impliquée	coinvolgere	impliquer	V;MASC;PL;PST;V.PTCP	V;FEM;SG;PST;V.PTCP
suicidio	suicides	suicidio	suicide	N;MASC;SG	N;MASC;PL
local	locale	local	local	N	ADJ;FEM;SG
local	local	local	local	N	ADJ;MASC;SG
local	locales	local	local	N	ADJ;FEM;PL
local	locaux	local	local	N	ADJ;MASC;PL
adriatico	adriatico	adriatico	adriatico	ADJ;MASC;SG	PROPN
adrian	adrien	adrian	adrien	N;FEM;SG	PROPN
adrian	adrian	adrian	adrian	N;FEM;SG	PROPN
regolari	ordinaire	regolare	ordinaire	ADJ;PL	ADJ;MASC;SG
regolari	régulière	regolare	régulier	ADJ;PL	ADJ;FEM;SG
regolari	régulier	regolare	régulier	ADJ;PL	ADJ;MASC;SG
famose	fameux	famoso	fameux	ADJ;FEM;PL	ADJ;MASC;SG
famose	célèbre	famoso	célèbre	ADJ;FEM;PL	ADJ;MASC;SG
fiamme	flamme	fiamma	flamme	N;FEM;PL	N;FEM;SG
comunisti	communisme	comunista	communisme	N;MASC;PL	N;MASC;SG
comunisti	communiste	comunista	communiste	N;MASC;PL	ADJ;MASC;SG
hell	hell	hell	hell	N	PROPN
kiss	baiser	kiss	baiser	N	V;NFIN
kiss	kiss	kiss	kiss	N	PROPN
gestita	gérés	gestire	gérer	V;FEM;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
seattle	seattle	seattla	seattle	N;MASC;SG	PROPN
nathan	nathan	nathan	nathan	N;SG	PROPN
topolino	mickey	topolino	mickey	N;MASC;SG	PROPN
wang	wang	wang	wang	N;MASC;SG	PROPN
sedici	sixteen	sedici	sixteen	NUM	N;MASC;SG
anticipo	avancée	anticipo	avancé	N;MASC;SG	ADJ;FEM;SG
philadelphia	philadelphia	philadelphia	philadelphia	N;FEM;SG	PROPN
levi	levi	leve	levir	N;MASC;SG	PROPN
ispirata	inspirées	ispirare	inspirer	V;FEM;SG;PST;V.PTCP	V;FEM;PL;PST;V.PTCP
ispirata	inspirés	ispirare	inspirer	V;FEM;SG;PST;V.PTCP	V;MASC;PL;PST;V.PTCP
iscritti	inscrits	iscritto	inscrire	N;MASC;PL	V;MASC;PL;PST;V.PTCP
iscritti	inscrit	iscritto	inscrire	N;MASC;PL	V;MASC;SG;PST;V.PTCP
taglia	cut	taglia	cevoir	N;FEM;SG	PROPN
taglia	couper	taglia	couper	N;FEM;SG	V;NFIN
taglia	coupé	taglia	couper	N;FEM;SG	V;MASC;SG;PST;V.PTCP
taglia	coupez	taglia	coupez	N;FEM;SG	V;IMP;PL;2;PRS;FIN
taglia	tailles	taglia	taille	N;FEM;SG	N;FEM;PL
orange	orangé	orangia	orangé	N;FEM;SG	ADJ;MASC;SG
orange	oranges	orangia	orange	N;FEM;SG	N;FEM;PL
rettangolare	rectangle	rettangolare	rectangle	ADJ;SG	N;MASC;SG
rettangolare	rectangulaires	rettangolare	rectangulaire	ADJ;SG	ADJ;MASC;PL
riposo	reposant	riposo	reposer	N;MASC;SG	V;PRS;V.PTCP
riposo	repos	riposo	repos	N;MASC;SG	ADJ;MASC;SG
riposo	repose	riposo	reposer	N;MASC;SG	V;IND;SG;3;PRS;FIN
intensa	intenses	intenso	intense	ADJ;FEM;SG	ADJ;MASC;PL
allenamento	pratiquer	allenamento	pratiquer	N;MASC;SG	V;NFIN
allenamento	pratique	allenamento	pratique	N;MASC;SG	ADJ;FEM;SG
allenamento	pratiques	allenamento	pratique	N;MASC;SG	N;FEM;PL
invenzione	inventés	invenzione	inventer	N;FEM;SG	V;MASC;PL;PST;V.PTCP
invenzione	inventée	invenzione	inventer	N;FEM;SG	V;FEM;SG;PST;V.PTCP
invenzione	inventé	invenzione	inventer	N;FEM;SG	V;MASC;SG;PST;V.PTCP
porti	ports	portare	port	V;IND;SG;2;PRS;FIN	N;MASC;PL
lemmon	lemmon	lemmon	lemmon	N;MASC;SG	
borghese	borghese	borghese	borghese	N;MASC;SG	PROPN
borghese	bourgeoise	borghese	bourgeois	N;MASC;SG	ADJ;FEM;SG
polemiche	controverse	polemica	controverse	N;FEM;PL	N;FEM;SG
polemiche	polémique	polemica	polémique	N;FEM;PL	ADJ;FEM;SG
historia	historia	historia	historia	N;FEM;SG	PROPN
ritardo	retarder	ritardo	retarder	N;MASC;SG	V;NFIN
ritardo	tardive	ritardo	tardif	N;MASC;SG	ADJ;FEM;SG
ritardo	tardif	ritardo	tardif	N;MASC;SG	ADJ;MASC;SG
ritardo	tard	ritardo	tard	N;MASC;SG	ADV
ritardo	retardée	ritardo	retarder	N;MASC;SG	V;FEM;SG;PST;V.PTCP
ritardo	retardé	ritardo	retarder	N;MASC;SG	V;MASC;SG;PST;V.PTCP
ritardo	retardés	ritardo	retarder	N;MASC;SG	V;MASC;PL;PST;V.PTCP
ritardo	différé	ritardo	différer	N;MASC;SG	V;MASC;SG;PST;V.PTCP
