nie	не	nie	не	PART;NEG	INTJ;NEG
był	бе	być	съм	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
jego	неговият	on	мой	PRO;GEN;MASC;SG;3	DET;DEF;MASC;SG;3
jego	неговата	on	мой	PRO;GEN;MASC;SG;3	DET;DEF;FEM;SG;3
jego	му	on	мой	PRO;GEN;MASC;SG;3	PRO;DAT;MASC;SG;3
jego	неговия	on	мой	PRO;GEN;MASC;SG;3	DET;DEF;MASC;SG;3
center	център	center	център		N;INDF;MASC;SG
tym	това	to	този	PRO;INS;NEUT;SG	PRO;NOM;NEUT;SG
dyskusja	обсъждания	dyskusja	обсъждане	N;NOM;FEM;SG	N;INDF;NEUT;PL
dyskusja	дискусии	dyskusja	дискусия	N;NOM;FEM;SG	N;INDF;FEM;PL
jak	като	jak	като	ADV	CONJ
jak	like	jak	like	ADV	PROPN;INDF;MASC;SG
też	също	też	също	PART	ADV
polski	поляк	polski	поляк	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
polski	полша	polski	полша	ADJ;NOM;MASC;SG	PROPN;INDF;FEM;SG
zewnętrzne	външно	zewnętrzny	външен	ADJ;NOM;NEUT;SG	ADV
zewnętrzne	външни	zewnętrzny	външен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
także	също	także	също	PART	ADV
cet	cet	cet	cet		N;INDF;NEUT;SG
team	тийм	team	тийм		N;INDF;MASC;PL
team	отбор	team	отбор		N;INDF;MASC;SG
team	отбора	team	отбор		N;DEF;MASC;SG
team	екип	team	екип		N;INDF;MASC;SG
team	team	team	team		PROPN;INDF;MASC;SG
który	което	który	който	DET;NOM;MASC;SG	PRO;NOM;NEUT;SG
który	която	który	който	DET;NOM;MASC;SG	PRO;NOM;FEM;SG
również	също	również	също	PART	ADV
jej	нейната	on	мой	PRO;GEN;FEM;SG;3	DET;DEF;FEM;SG;3
jej	неин	on	неин	PRO;GEN;FEM;SG;3	DET;INDF;MASC;SG;3
jej	нейните	on	мой	PRO;GEN;FEM;SG;3	DET;DEF;PL;3
jej	нейният	on	мой	PRO;GEN;FEM;SG;3	DET;DEF;MASC;SG;3
jej	нейна	on	мой	PRO;GEN;FEM;SG;3	DET;INDF;FEM;SG;3
jej	нейни	on	мой	PRO;GEN;FEM;SG;3	DET;INDF;PL;3
jej	нея	on	аз	PRO;GEN;FEM;SG;3	PRO;ACC;FEM;SG;3
lat	лат	rok	лат	N;GEN;MASC;PL	INTJ
brak	липса	brak	липса	V;IND;PRS;FIN	N;INDF;FEM;SG
brak	отсъствие	brak	отсъствие	V;IND;PRS;FIN	N;INDF;NEUT;SG
brak	липса	brak	липса	V;IND;PRS;FIN	N;INDF;FEM;SG
brak	липсващ	brak	липсвам	V;IND;PRS;FIN	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
brak	изчезнал	brak	изчезна	V;IND;PRS;FIN	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
brak	липсваща	brak	липсвам	V;IND;PRS;FIN	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
brak	липсващи	brak	липсвам	V;IND;PRS;FIN	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
brak	изчезнала	brak	изчезна	V;IND;PRS;FIN	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
podczas	докато	podczas	докато	ADP	CONJ
była	бе	być	съм	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
które	което	który	който	DET;ACC;MASC;SG	PRO;NOM;NEUT;SG
które	която	który	който	DET;ACC;MASC;SG	PRO;NOM;FEM;SG
września	септември	wrzesień	септември		N;INDF;MASC;SG
ich	тяхното	on	наш	PRO;GEN;MASC;PL;3	DET;DEF;NEUT;SG;3
ich	тяхната	on	наш	PRO;GEN;MASC;PL;3	DET;DEF;FEM;SG;3
ich	техните	on	наш	PRO;GEN;MASC;PL;3	DET;DEF;PL;3
ich	техният	on	наш	PRO;GEN;MASC;PL;3	DET;DEF;MASC;SG;3
ich	ги	on	аз	PRO;GEN;MASC;PL;3	PRO;ACC;PL;3
ich	тях	on	аз	PRO;GEN;MASC;PL;3	PRO;ACC;PL;3
ich	ich	on	ich	PRO;GEN;MASC;PL;3	PROPN;INDF;MASC;SG
miejscowość	city	miejscowość	city	N;NOM;FEM;SG	PROPN;INDF;MASC;SG
wieku	вековен	wiek	вековен	N;GEN;MASC;SG	ADJ;INDF;MASC;SG
tylko	само	tylko	само	PART	ADV
tylko	единствено	tylko	единствено	PART	ADV
tylko	просто	tylko	просто	PART	ADV
tylko	само	tylko	само	PART	ADV
maja	май	mieć	май		PROPN;INDF;MASC;SG
maja	мая	mieć	мая		N;INDF;FEM;SG
maja	мая	mieć	мая		N;INDF;FEM;SG
miasta	city	miasto	city	N;GEN;NEUT;SG	PROPN;INDF;MASC;SG
miasta	градове	miasto	град	N;GEN;NEUT;SG	N;INDF;MASC;PL
miasta	градовете	miasto	град	N;GEN;NEUT;SG	N;DEF;MASC;PL
miasta	градчета	miasto	градче	N;GEN;NEUT;SG	N;INDF;NEUT;PL
miasta	градове	miasto	град	N;GEN;NEUT;SG	N;INDF;MASC;PL
miasta	градовете	miasto	град	N;GEN;NEUT;SG	N;DEF;MASC;PL
zobacz	видя	zobaczyć	видя-(се)	V;PFV;IMP;SG;2;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
zobacz	вижте	zobaczyć	видя-(се)	V;PFV;IMP;SG;2;FIN;ACT	V;PFV;IMP;PL;2;FIN
zobacz	изглед	zobaczyć	изглед	V;PFV;IMP;SG;2;FIN;ACT	N;INDF;MASC;SG
zobacz	гледка	zobaczyć	гледка	V;PFV;IMP;SG;2;FIN;ACT	N;INDF;FEM;SG
zobacz	оглед	zobaczyć	оглед	V;PFV;IMP;SG;2;FIN;ACT	N;INDF;MASC;SG
zobacz	преглед	zobaczyć	преглед	V;PFV;IMP;SG;2;FIN;ACT	N;INDF;MASC;SG
gmina	gmina	gmina	gmina		PROPN;INDF;MASC;SG
gmina	община	gmina	община		N;INDF;FEM;SG
nad	nad	nad	naи	ADP	INTJ
polsce	полша	polska	полша	ADV	PROPN;INDF;FEM;SG
już	вече	już	вече	PART	ADV
grudnia	декември	grudzień	декември		N;INDF;MASC;SG
marca	март	marza	март		N;INDF;MASC;SG
marca	марк	marza	марк		PROPN;INDF;MASC;SG
