से	от	से	от		ADP
है	hai	है	hai	V;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
है	хай	है	хай	V;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
श्रेणी	серии	श्रेणी	серия	N;NOM;FEM;SG;3	N;INDF;FEM;PL
श्रेणी	категории	श्रेणी	категория	N;NOM;FEM;SG;3	N;INDF;FEM;PL
भी	също	भी	също	PART	ADV
यह	това	यह	този	PRO;NOM;SG;3	PRO;NOM;NEUT;SG
किया	готово	कर	готов	V;PFV;MASC;SG;V.PTCP;ACT	ADV
किया	направено	कर	направя-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
किया	сторено	कर	сторя-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
इस	това	यह	този	DET;ACC;SG;3	PRO;NOM;NEUT;SG
कि	че	कि	че		CONJ
भारत	индия	भारत	индия	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
जो	джо	जो	джо	PRO;NOM;SG;3	PROPN;INDF;MASC;SG
जो	кой	जो	кой	PRO;NOM;SG;3	PRO;NOM;MASC;SG
ही	хи	ही	хвой	PART	N;INDF;MASC;SG
कर	данъци	कर	данък	V;ACT	N;INDF;MASC;PL
कर	данък	कर	данък	V;ACT	N;INDF;MASC;SG
कर	данъците	कर	данък	V;ACT	N;DEF;MASC;PL
कर	данъци	कर	данък	V;ACT	N;INDF;MASC;PL
नहीं	не	नहीं	не	PART;NEG	INTJ;NEG
उत्तराखण्ड	утаракханд	उत्तराखण्ड	утаракханд	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
साथ	със	साथ	със	ADV;NOM;MASC;SG;3	ADP
पूर्व	изток	पूर्व	изток	ADV;NOM;MASC;SG;3	N;INDF;MASC;SG
पूर्व	бивши	पूर्व	бивш	ADV;NOM;MASC;SG;3	ADJ;INDF;PL
पूर्व	бивш	पूर्व	бивш	ADV;NOM;MASC;SG;3	N;INDF;MASC;SG
पूर्व	бивша	पूर्व	бивш	ADV;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
बाद	след	बाद	след	ADV;NOM;MASC;SG;3	ADP
तक	докато	तक	докато	CONJ	CONJ
तक	тил	तक	тил	CONJ	N;INDF;MASC;SG
तक	так	तक	так	CONJ	INTJ
अपने	собствен	अपना	собствен	PRO;NOM;MASC	ADJ;INDF;MASC;SG
अपने	собствена	अपना	собствен	PRO;NOM;MASC	ADJ;INDF;FEM;SG
अपने	собствено	अपना	собствен	PRO;NOM;MASC	ADV
अपने	собствени	अपना	собствен	PRO;NOM;MASC	ADJ;INDF;PL
अपने	вашият	अपना	ваш	PRO;NOM;MASC	DET;DEF;MASC;SG;2
अपने	твоят	अपना	тоя	PRO;NOM;MASC	DET;DEF;MASC;SG;1
अपने	твоя	अपना	твоя	PRO;NOM;MASC	DET;DEF;FEM;SG;2
अपने	твоята	अपना	твой	PRO;NOM;MASC	DET;DEF;FEM;SG;1
जिले	райони	जिला	район	N;NOM;MASC;SG;3	N;INDF;MASC;PL
जिले	области	जिला	област	N;NOM;MASC;SG;3	N;INDF;FEM;PL
जिले	квартали	जिला	квартал	N;NOM;MASC;SG;3	N;INDF;MASC;PL
राज्य	държави	राज्य	държава	N;NOM;MASC;SG;3	N;INDF;FEM;PL
राज्य	щати	राज्य	щат	N;NOM;MASC;SG;3	N;INDF;MASC;PL
राज्य	държавно	राज्य	държавен	N;NOM;MASC;SG;3	ADV
बाहरी	открито	बाहरी	открито	ADJ;NOM	ADV
बाहरी	външно	बाहरी	външен	ADJ;NOM	ADV
कुछ	някои	कुछ	някой	DET	PRO;NOM;PL
कुछ	нещо	कुछ	някой	DET	PRO;NOM;INDF;NEUT;SG
गाँव	село	गाँव	село	N;NOM;MASC;PL;3	N;INDF;NEUT;SG
सरकार	тръпки	सरकार	тръпка	N;NOM;FEM;SG;3	N;INDF;FEM;PL
दिया	дадени	दे	дам-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;PL;V.PTCP;PASS
दिया	дадена	दे	даден	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;FEM;SG
