aturar	stand	aturar	stand	V	N;MASC+FEM;SG
cá	het	cá	het	N	PRO;3
cá	de	cá	de	N	DET;DEF
saberán	ze	saber	ze	V	PRO;3
saberán	zij	saber	zij	V	PRO;NOM;3
patada	schoppen	patada	schoppen	N	V;NFIN
natal	geboorteplaats	natal	geboorteplaats	PROPN	N;MASC+FEM;SG
natal	geboortestad	natal	geboortestad	PROPN	N;MASC+FEM;SG
natal	woonplaats	natal	woonplaats	PROPN	N;MASC+FEM;SG
comparación	vergeleken	comparación	vergelijken	N	V;V.PTCP
reclamar	claim	reclamar	claim	V	N;NEUT;SG
reclamar	voor	reclamar	voor	V	ADP
polonia	polen	polonia	polen	PROPN	PROPN;NEUT;SG
humilde	nederige	humilde	nederig	N	ADJ
humilde	nederig	humilde	nederig	N	ADJ
humilde	bescheiden	humilde	bescheiden	N	ADJ
detén	haltes	detén	halte	V	N;PL
faltaba	was	faltar	zijn	V	V;SG;PST;FIN
chegaría	zou	chegar	zullen	V	V;SG;PST;FIN
hmm	hmm	hmm	hmm	PROPN	INTJ
febles	zwakken	feble	zwak	ADJ	V;NFIN
corren	ren	currir	ren	V	N;MASC+FEM;SG
corren	run	currir	run	V	N;MASC+FEM;SG
gañaches	jij	gañaches	jij	N	PRO;NOM;2
gañaches	jou	gañaches	jou	N	PRO;ACC;2
gañaches	gewonnen	gañaches	winnen	N	V;V.PTCP
gañaches	won	gañaches	winnen	N	V;SG;PST;FIN
gañaches	win	gañaches	winnen	N	V;SG;PRS;FIN
gañaches	winnen	gañaches	winnen	N	V;NFIN
alerta	alert	alertar	aleren	N	ADJ
puxeches	jij	puxeche	jij	V	PRO;NOM;2
puxeches	jou	puxeche	jou	V	PRO;ACC;2
larry	larry	larry	larry	PROPN	N;MASC+FEM;SG
arrestaron	ze	arrestar	ze	V	PRO;3
arrestaron	zij	arrestar	zij	V	PRO;NOM;3
parados	standing	parado	standing	N	
parados	staande	parado	staan	N	V;V.PTCP
parados	staand	parado	staand	N	V;V.PTCP
parados	werklozen	parado	werkloos	N	ADJ
parados	werkloos	parado	werkloos	N	ADJ
parados	werkloze	parado	werkloos	N	ADJ
balbordo	drukte	balbordo	drukken	N	V;SG;PST;FIN
tiros	neergeschoten	tiro	neerschieten	N	V;V.PTCP
axudala	helpen	axudala	helpen	N	V;NFIN
axudala	jij	axudala	jij	N	PRO;NOM;2
axudala	jou	axudala	jou	N	PRO;ACC;2
axudala	haar	axudala	haar	N	PRO;ACC;3
enfronte	front	enfronte	front	ADV	
enfronte	voorkant	enfronte	voorkant	ADV	N;MASC+FEM;SG
enfronte	voorzijde	enfronte	voorzijde	ADV	N;MASC+FEM;SG
quedes	stand	quedes	stand	V	N;MASC+FEM;SG
kent	kent	kent	kennen	PROPN	V;SG;PRS;FIN
douche	jij	douche	jij	V	PRO;NOM;2
douche	jou	douche	jou	V	PRO;ACC;2
pódolle	kan	pódoller	kunnen	N	V;SG;PRS;FIN
pódolle	kunt	pódoller	kunnen	N	V;SG;PRS;FIN
pódolle	kunnen	pódoller	kunnen	N	V;PL;PRS;FIN
maletas	inpakken	maleta	inpakken	N	V;NFIN
marchen	maart	marchar	maart	V	PROPN;MASC+FEM;SG
atreves	jij	atrever	jij	V	PRO;NOM;2
atreves	jou	atrever	jou	V	PRO;ACC;2
choro	huil	choro	huilen	N	V;SG;PRS;FIN
choro	huilen	choro	huilen	N	V;NFIN
impórtache	jij	impórtache	jij	N	PRO;NOM;2
impórtache	jou	impórtache	jou	N	PRO;ACC;2
impórtache	mind	impórtache	mind	N	
acouguen	rustig	acougar	rustig	PROPN	ADJ
acouguen	eenvoudig	acougar	eenvoudig	PROPN	ADJ
acouguen	makkelijk	acougar	makkelijk	PROPN	ADJ
acouguen	easy	acougar	easy	PROPN	N;MASC+FEM;SG
acouguen	gemakkelijk	acougar	gemakkelijk	PROPN	ADJ
acouguen	alstublieft	acougar	alstublieft	PROPN	V;SG;PRS;FIN
acouguen	aub	acougar	aub	PROPN	INTJ
acouguen	alsjeblieft	acougar	alsjeblieft	PROPN	V;SG;PRS;FIN
