nasr	nasr	nasr	nasr	PROPN	
perspectivă	perspektywa	perspectivă	perspektywa	N;INDF;FEM;SG	N;NOM;FEM;SG
perspectivă	perspektywę	perspectivă	perspektywa	N;INDF;FEM;SG	N;ACC;FEM;SG
perspectivă	perspektywy	perspectivă	perspektywa	N;INDF;FEM;SG	N;ACC;FEM;PL
recenzie	recenzja	recenzie	recenzja	N;INDF;FEM;SG	N;NOM;FEM;SG
recenzie	przeglądu	recenzie	przegląd	N;INDF;FEM;SG	N;GEN;MASC;SG
recenzie	przegląd	recenzie	przegląd	N;INDF;FEM;SG	
recenzie	rewizja	recenzie	rewizja	N;INDF;FEM;SG	N;NOM;FEM;SG
pierdută	zagubiona	pierde	zagubić	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
pierdută	zagubiony	pierde	zagubić	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
pierdută	stracił	pierde	stracić	ADJ;INDF;FEM;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
pierdută	stracone	pierde	stracić	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
pierdută	utracone	pierde	utracić	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
stewart	stewart	stewart	stewart	PROPN	N;NOM;MASC;SG
trimisă	wysłany	trimite	wysłać	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
trimisă	wysłane	trimite	wysłać	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
trimisă	wysłano	trimite	wysłać	ADJ;INDF;FEM;SG	V;PFV;IND;0;PST;FIN;ACT
aveyron	aveyron	aveyron	aveyron	PROPN	
obținută	uzyskano	obține	uzyskać	ADJ;INDF;FEM;SG	V;PFV;IND;0;PST;FIN;ACT
obținută	uzyskane	obține	uzyskać	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
obținută	otrzymana	obține	otrzymać	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
obținută	otrzymany	obține	otrzymać	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
obținută	otrzymane	obține	otrzymać	ADJ;INDF;FEM;SG	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
adâncimea	głębokość	adâncime	głębokość	N;DEF;FEM;SG	N;NOM;FEM;SG
adâncimea	głębokości	adâncime	głębokość	N;DEF;FEM;SG	N;GEN;FEM;SG
chelsea	chelsea	chelsea	chelsie	N;DEF;FEM;SG	
unire	łączenie	unire	łączenie	N;INDF;FEM;SG	N;NOM;NEUT;SG
unire	połączyć	unire	połączyć	N;INDF;FEM;SG	V;PFV;NFIN;ACT
întâlnirea	spotkania	întâlnire	spotkanie	N;DEF;FEM;SG	N;NOM;NEUT;PL
întâlnirea	posiedzenie	întâlnire	posiedzenie	N;DEF;FEM;SG	N;NOM;NEUT;SG
întâlnirea	zebranie	întâlnire	zebranie	N;DEF;FEM;SG	N;NOM;NEUT;SG
întâlnirea	spotkanie	întâlnire	spotkanie	N;DEF;FEM;SG	N;NOM;NEUT;SG
panzer	pancerna	panzer	pancerny	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
cursa	wyścig	cursă	wyścig	N;DEF;FEM;SG	N;NOM;MASC;SG
cursa	rasy	cursă	rasa	N;DEF;FEM;SG	N;ACC;FEM;PL
cursa	race	cursă	raka	N;DEF;FEM;SG	
cursa	rasa	cursă	rasa	N;DEF;FEM;SG	N;NOM;FEM;SG
doctoratul	doktorat	doctorat	doktorat	N;DEF;MASC;SG	N;ACC;MASC;SG
catalogul	katalog	catalog	katalog	N;DEF;MASC;SG	N;NOM;MASC;SG
catalogul	katalogu	catalog	katalóg	N;DEF;MASC;SG	N;GEN;MASC;SG
catalogul	katalog	catalog	katalog	N;DEF;MASC;SG	N;NOM;MASC;SG
catalogul	katalogu	catalog	katalóg	N;DEF;MASC;SG	N;GEN;MASC;SG
catalogul	katalogi	catalog	kataloga	N;DEF;MASC;SG	N;NOM;MASC;PL
publicitate	reklamy	publicitate	reklama	N;INDF;FEM;SG	N;ACC;FEM;SG
publicitate	reklama	publicitate	reklama	N;INDF;FEM;SG	N;NOM;FEM;SG
publicitate	reklamę	publicitate	reklama	N;INDF;FEM;SG	N;ACC;FEM;SG
vânt	wiatry	vânt	wiatr	N;INDF;MASC;SG	N;NOM;MASC;PL
blocarea	zablokowanie	blocare	zablokować	N;DEF;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
blocarea	blokowanie	blocare	blokować	N;DEF;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
obiectivul	cel	obiectiv	cel	N;DEF;MASC;SG	N;NOM;MASC;SG
regilor	kings	regilor	kings	N;DEF;MASC;PL	
regilor	królowie	regilor	król	N;DEF;MASC;PL	N;NOM;MASC;PL
regilor	królów	regilor	król	N;DEF;MASC;PL	N;ACC;MASC;PL
spirituale	duchowy	spiritual	duchowy	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
spirituale	duchowego	spiritual	duchowy	ADJ;INDF;FEM;PL	ADJ;ACC;MASC;SG
spirituale	duchowym	spiritual	duchowy	ADJ;INDF;FEM;PL	ADJ;INS;MASC;SG
spirituale	duchowej	spiritual	duchowy	ADJ;INDF;FEM;PL	ADJ;GEN;FEM;SG
spirituale	duchowe	spiritual	duchowy	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
ing	ing	ing	ingy	N;INDF;MASC;SG	
elevii	uczniowie	elev	uczeń	N;DEF;MASC;PL	N;NOM;MASC;PL
elevii	studenci	elev	student	N;DEF;MASC;PL	N;NOM;MASC;PL
elevii	studentów	elev	student	N;DEF;MASC;PL	N;ACC;MASC;PL
elevii	uczniowie	elev	uczeń	N;DEF;MASC;PL	N;NOM;MASC;PL
elevii	źrenice	elev	źrenica	N;DEF;MASC;PL	N;NOM;FEM;PL
elevii	uczniów	elev	uczeń	N;DEF;MASC;PL	N;ACC;MASC;PL
determinarea	określenie	determinare	określenie	N;DEF;FEM;SG	N;NOM;NEUT;SG
determinarea	oznaczenie	determinare	oznaczenie	N;DEF;FEM;SG	N;NOM;NEUT;SG
determinarea	ustalenie	determinare	ustalenie	N;DEF;FEM;SG	N;PFV;NOM;NEUT;SG;POS;V.MSDR
determinarea	oznaczanie	determinare	oznaczać	N;DEF;FEM;SG	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
determinarea	określanie	determinare	określać	N;DEF;FEM;SG	N;NOM;NEUT;SG
frumoasa	piękne	frumos	piękny	ADJ;DEF;FEM;SG	ADJ;NOM;NEUT;SG
frumoasa	piękna	frumos	piękny	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;SG
frumoasa	pięknie	frumos	pięknie	ADJ;DEF;FEM;SG	ADV
frumoasa	śliczna	frumos	śliczny	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;SG
mobilă	mobile	mobilă	mobil	N;INDF;FEM;SG	
mobilă	mobilnej	mobilă	mobilny	N;INDF;FEM;SG	ADJ;GEN;FEM;SG
mobilă	mobilne	mobilă	mobilny	N;INDF;FEM;SG	ADJ;NOM;NEUT;SG
mobilă	komórka	mobilă	komórka	N;INDF;FEM;SG	N;NOM;FEM;SG
mobilă	meble	mobilă	mebel	N;INDF;FEM;SG	N;NOM;MASC;PL
potter	potter	potter	potter	PROPN	
corina	corina	corină	corina	N;DEF;FEM;SG	
anonim	anonimowy	anonim	anonimowy		ADJ;NOM;MASC;SG
anonim	anonimowych	anonim	anonimowy		ADJ;GEN;MASC;PL
anonim	anonimowe	anonim	anonimowy		ADJ;NOM;NEUT;SG
plumb	prowadź	plumb	prowadzić	N;INDF;MASC;SG	V;IPFV;IMP;SG;2;FIN;ACT
plumb	ołowiu	plumb	ołowiek	N;INDF;MASC;SG	
localizat	położony	localiza	położyć	ADJ;INDF;MASC;SG	
efortul	wysiłek	efort	wysiłek	N;DEF;MASC;SG	N;ACC;MASC;SG
efortul	nakład	efort	nakład	N;DEF;MASC;SG	N;NOM;MASC;SG
