что	какво	что	какъв	PRO;NOM	DET;NEUT;SG
как	как	как	как	CONJ	ADV
как	like	как	like	CONJ	PROPN;INDF;MASC;SG
был	бе	быть	съм	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
его	неговият	он	мой	PRO;ACC;MASC;SG;3	DET;DEF;MASC;SG;3
его	неговата	он	мой	PRO;ACC;MASC;SG;3	DET;DEF;FEM;SG;3
его	му	он	мой	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
его	неговия	он	мой	PRO;ACC;MASC;SG;3	DET;DEF;MASC;SG;3
это	че	это	че	PRO;INAN;NOM;NEUT;SG	CONJ
было	бе	быть	съм	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IPFV;IND;SG;3;PST;FIN;ACT
были	бяха	быть	съм	V;IPFV;IND;PL;PST;FIN;ACT	V;IPFV;IND;PL;3;PST;FIN;ACT
вид	видове	вид	вид	N;INAN;NOM;MASC;SG	N;INDF;MASC;PL
только	само	только	само	PART	ADV
только	единствено	только	единствено	PART	ADV
только	просто	только	просто	PART	ADV
только	само	только	само	PART	ADV
ссср	ссср	ссср	ссср	PROPN;INAN;NOM;MASC;SG	PROPN;INDF;MASC;SG
более	повече	более	повече	ADV;CMPR	ADV;INDF;PL
более	още	более	още	ADV;CMPR	ADV
мая	май	май	май	N;INAN;GEN;MASC;SG	PROPN;INDF;MASC;SG
все	всички	все	всеки	PRO;INAN;NOM;NEUT;SG	PRO;NOM;PL
все	всички	все	всеки	PRO;INAN;NOM;NEUT;SG	PRO;NOM;PL
августа	аугуст	август	аугуст	N;INAN;GEN;MASC;SG	PROPN;INDF;MASC;SG
том	том	то	том	PRO;INAN;NOM;NEUT;SG	PROPN;INDF;MASC;SG
апреля	ейприл	апрель	ейприл	N;INAN;GEN;MASC;SG	PROPN;INDF;FEM;SG
сша	сащ	сшать	сащ	N;INAN;NOM;PL	PROPN;INDF;MASC;PL
сша	usa	сшать	usa	N;INAN;NOM;PL	PROPN;INDF;MASC;SG
человек	човешка	человек	човешки	N;ANIM;NOM;MASC;SG	ADJ;INDF;FEM;SG
человек	човешко	человек	човешки	N;ANIM;NOM;MASC;SG	ADV
человек	човешки	человек	човешки	N;ANIM;NOM;MASC;SG	ADJ;INDF;MASC;SG
человек	човече	человек	човече	N;ANIM;NOM;MASC;SG	ADV
того	того	то	този	PRO;INAN;GEN;NEUT;SG	PROPN
города	град	город	град	N;INAN;NOM;MASC;PL	N;INDF;MASC;SG
города	градът	город	град	N;INAN;NOM;MASC;PL	N;DEF;MASC;SG
города	сити	город	сит	N;INAN;NOM;MASC;PL	N;INDF;MASC;SG
города	city	город	city	N;INAN;NOM;MASC;PL	PROPN;INDF;MASC;SG
может	могат	мочь	мога	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
может	can	мочь	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN;INDF;MASC;SG
войны	войната	война	война	N;INAN;NOM;FEM;PL	N;DEF;FEM;SG
войны	война	война	война	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
можно	могат	можно	мога	ADV	V;IPFV;IND;PL;3;PRS;FIN;ACT
можно	can	можно	can	ADV	PROPN;INDF;MASC;SG
когда	когато	когда	когато	CONJ	ADV
когда	кога	когда	кога	CONJ	ADV
переписи	преброяването	перепись	преброяване	N;INAN;NOM;FEM;PL	N;DEF;NEUT;SG
переписи	преброяване	перепись	преброяване	N;INAN;NOM;FEM;PL	N;INDF;NEUT;SG
один	сама	один	сама	NUM;NOM;MASC	ADJ;INDF;FEM;SG
один	сам	один	сам	NUM;NOM;MASC	N;INDF;MASC;SG
один	один	один	один	NUM;NOM;MASC	N;INDF;MASC;SG
реки	ривър	река	ривър	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
реки	река	река	река	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
реки	реката	река	река	N;INAN;NOM;FEM;PL	N;DEF;FEM;SG
реки	ривърс	река	ривърс	N;INAN;NOM;FEM;PL	N;INDF;MASC;SG
через	виа	через	видя-(се)	ADP	N;INDF;MASC;SG
через	via	через	via	ADP	ADJ
национальный	национални	национальный	национален	ADJ;NOM;MASC;SG	ADJ;INDF;PL
национальный	национално	национальный	национален	ADJ;NOM;MASC;SG	ADV
сельское	селско	сельский	селски	ADJ;NOM;NEUT;SG	ADV
официальный	официално	официальный	официално	ADJ;NOM;MASC;SG	ADV
этот	това	этот	този	DET;NOM;MASC;SG	PRO;NOM;NEUT;SG
будет	уил	быть	ухл	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN;INDF;MASC;SG
несколько	няколко	несколько	няколко	ADV	PRO;INDF
несколько	множествена	несколько	множествен	ADV	ADJ;INDF;FEM;SG
несколько	многобройни	несколько	многоброен	ADV	ADJ;INDF;PL
несколько	множество	несколько	множество	ADV	N;INDF;NEUT;SG
город	city	город	city	N;INAN;NOM;MASC;SG	PROPN;INDF;MASC;SG
первое	първо	первый	първо	ADJ;NOM;NEUT;SG	ADV
всего	общо	все	общо	PRO;INAN;GEN;NEUT;SG	ADV
всего	общ	все	общ	PRO;INAN;GEN;NEUT;SG	ADJ;INDF;MASC;SG
всего	обща	все	общ	PRO;INAN;GEN;NEUT;SG	ADJ;INDF;FEM;SG
первый	първо	первый	първо	ADJ;NOM;MASC;SG	ADV
всех	всички	все	всеки	PRO;ANIM;ACC;PL	PRO;NOM;PL
