категория	kategorii	категория	kategoria	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
что	jakie	что	jaki	PRO;NOM	DET;ACC;MASC;SG
что	co	что	co	PRO;NOM	
для	na	для	na	ADP	INTJ
для	za	для	za	ADP	PART
как	jak	как	jak	CONJ	ADV
как	jak	как	jak	CONJ	ADV
как	like	как	lik	CONJ	
его	jego	он	on	PRO;ACC;MASC;SG;3	PRO;GEN;MASC;SG;3
также	także	также	także	ADV	PART
также	też	также	też	ADV	PART
также	również	также	również	ADV	PART
это	tym	это	to	PRO;INAN;NOM;NEUT;SG	PRO;INS;NEUT;SG
это	że	это	że	PRO;INAN;NOM;NEUT;SG	PART
после	after	после	after	ADP	
после	po	после	po	ADP	INTJ
области	obszarach	область	obszary	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
год	roku	год	rok	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
время	czasu	время	czas	N;INAN;NOM;NEUT;SG	N;GEN;MASC;SG
была	była	быть	być	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
была	był	быть	być	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
была	było	быть	być	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
место	spot	место	spot	N;INAN;NOM;NEUT;SG	
были	były	быть	być	V;IPFV;IND;PL;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
район	dzielnicy	район	dzielnica	N;INAN;NOM;MASC;SG	N;GEN;FEM;SG
район	powiat	район	powiat	N;INAN;NOM;MASC;SG	
район	obszarze	район	obszarz	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
вид	gatunki	вид	gatunek	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
вид	zobacz	вид	zobaczyć	N;INAN;NOM;MASC;SG	V;PFV;IMP;SG;2;FIN;ACT
есть	got	быть	gotować	V;IPFV;IND;SG;3;PRS;FIN;ACT	
есть	mam	быть	mieć	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
язык	języku	язык	język	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
ссср	zsrr	ссср	zsrr	PROPN;INAN;NOM;MASC;SG	PROPN;NOM;MASC;SG
районе	sąsiedztwo	район	sąsiedztwo	N;INAN;ESS;MASC;SG	N;NOM;NEUT;SG
районе	osiedle	район	osiedle	N;INAN;ESS;MASC;SG	N;NOM;NEUT;SG
районе	dzielnica	район	dzielnica	N;INAN;ESS;MASC;SG	N;NOM;FEM;SG
районе	okolica	район	okolica	N;INAN;ESS;MASC;SG	N;NOM;FEM;SG
код	kodu	код	koda	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
код	code	код	cod	N;INAN;NOM;MASC;SG	
код	kod	код	kod	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
более	more	более	more	ADV;CMPR	
мая	majowe	май	majowy	N;INAN;GEN;MASC;SG	ADJ;NOM;NEUT;SG
мая	maja	май	mieć	N;INAN;GEN;MASC;SG	
мая	może	май	móc	N;INAN;GEN;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
мая	majowy	май	majowy	N;INAN;GEN;MASC;SG	ADJ;NOM;MASC;SG
мая	maj	май	maj	N;INAN;GEN;MASC;SG	
дата	data	дата	datać	N;INAN;NOM;FEM;SG	
ноября	listopadzie	ноябрь	listopad	N;INAN;GEN;MASC;SG	N;ACC;MASC;SG
ноября	listopad	ноябрь	listopad	N;INAN;GEN;MASC;SG	
деревня	wiosce	деревня	wioska	N;INAN;NOM;FEM;SG	N;DAT;FEM;SG
деревня	wioski	деревня	wioska	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
января	styczeń	январь	styczenie	N;INAN;GEN;MASC;SG	
марта	marta	март	marta	N;INAN;GEN;MASC;SG	PROPN;NOM;FEM;SG
марта	marta	март	marta	N;INAN;GEN;MASC;SG	PROPN;NOM;FEM;SG
марта	martha	март	martha	N;INAN;GEN;MASC;SG	PROPN;NOM;FEM;SG
марта	marto	март	marto	N;INAN;GEN;MASC;SG	V;IPFV;IMP;SG;2;FIN;ACT
марта	marzec	март	marzec	N;INAN;GEN;MASC;SG	
марта	marca	март	marza	N;INAN;GEN;MASC;SG	
марта	marsz	март	marsz	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
все	wszystkie	все	wszystek	PRO;INAN;NOM;NEUT;SG	DET;NOM;MASC;PL
все	all	все	all	PRO;INAN;NOM;NEUT;SG	
все	wszyscy	все	wszyscy	PRO;INAN;NOM;NEUT;SG	PRO;NOM;MASC;PL
все	każdy	все	każdy	PRO;INAN;NOM;NEUT;SG	DET;NOM;MASC;SG
все	wszyscy	все	wszyscy	PRO;INAN;NOM;NEUT;SG	PRO;NOM;MASC;PL
августа	augusta	август	augusta	N;INAN;GEN;MASC;SG	
августа	august	август	august	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
августа	sierpień	август	sierpienie	N;INAN;GEN;MASC;SG	
августа	augusta	август	augusta	N;INAN;GEN;MASC;SG	
том	tomek	то	tomek	PRO;INAN;NOM;NEUT;SG	N;NOM;MASC;SG
том	tom	то	tom	PRO;INAN;NOM;NEUT;SG	
октября	październik	октябрь	październik	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
октября	październik	октябрь	październik	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
сентября	wrzesień	сентябрь	wrzesień	N;INAN;GEN;MASC;SG	
сентября	września	сентябрь	wrzesień	N;INAN;GEN;MASC;SG	
статьи	artykułów	статья	artykuł	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
уже	juz	уже	juz	ADV	
