של	shel	של	shel	PART;GEN	
את	sen	את	sen	PART;ACC	PRO;NOM;SG;2
את	seni	את	sen	PART;ACC	PRO;ACC;SG;2
את	siz	את	siz	PART;ACC	PRO;NOM;PL;2
על	hakkında	על	hak	ADP	N;ESS;SG;3
על	yaklaşık	על	yaklaşık	ADP	
קטגוריה	kategori	קטגוריה	kategori	N;FEM;SG	
עם	with	עם	with	ADP	
עם	ile	עם	ile	ADP	
גם	ayrica	גם	ayrica	ADV	
גם	ayrıca	גם	ayrıca	ADV	
זה	bu	זה	bu	PRO;MASC;SG;3	
זה	bu	זה	bu	PRO;MASC;SG;3	
שיחה	ara	שיחה	ara	N;FEM;SG	
שיחה	arayın	שיחה	ara	N;FEM;SG	V;PFV;IMP;PL;2;POS;PRS
שיחה	çağrı	שיחה	çağrı	N;FEM;SG	
שיחה	arama	שיחה	ara	N;FEM;SG	
לאחר	sonrası	לאחר	sonra	ADP	
לאחר	ardından	לאחר	ardından	ADP	ADV
לאחר	sonrasında	לאחר	sonra	ADP	N;ESS;SG;3
לאחר	sonra	לאחר	sonra	ADP	ADV
בין	fasulye	בין	fasulye	ADP	
בין	bean	בין	bean	ADP	
בין	inter	בין	inte	ADP	
בין	arasında	בין	ara	ADP	ADJ;ESS;SG;3
בין	arasına	בין	ara	ADP	ADJ;DAT;SG;3
בין	arası	בין	ara	ADP	ADJ;NOM;SG;3
בין	arasındaki	בין	ara	ADP	ADJ;ESS;SG;3
כל	all	כול	all	DET;PSSD	
כל	hepsini	כול	hepsi	DET;PSSD	PRO;ACC;PL;3
כל	tamamı	כול	tamam	DET;PSSD	
כל	hepsi	כול	hepsi	DET;PSSD	PRO;NOM;PL;3
כל	tümü	כול	tümü	DET;PSSD	
כל	herhangi	כול	herhangi	DET;PSSD	
כי	cünkü	כי	cünkü	CONJ	
כי	çünkü	כי	çünkü	CONJ	CONJ
יותר	devamı	יותר	devam	ADV	
יותר	more	יותר	more	ADV	
ישראל	israil	ישראל	israil	PROPN	PROPN;NOM;SG;3
אך	fakat	אך	fakat	CONJ	
יש	oley	יש	oley	V	
שם	orada	שם	ora	ADV	N;ESS;SG;3
שם	orda	שם	ora	ADV	N;ESS;SG;3
שם	adınız	שם	adınız	ADV	N;NOM;SG;3
שם	isim	שם	isim	ADV	N;NOM;SG;3
שם	ad	שם	ad	ADV	N;NOM;SG;3
שם	adın	שם	ad	ADV	
שם	adı	שם	ad	ADV	N;NOM;SG;3
בית	beit	בית	beit	N;MASC;SG	PROPN;NOM;SG;3
בית	yuva	בית	yuva	N;MASC;SG	
בית	house	בית	hou	N;MASC;SG	PROPN;NOM;SG;3
אשר	asher	אשר	asher	CONJ	PROPN;NOM;SG;3
אשר	escher	אשר	escher	CONJ	
אשר	usher	אשר	ushe	CONJ	
אשר	hangi	אשר	hangi	CONJ	ADJ
אשר	hangisi	אשר	hangi	CONJ	
אשר	onayla	אשר	ona	CONJ	
אשר	doğrula	אשר	doğrula	CONJ	
כמו	like	כמו	like	ADP	
כמו	beğen	כמו	beğen	ADP	
כמו	gibi	כמו	gibi	ADP	
אחד	biri	אחד	biri	NUM;MASC;SG	PRO;NOM;SG;3
אחד	bir	אחד	bir	NUM;MASC;SG	
שמאל	soldaki	שמאל	soldaki	N;MASC;SG	
שמאל	soldan	שמאל	sol	N;MASC;SG	ADJ;AT+ABL;SG;3
שמאל	sol	שמאל	sol	N;MASC;SG	
שמאל	sola	שמאל	sola	N;MASC;SG	
קישורים	bağlar	קישורים	bağla	N;MASC;PL	
חיצוניים	harici	חיצוני	harici	ADJ;MASC;PL	
הברית	ittifak	הברית	ittifak	PROPN	N;NOM;SG;3
מספר	rakam	מספר	rakam	N;MASC;SG	
מספר	numara	מספר	numar	N;MASC;SG	
מספר	sayı	מספר	say	N;MASC;SG	
בו	onu	ב	o	ADP	PRO;ACC;SG;3
בו	boo	ב	boo	ADP	
רק	just	רק	just	ADV	
בן	ben	בן	ben	PROPN	PRO;NOM;SG;1
בן	oğul	בן	oğul	PROPN	
בן	evlat	בן	evlat	PROPN	
בן	oğlum	בן	oğul	PROPN	N;NOM;SG;3
שלו	onun	של	o		PRO;GEN;SG;3
שני	ikinci	שני	ikinci	NUM;MASC;PL	ADJ
שני	ikincisi	שני	ikinci	NUM;MASC;PL	NUM;NOM;SG;3
שני	iki	שני	iki	NUM;MASC;PL	
שני	pazartesi	שני	pazartesi	NUM;MASC;PL	
מה	ne	מה	ne	ADV	
העיר	town	העיר	town	V;MASC;SG;3;PST;ACT	PROPN;NOM;SG;3
העיר	kasaba	העיר	kasaba	V;MASC;SG;3;PST;ACT	
העיר	şehir	העיר	şehir	V;MASC;SG;3;PST;ACT	
העיר	sehir	העיר	sehir	V;MASC;SG;3;PST;ACT	
העיר	city	העיר	city	V;MASC;SG;3;PST;ACT	PROPN;NOM;SG;3
העיר	şehir	העיר	şehir	V;MASC;SG;3;PST;ACT	
במהלך	esnasında	במהלך	esna	ADV	N;ESS;SG;3
במהלך	sırasında	במהלך	sıra	ADV	N;ESS;SG;3
כן	evet	כן	evet	ADV	N;NOM;SG;3
כן	yes	כן	yes	ADV	
כן	evet	כן	evet	ADV	N;NOM;SG;3
שנים	yıllarca	שנה	yıllarca	N;FEM;PL	ADV
שנים	yıllardır	שנה	yıl	N;FEM;PL	V;IPFV;IND;PL;3;POS
שנים	seneler	שנה	sene	N;FEM;PL	
אף	burnunu	אף	burun	CONJ	N;ACC;SG;3
אף	burnun	אף	burun	CONJ	N;GEN;SG;3
אף	burnu	אף	burun	CONJ	N;NOM;SG;3
אף	burun	אף	burun	CONJ	
אף	eff	אף	eff	CONJ	
רבים	birçok	רב	birçok	V;MASC;PL;V.PTCP;ACT	DET
רבים	çoğul	רב	çoğul	V;MASC;PL;V.PTCP;ACT	
אבל	fakat	אבל	fakat	CONJ	
בה	onun	ב	o		PRO;GEN;SG;3
בה	onu	ב	o		PRO;ACC;SG;3
אין	hiçbiri	None	hiçbiri	ADV;NEG	PRO;NOM;SG;3
אין	yok	None	yok	ADV;NEG	
אביב	aviv	אביב	aviv	N;MASC;SG	PROPN;NOM;SG;3
אביב	ilkbahar	אביב	ilkbahar	N;MASC;SG	
אביב	yay	אביב	yay	N;MASC;SG	
אביב	bahar	אביב	bahar	N;MASC;SG	
במאי	may	במאי	may	N;MASC;SG	
במאי	mayis	במאי	mayis	N;MASC;SG	
במאי	mayıs	במאי	mayıs	N;MASC;SG	
במאי	müdür	במאי	müdür	N;MASC;SG	
במאי	yönetmen	במאי	yönetmen	N;MASC;SG	
במאי	yönetici	במאי	yönetici	N;MASC;SG	
שנה	yıl	שנה	yıl	N;FEM;SG	
שנה	yılı	שנה	yıl	N;FEM;SG	
