kategória	kategorijo	kategória	kategorija	N;NOM;FEM;SG	N;ACC;FEM;SG
roku	leto	rok	leto	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
roku	letnica	rok	letnica	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
ako	kot	ako	kot	ADV	CONJ
pozri	glej	pozrieť	gledati	V;PFV;IMP;SG;2;POS;FIN	V;IPFV;IMP;SG;2;FIN
pozri	glejte	pozrieť	gledati	V;PFV;IMP;SG;2;POS;FIN	V;IPFV;IMP;PL;2;FIN
obce	občin	obec	občina	N;NOM;FEM;PL	N;GEN;FEM;PL
obce	občin	obec	občina	N;NOM;FEM;PL	N;GEN;FEM;PL
obce	vasi	obec	vas	N;NOM;FEM;PL	N;GEN;FEM;SG
obyvateľov	prebivalcev	obyvateľ	prebivalec	N;ANIM;ACC;MASC;PL	N;GEN;MASC;PL
obyvateľov	prebivalci	obyvateľ	prebivalec	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
obyvateľov	stanovalci	obyvateľ	stanovalec	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
obyvateľov	prebivalcev	obyvateľ	prebivalec	N;ANIM;ACC;MASC;PL	N;GEN;MASC;PL
obyvateľov	prebivalci	obyvateľ	prebivalec	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
obec	komune	obec	komun	N;NOM;FEM;SG	N;NOM;FEM;PL
obec	vasi	obec	vas	N;NOM;FEM;SG	N;GEN;FEM;SG
pre	za	pre	za	ADP;ACC	
jeho	njegovo	jeho	njegov	DET;NOM;NEUT;SG;3	DET;NOM;NEUT;SG;3
jeho	njegove	jeho	njegov	DET;NOM;NEUT;SG;3	DET;NOM;FEM;PL;3
jeho	njegov	jeho	njegov	DET;NOM;NEUT;SG;3	DET;NOM;MASC;SG;3
jeho	njegova	jeho	njegov	DET;NOM;NEUT;SG;3	DET;NOM;FEM;SG;3
jeho	its	jeho	its	DET;NOM;NEUT;SG;3	
ktorá	katero	ktorý	kateri	DET;NOM;FEM;SG	DET;ACC;NEUT;SG
ktorá	kateri	ktorý	kateri	DET;NOM;FEM;SG	DET;NOM;MASC;SG
ktorá	katere	ktorý	kateri	DET;NOM;FEM;SG	DET;ACC;FEM;PL
ktorá	katerih	ktorý	kateri	DET;NOM;FEM;SG	DET;GEN;MASC;PL
ktorá	ki	ktorý	ki	DET;NOM;FEM;SG	CONJ
ktorá	katerega	ktorý	kateri	DET;NOM;FEM;SG	DET;GEN;MASC;SG
bod	točko	bod	točka	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
ktoré	katero	ktorý	kateri	DET;NOM;NEUT;SG	DET;ACC;NEUT;SG
ktoré	kateri	ktorý	kateri	DET;NOM;NEUT;SG	DET;NOM;MASC;SG
ktoré	katere	ktorý	kateri	DET;NOM;NEUT;SG	DET;ACC;FEM;PL
ktoré	katerih	ktorý	kateri	DET;NOM;NEUT;SG	DET;GEN;MASC;PL
ktoré	ki	ktorý	ki	DET;NOM;NEUT;SG	CONJ
ktoré	katerega	ktorý	kateri	DET;NOM;NEUT;SG	DET;GEN;MASC;SG
ktorý	katero	ktorý	kateri	DET;ANIM;NOM;MASC;SG	DET;ACC;NEUT;SG
ktorý	kateri	ktorý	kateri	DET;ANIM;NOM;MASC;SG	DET;NOM;MASC;SG
ktorý	katere	ktorý	kateri	DET;ANIM;NOM;MASC;SG	DET;ACC;FEM;PL
ktorý	katerih	ktorý	kateri	DET;ANIM;NOM;MASC;SG	DET;GEN;MASC;PL
ktorý	ki	ktorý	ki	DET;ANIM;NOM;MASC;SG	CONJ
ktorý	katerega	ktorý	kateri	DET;ANIM;NOM;MASC;SG	DET;GEN;MASC;SG
odkazy	sklicevanje	odkaz	sklicevanje	N;INAN;NOM;MASC;PL	N;NOM;NEUT;SG
externé	zunanje	externý	zunanji	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
iné	drugi	iný	drug	DET;NOM;NEUT;SG	ADJ;NOM;MASC;SG
iné	drugo	iný	drug	DET;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
iné	druga	iný	drug	DET;NOM;NEUT;SG	ADJ;NOM;FEM;SG
iné	druge	iný	drug	DET;NOM;NEUT;SG	ADJ;NOM;FEM;PL
iné	drugi	iný	drug	DET;NOM;NEUT;SG	ADJ;NOM;MASC;SG
iné	drugih	iný	drug	DET;NOM;NEUT;SG	ADJ;GEN;MASC;PL
iné	druge	iný	drug	DET;NOM;NEUT;SG	ADJ;NOM;FEM;PL
