magnolia	magnolia	magnolie	magnolia	N;DEF;FEM;SG	PROPN;NOM;SG
informare	briefing	informare	briefing	N;INDF;FEM;SG	PROPN
informare	unterrichtung	informare	unterrichtung	N;INDF;FEM;SG	V;IND;SG;3;PRS;FIN
populatii	bevölkerung	populat	bevölkerung	N;INDF;FEM;PL	ADJ
populatii	bevölkerungen	populat	bevölkerung	N;INDF;FEM;PL	V;NFIN
bere	biere	bere	bieren	N;INDF;FEM;SG	
bere	biergarten	bere	biergarten	N;INDF;FEM;SG	V;NFIN
bere	bier	bere	bier	N;INDF;FEM;SG	
solicitat	beantragt	solicita	beantragen	ADJ;INDF;MASC;SG	V;V.PTCP
solicitat	angefordert	solicita	anfordern	ADJ;INDF;MASC;SG	V;V.PTCP
solicitat	beantragte	solicita	beantragen	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
solicitat	gewünscht	solicita	wünschen	ADJ;INDF;MASC;SG	V;V.PTCP
solicitat	verlangt	solicita	verlangen	ADJ;INDF;MASC;SG	V;V.PTCP
mandatul	vollmacht	mandat	vollmacht	N;DEF;MASC;SG	V;SG;FIN
mandatul	haftbefehl	mandat	haftbefehl	N;DEF;MASC;SG	ADJ
mandatul	mandat	mandat	mandat	N;DEF;MASC;SG	N;NOM;SG
cape	cape	cape	cape	N;INDF;MASC;SG	PROPN;NOM;SG
cape	kap	cape	kopmen	N;INDF;MASC;SG	
cape	kapstadt	cape	kapstadt	N;INDF;MASC;SG	PROPN;NOM;SG
expert	fachmann	expert	fachmann	N;INDF;MASC;SG	
expert	experten	expert	expert	N;INDF;MASC;SG	V;IND;PL;3;FIN
expert	experte	expert	expern	N;INDF;MASC;SG	
expert	sachverständiger	expert	sachverständig	N;INDF;MASC;SG	ADJ
expert	sachverständige	expert	sachverständig	N;INDF;MASC;SG	ADJ;NOM;FEM;PL
zahar	saccharose	zahar	saccharose	N;INDF;MASC;SG	;NOM;SG
zahar	zuckergehalt	zahar	zuckergehalt	N;INDF;MASC;SG	ADJ
zahar	zucker	zahar	zucker	N;INDF;MASC;SG	ADJ
zahar	sugar	zahar	sugar	N;INDF;MASC;SG	PROPN;SG
zahar	zuckergehalt	zahar	zuckergehalt	N;INDF;MASC;SG	ADJ
zahar	zucker	zahar	zucker	N;INDF;MASC;SG	ADJ
zahar	sugar	zahar	sugar	N;INDF;MASC;SG	PROPN;SG
wagner	wagner	wagner	wagner	PROPN	PROPN;NOM;MASC;SG
calugar	mönch	calugar	mönch	N;INDF;MASC;SG	PROPN;SG
calugar	monk	calugar	monk	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
calugar	mönch	calugar	mönch	N;INDF;MASC;SG	PROPN;SG
calugar	monk	calugar	monk	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
titu	titu	titu	titu	PROPN	
scandal	skandalös	scandal	skandalös	N;INDF;MASC;SG	ADJ
scandal	affäre	scandal	affäre	N;INDF;MASC;SG	ADJ;SG
scandal	skandale	scandal	skandal	N;INDF;MASC;SG	ADJ;NOM;FEM;PL
digitala	digitalkamera	digitală	digitalkamera	N;DEF;FEM;SG	
digitala	digitalen	digitală	digital	N;DEF;FEM;SG	ADJ;ACC;MASC;SG
digitala	digitales	digitală	digital	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG
digitala	digitale	digitală	digital	N;DEF;FEM;SG	ADJ;NOM;FEM;PL
digitala	digital	digitală	digital	N;DEF;FEM;SG	ADJ
fals	false	fals	falsen	ADJ;INDF;MASC;SG	PROPN
fals	falsche	fals	falsch	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
fals	gefälscht	fals	fälschen	ADJ;INDF;MASC;SG	V;V.PTCP
fals	fake	fals	faklen	ADJ;INDF;MASC;SG	
ruta	streckenführung	ruta	streckenführung	N;DEF;FEM;SG	ADJ
ruta	route	ruta	rouen	N;DEF;FEM;SG	PROPN;NOM;SG
ruta	anfahrt	ruta	anfahren	N;DEF;FEM;SG	PROPN
ruta	streckenführung	ruta	streckenführung	N;DEF;FEM;SG	ADJ
ruta	route	ruta	rouen	N;DEF;FEM;SG	PROPN;NOM;SG
ruta	anfahrt	ruta	anfahren	N;DEF;FEM;SG	PROPN
clement	clément	clement	clément	PROPN	PROPN;NOM;SG
clement	clément	clement	clément	PROPN	PROPN;NOM;SG
clement	clement	clement	clement	PROPN	PROPN
liberi	free	liber	free	ADJ;INDF;MASC;PL	PROPN
arhiducele	erzherzog	arhiduc	erzherziehen	N;DEF;MASC;SG	
amintirea	erinnerungen	amintire	erinnerung	N;DEF;FEM;SG	N;NOM;FEM;PL
amintirea	gedächtnis	amintire	gedächtnis	N;DEF;FEM;SG	
amintirea	erinnerung	amintire	erinnerung	N;DEF;FEM;SG	ADJ
amintirea	arbeitsspeicher	amintire	arbeitsspeicher	N;DEF;FEM;SG	ADJ
amintirea	speicher	amintire	speich	N;DEF;FEM;SG	ADJ
medicamente	medikamenten	medicament	medikament	N;INDF;FEM;PL	ADJ;PL
medicamente	drogen	medicament	drogen	N;INDF;FEM;PL	
medicamente	arzneimittel	medicament	arzneimittel	N;INDF;FEM;PL	
medicamente	medizin	medicament	medizin	N;INDF;FEM;PL	N;NOM;SG
medicamente	medikamenten	medicament	medikament	N;INDF;FEM;PL	ADJ;PL
medicamente	medikamente	medicament	medikament	N;INDF;FEM;PL	ADJ;NOM;FEM;SG
intrebat	gebeten	intreba	bitten	N;INDF;MASC;SG	V;V.PTCP
intrebat	fragte	intreba	fragen	N;INDF;MASC;SG	V;IND;SG;3;PST;FIN
intrebat	fragt	intreba	fragen	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
intrebat	gefragt	intreba	fragen	N;INDF;MASC;SG	V;V.PTCP
intrebat	gebeten	intreba	bitten	N;INDF;MASC;SG	V;V.PTCP
intrebat	fragte	intreba	fragen	N;INDF;MASC;SG	V;IND;SG;3;PST;FIN
intrebat	fragt	intreba	fragen	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
intrebat	gefragt	intreba	fragen	N;INDF;MASC;SG	V;V.PTCP
stari	staaten	stare	staaten	N;INDF;FEM;PL	V;FIN
stari	launen	stare	launen	N;INDF;FEM;PL	V;NFIN
stari	stimmungen	stare	stimmung	N;INDF;FEM;PL	V;PL
stari	stari	stare	stari	N;INDF;FEM;PL	PROPN;NOM;SG
colaborator	mitwirkenden	colaborator	mitwirkend	N;INDF;MASC;SG	V;IND;PL;3;PST;FIN
opiniile	gutachten	opinie	gutacht	N;DEF;FEM;PL	V;NFIN
opiniile	stellungnahmen	opinie	stellungnahmen	N;DEF;FEM;PL	V;NFIN
opiniile	meinungen	opinie	meinungen	N;DEF;FEM;PL	V;NFIN
opiniile	meinung	opinie	meinung	N;DEF;FEM;PL	N;NOM;FEM;SG
lunar	monat	lunar	monat	ADJ;INDF;MASC;SG	ADV
lunar	monats	lunar	monats	ADJ;INDF;MASC;SG	
lunar	monatliche	lunar	monatlich	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
lunar	lunar	lunar	lunar	ADJ;INDF;MASC;SG	PROPN
omenirii	menschheit	omenire	menschheit	N;DEF;FEM;SG	
celulele	zelle	celulă	zellen	N;DEF;FEM;PL	
celulele	zellen	celulă	zellen	N;DEF;FEM;PL	V;NFIN
percutie	percussion	percutie	percussion	N;INDF;FEM;SG	PROPN
percutie	schlagzeug	percutie	schlagzeug	N;INDF;FEM;SG	ADJ
short	kurze	short	kurz	N;INDF;MASC;SG	ADJ;NOM;FEM;PL
short	kurzer	short	kurz	N;INDF;MASC;SG	ADJ
short	short	short	short	N;INDF;MASC;SG	PROPN
short	kurz	short	kurz	N;INDF;MASC;SG	ADJ
short	kurzen	short	kurz	N;INDF;MASC;SG	ADJ;ACC;MASC;SG
baron	freiherr	baron	freiherr	N;INDF;MASC;SG	
baron	baron	baron	baron	N;INDF;MASC;SG	PROPN
suficienta	genügend	suficient	genügend	ADJ;DEF;FEM;SG	ADV
suficienta	ausreichende	suficient	ausreichend	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;PL
suficienta	ausreichend	suficient	ausreichend	ADJ;DEF;FEM;SG	ADV
atelier	workshop	atelier	workshop	N;INDF;MASC;SG	
atelier	workshops	atelier	workshops	N;INDF;MASC;SG	
atelier	werkstätten	atelier	werkstätten	N;INDF;MASC;SG	V;NFIN
barry	barry	barry	barry	PROPN	PROPN;SG
mercur	mercury	mercur	mercury	N;INDF;MASC;SG	PROPN;NOM;SG
mercur	quecksilber	mercur	quecksilber	N;INDF;MASC;SG	
mercur	merkur	mercur	merkuer	N;INDF;MASC;SG	
tun	cannon	tun	cannon	N;INDF;MASC;SG	PROPN;NOM;SG
tun	kanonen	tun	kanon	N;INDF;MASC;SG	N;NOM;FEM;PL
tun	tun	tun	tun	N;INDF;MASC;SG	V;NFIN
cresc	wächst	crește	wachsen	V;IND;PL;3;PRS;FIN	V;IND;SG;3;PRS;FIN
concluzie	fazit	concluzie	fazit	N;INDF;FEM;SG	N;NOM;NEUT;SG
concluzie	abschluss	concluzie	abschließen	N;INDF;FEM;SG	ADV
concluzie	schlußfolgerung	concluzie	schlußfolgerung	N;INDF;FEM;SG	ADJ
concluzie	schlussfolgerung	concluzie	schlussfolgerung	N;INDF;FEM;SG	ADJ
admis	zugegeben	admite	zugeben	ADJ;INDF;MASC;SG	V;V.PTCP
admis	aufgenommen	admite	aufnehmen	ADJ;INDF;MASC;SG	V;V.PTCP
admis	zugelassen	admite	zulassen	ADJ;INDF;MASC;SG	V;V.PTCP
astrofizica	astrophysik	astrofizică	astrophysik	N;DEF;FEM;SG	
egalitate	gleichberechtigung	egalitate	gleichberechtigung	N;INDF;FEM;SG	ADJ
egalitate	gleichstellung	egalitate	gleichstellung	N;INDF;FEM;SG	N;NOM;FEM;SG
egalitate	gleichbehandlung	egalitate	gleichbehandlung	N;INDF;FEM;SG	ADJ
egalitate	gleichheit	egalitate	gleichheit	N;INDF;FEM;SG	
egalitate	chancengleichheit	egalitate	chancengleichheit	N;INDF;FEM;SG	;NOM
identificare	identifizierung	identificare	identifizierung	N;INDF;FEM;SG	ADJ
identificare	kennzeichnung	identificare	kennzeichnung	N;INDF;FEM;SG	N;NOM;FEM;SG
identificare	kennung	identificare	kennung	N;INDF;FEM;SG	ADJ
identificare	identifikation	identificare	identifikation	N;INDF;FEM;SG	ADJ
astronomic	astronomische	astronomic	astronomisch	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
ungureanu	ungureanu	ungureanu	ungureanu	PROPN	ADJ
gasita	gefunden	gasita	finden	ADJ;DEF;FEM;SG	V;V.PTCP
gasita	fanden	gasita	finden	ADJ;DEF;FEM;SG	V;IND;PL;3;PST;FIN
gasita	fand	gasita	finden	ADJ;DEF;FEM;SG	V;IND;SG;3;PST;FIN
haine	bekleidung	haină	bekleidung	N;INDF;FEM;PL	
haine	kleidung	haină	kleidung	N;INDF;FEM;PL	N;NOM;FEM;SG
haine	klamotten	haină	klamott	N;INDF;FEM;PL	V;NFIN
haine	kleider	haină	kleider	N;INDF;FEM;PL	ADJ
structurii	strukturen	structură	struktur	N;DEF;FEM;SG	V;NFIN
structurii	aufbau	structură	aufbau	N;DEF;FEM;SG	
structurii	gliederung	structură	gliederung	N;DEF;FEM;SG	N;NOM;FEM;SG
structurii	struktur	structură	struktur	N;DEF;FEM;SG	ADJ
abdallah	abdullah	abdallah	abdullah	PROPN	PROPN;NOM;SG
abdallah	abdallah	abdallah	abdallah	PROPN	ADJ
repetat	wiederholen	repetat	wiederholen	ADJ;INDF;MASC;SG	V;NFIN
repetat	wiederholten	repetat	wiederholt	ADJ;INDF;MASC;SG	V;FIN
repetat	wiederholte	repetat	wiederholt	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
gros	dicke	gros	dick	ADJ;INDF;MASC;SG	N;NOM;FEM;PL
calendar	kalenders	calendar	kalenders	N;INDF;MASC;SG	ADV
calendar	veranstaltungskalender	calendar	veranstaltungskalender	N;INDF;MASC;SG	ADJ
calendar	kalender	calendar	kalender	N;INDF;MASC;SG	ADJ
calendar	terminkalender	calendar	terminkalender	N;INDF;MASC;SG	ADJ
patrimoniu	kulturerbe	patrimoniu	kulturerbe	N;INDF;MASC;SG	ADJ
patrimoniu	denkmalschutz	patrimoniu	denkmalschutz	N;INDF;MASC;SG	ADJ
patrimoniu	welterbe	patrimoniu	welterbe	N;INDF;MASC;SG	
vocale	vokale	vocal	vokal	N;INDF;FEM;PL	ADJ;NOM;FEM;PL
vocale	gesang	vocal	gesingen	N;INDF;FEM;PL	ADJ
vocale	vocal	vocal	vocal	N;INDF;FEM;PL	PROPN
vocale	lautstark	vocal	lautstark	N;INDF;FEM;PL	ADJ
donat	gespendet	donat	spenden	ADJ;INDF;MASC;SG	V;V.PTCP
donat	spendete	donat	spenden	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
donat	gestiftet	donat	stiften	ADJ;INDF;MASC;SG	V;V.PTCP
dakota	dakota	dakota	dakota	PROPN	PROPN;NOM;MASC;SG
valle	valle	vall	vall	PROPN	PROPN;NOM;SG
mansur	mansur	mansur	mansur	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
susan	susanne	susan	susanne	N;INDF;MASC;SG	PROPN;NOM;SG
susan	susan	susan	susan	N;INDF;MASC;SG	PROPN;NOM;SG
holt	holt	holt	holten	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
federala	federal	federală	federal	N;DEF;FEM;SG	PROPN
federala	bundes	federală	bund	N;DEF;FEM;SG	
