som	kao	som	kao	ADP	CONJ
det	to	det	taj	PRO;NEUT;SG;3	DET;NOM;NEUT;SG
ble	postao	ble	postati		V;MASC;SG;PST;V.PTCP;ACT
ble	postala	ble	postati		V;FEM;SG;PST;V.PTCP;ACT
ble	postalo	ble	postati		V;NEUT;SG;PST;V.PTCP;ACT
ble	ostala	ble	ostati		V;FEM;SG;PST;V.PTCP;ACT
ble	ostao	ble	ostati		V;MASC;SG;PST;V.PTCP;ACT
var	var	vere	var	V;IND;PST;FIN	PROPN;NOM;MASC;SG
han	hana	han	hana	PRO;NOM;MASC;SG;3	N;NOM;FEM;SG
han	han	han	han	PRO;NOM;MASC;SG;3	PROPN;NOM;MASC;SG
fra	od	fra	od		ADP;GEN
fra	iz	fra	iz		ADP;GEN
har	dobio	ha	dobiti	V;IND;PRS;FIN	V;MASC;SG;PST;V.PTCP;ACT
også	previse	også	previs	ADV	N;NOM;MASC;SG
etter	poslije	etter	poslije	ADP	ADV
lenker	okova	lank	okov	N;INDF;FEM;PL	N;ACC;MASC;SG
eksterne	vanjski	ekstern	vanjski	ADJ;PL	ADJ;NOM;DEF;MASC;SG
eksterne	vanjska	ekstern	vanjski	ADJ;PL	ADJ;NOM;DEF;FEM;SG
andre	andre	annan	andar	DET;PL	N;NOM;MASC;SG
andre	drugi	annan	drugi	DET;PL	ADJ;NOM;MASC;SG
andre	drugo	annan	drugi	DET;PL	ADJ;NOM;NEUT;SG
andre	druga	annan	drugi	DET;PL	ADJ;NOM;FEM;SG
andre	drugi	annan	drugi	DET;PL	ADJ;NOM;MASC;SG
andre	drugo	annan	drugi	DET;PL	ADJ;NOM;NEUT;SG
andre	druga	annan	drugi	DET;PL	ADJ;NOM;FEM;SG
andre	ostali	annan	ostao	DET;PL	ADJ;NOM;DEF;MASC;PL
andre	drugi	annan	drugi	DET;PL	ADJ;NOM;MASC;SG
andre	druge	annan	drugi	DET;PL	ADJ;NOM;FEM;PL
dette	ovo	dette	ovaj	PRO;NEUT;SG;3	DET;NOM;NEUT;SG
første	prvo	første	prvo	ADJ;DEF;SG	ADV
hun	hun	hun	hun		ADP
hun	ona	hun	on		PRO;NOM;FEM;SG;3
sin	njegovo	sin	njegov	PRO;MASC;SG	DET;NOM;NEUT;SG;3
sin	njegov	sin	njegov	PRO;MASC;SG	DET;NOM;MASC;SG;3
