من	מי	مِن	מי	ADP	ADV
تصنيف	מיון	تَصنِيف	מיון	N;NOM;INDF;SG	
عن	אודות	عَن	אודות	ADP	
عام	שנת	عَام	שנה	N;NOM;INDF;SG	N;PSSD;FEM;SG
عام	ציבורית	عَام	ציבורי	N;NOM;INDF;SG	ADV
عام	ציבורי	عَام	ציבורי	N;NOM;INDF;SG	ADJ;MASC;SG
عام	הציבור	عَام	הציבור	N;NOM;INDF;SG	
عام	כללי	عَام	כלל	N;NOM;INDF;SG	N;MASC;PL
اسم	השם	اِسم	השם	N;NOM;INDF;SG	
اسم	שם	اِسم	שם	N;NOM;INDF;SG	ADV
بن	בן	بِن	בן	PROPN	PROPN
المنطقة	האזור	مِنطَقَة	האזור	N;NOM;DEF;SG	PROPN
هو	בו	هُوَ	ב	PRO;NOM;MASC;SG;3	ADP
هو	אותו	هُوَ	None	PRO;NOM;MASC;SG;3	PRO;ACC;MASC;SG;3
هي	שלה	هُوَ	של	PRO;NOM;FEM;SG;3	
هي	בה	هُوَ	ב	PRO;NOM;FEM;SG;3	
هي	לה	هُوَ	ל	PRO;NOM;FEM;SG;3	
هي	עליה	هُوَ	על	PRO;NOM;FEM;SG;3	
هي	אותה	هُوَ	None	PRO;NOM;FEM;SG;3	PRO;ACC;FEM;SG;3
سنة	שנת	سَنَة	שנה	N;NOM;INDF;SG	N;PSSD;FEM;SG
هذه	זה	هٰذَا	זה	DET;NOM;FEM;SG	PRO;MASC;SG;3
هذه	אלו	هٰذَا	אלו	DET;NOM;FEM;SG	PRO;PL;3
هذه	אלה	هٰذَا	אלה	DET;NOM;FEM;SG	PRO;MASC;PL;3
ما	מה	مَا	מה	DET	ADV
عدد	המספר	عَدَد	המספר	N;NOM;INDF;SG	PROPN
الذي	אשר	اَلَّذِي	אשר	DET;NOM;MASC;SG	CONJ
الذي	איזה	اَلَّذِي	איזה	DET;NOM;MASC;SG	
هذا	זה	هٰذَا	זה	DET;NOM;MASC;SG	PRO;MASC;SG;3
هذا	זה	هٰذَا	זה	DET;NOM;MASC;SG	PRO;MASC;SG;3
بين	בן	بَينَ	בן	ADP;ACC	PROPN
تعليق	הערה	تَعلِيق	הערה	N;NOM;INDF;SG	ADV
تاريخ	תאריך	تَارِيخ	תאריך	N;NOM;INDF;SG	PROPN
تاريخ	התאריך	تَارِيخ	התאריך	N;NOM;INDF;SG	ADV
تاريخ	דייט	تَارِيخ	דייט	N;NOM;INDF;SG	PROPN
حيث	לאן	حَيثُ	לאן	CONJ	ADV
حيث	איפה	حَيثُ	איפה	CONJ	ADV
حيث	היכן	حَيثُ	היכן	CONJ	ADV
نوع	מיון	نَوع	מיון	N;NOM;INDF;SG	
نوع	אדיב	نَوع	אדיב	N;NOM;INDF;SG	PROPN
المتحدة	יונייטד	مُتَّحِد	יונייטד	ADJ;NOM;DEF;FEM;SG	PROPN
المتحدة	מאוחדים	مُتَّحِد	אוחד	ADJ;NOM;DEF;FEM;SG	V;MASC;PL;V.PTCP;PASS
ذلك	זה	ذلك	זה		PRO;MASC;SG;3
خط	גופן	خَطّ	גופן	N;NOM;INDF;SG	PROPN
عبد	עבדול	عبد	עבדול		PROPN
عبد	עבד	عبد	עבד		V;MASC;SG;3;PST
عبد	שפחה	عبد	שפחה		N;FEM;SG
المسؤول	אחראית	مَسؤُول	אחראי	N;NOM;DEF;SG	ADJ;FEM;SG
المسؤول	אחראי	مَسؤُول	אחראי	N;NOM;DEF;SG	ADJ;MASC
المسؤول	האחראי	مَسؤُول	האחראי	N;NOM;DEF;SG	PROPN
المسؤول	אחראיות	مَسؤُول	אחראי	N;NOM;DEF;SG	ADJ;FEM;PL
المسؤول	אחראים	مَسؤُول	אחראי	N;NOM;DEF;SG	N;MASC;PL
مدينة	העיר	مَدِينَة	העיר	N;NOM;INDF;SG	V;MASC;SG;3;PST;ACT
محمد	מוחמד	محمد	מוחמד		PROPN
محمد	מוחמד	محمد	מוחמד		PROPN
محمد	מוחמד	محمد	מוחמד		PROPN
محمد	מהמט	محمد	מהמט		PROPN
محمد	מוחמד	محمد	מוחמד		PROPN
المدينة	טאון	مَدِينَة	טאון	N;NOM;DEF;SG	PROPN
المدينة	העיר	مَدِينَة	העיר	N;NOM;DEF;SG	V;MASC;SG;3;PST;ACT
المدينة	העיר	مَدِينَة	העיר	N;NOM;DEF;SG	V;MASC;SG;3;PST;ACT
تم	בוצע	تَمّ	בוצע	V;PFV;MASC;SG;3;ACT	V;MASC;SG;3;PST;PASS
تم	סיימתי	تَمّ	סיימתי	V;PFV;MASC;SG;3;ACT	V;SG;1;PST;ACT
تم	סגור	تَمّ	סגור	V;PFV;MASC;SG;3;ACT	
كل	כולם	كُلّ	None	N;NOM;INDF;SG	N;MASC;PL
كل	כל	كُلّ	כול	N;NOM;INDF;SG	DET;PSSD
كل	לאכול	كُلّ	אכל	N;NOM;INDF;SG	V;NFIN;ACT
كل	תאכל	كُلّ	איכל	N;NOM;INDF;SG	V;MASC;SG;2;FUT;ACT
كل	תאכלו	كُلّ	אכל	N;NOM;INDF;SG	V;PL;1;FUT
الله	אלהים	اَللّٰه	אלהים	N;NOM;DEF;SG	PROPN
الله	אלוקים	اَللّٰه	אלוק	N;NOM;DEF;SG	N;MASC;PL
الله	אללה	اَللّٰه	אללה	N;NOM;DEF;SG	PROPN
غير	עודף	غَير	עודף	N;ACC;PSSD;SG	
حتى	אפילו	حَتَّى	אפילו	ADV	CONJ
حتى	עד	حَتَّى	עד	ADV	ADP
مساحة	האזור	مِسَاحَة	האזור	N;NOM;INDF;SG	PROPN
قد	במאי	قَد	במאי	PART	N;MASC;SG
قد	מיי	قَد	מיי	PART	
قد	מאי	قَد	מאי	PART	PROPN
محافظة	נפה	مُحَافَظَة	נפה	N;NOM;INDF;SG	PROPN
محافظة	גרודנו	مُحَافَظَة	גרוד	N;NOM;INDF;SG	PROPN
محافظة	שמרני	مُحَافَظَة	שמרני	N;NOM;INDF;SG	ADJ;MASC;SG
محافظة	שמרנית	مُحَافَظَة	שמרני	N;NOM;INDF;SG	ADV
محافظة	שמרן	مُحَافَظَة	שמרן	N;NOM;INDF;SG	ADJ;MASC;SG
خلال	במהלך	خِلَالَ	במהלך	ADP;ACC	ADV
خلال	דרך	خِلَالَ	דרך	ADP;ACC	
اليمن	תימן	يَمَن	None	N;NOM;DEF;SG	PROPN
ثم	ואז	ثُمَّ	ואז	CONJ	
مثل	אוהב	مِثلَ	אהב	ADP;NOM	V;MASC;SG;V.PTCP;ACT
مثل	כאילו	مِثلَ	כאילו	ADP;NOM	CONJ
خارجية	חיצוניים	خَارِجِيَّة	חיצוני	N;NOM;INDF;SG	ADJ;MASC;PL
خارجية	חיצוניות	خَارِجِيَّة	חיצוני	N;NOM;INDF;SG	ADJ;FEM;PL
خارجية	חיצונית	خَارِجِيَّة	חיצוני	N;NOM;INDF;SG	ADV
خارجية	חיצוני	خَارِجِيَّة	חיצוני	N;NOM;INDF;SG	ADJ;MASC;SG
الصورة	התמונה	صُورَة	התמונה	N;NOM;DEF;SG	V;FEM;SG;3;PST
الصورة	התמונה	صُورَة	התמונה	N;NOM;DEF;SG	V;FEM;SG;3;PST
علم	הדגל	عَلِم	הדגל	V;PFV;MASC;SG;3;ACT	
علم	דגל	عَلِم	דגל	V;PFV;MASC;SG;3;ACT	N;MASC;SG
علم	עותק	عَلِم	עותק	V;PFV;MASC;SG;3;ACT	N;MASC;SG
علم	העתק	عَلِم	העתק	V;PFV;MASC;SG;3;ACT	
علم	העתקה	عَلِم	העתקה	V;PFV;MASC;SG;3;ACT	N;FEM;SG
له	בו	هُوَ	ב		ADP
له	אותו	هُوَ	None		PRO;ACC;MASC;SG;3
خريطة	מפת	خَرِيطَة	מפה	N;NOM;INDF;SG	
خريطة	המפה	خَرِيطَة	המפה	N;NOM;INDF;SG	
بعض	כמה	بَعض	כמה	N;NOM;INDF;SG	DET;PSSD
بعض	חלקם	بَعض	חלקם	N;NOM;INDF;SG	
فرق	ההבדל	فِرقَة	ההבדל	N;NOM;INDF;PL	V;MASC;SG;3;PST
فرق	הבדל	فِرقَة	הבדל	N;NOM;INDF;PL	N;MASC;SG
قدم	פוט	قَدَّم	פוט	V;PFV;MASC;SG;3;ACT	PROPN
قدم	רגל	قَدَّم	רגל	V;PFV;MASC;SG;3;ACT	
قدم	רגל	قَدَّم	רגל	V;PFV;MASC;SG;3;ACT	
قدم	מטר	قَدَّم	מטר	V;PFV;MASC;SG;3;ACT	PROPN
قدم	רגליים	قَدَّم	רגל	V;PFV;MASC;SG;3;ACT	N;FEM;PL
العربية	ערבים	عَرَبِيّ	ערבי	ADJ;NOM;DEF;FEM;SG	N;MASC;PL
العربية	ערבי	عَرَبِيّ	ערבי	ADJ;NOM;DEF;FEM;SG	N;MASC;SG
العربية	ערבית	عَرَبِيّ	ערבי	ADJ;NOM;DEF;FEM;SG	PROPN
قائمة	התפריט	قَائِمَة	התפריט	N;NOM;INDF;SG	PROPN
قائمة	תפריט	قَائِمَة	תפריט	N;NOM;INDF;SG	PROPN
قائمة	הרשימה	قَائِمَة	הרשים	N;NOM;INDF;SG	V;FEM;SG;3;PST;ACT
مقاطعة	המחוז	مُقَاطَعَة	המחוז	N;NOM;INDF;SG	
مقاطعة	נפה	مُقَاطَعَة	נפה	N;NOM;INDF;SG	PROPN
مقاطعة	להחרים	مُقَاطَعَة	החרים	N;NOM;INDF;SG	V;NFIN;ACT
تقسيم	החלוקה	تَقسِيم	החלוקה	N;NOM;INDF;SG	PROPN
تقسيم	לפצל	تَقسِيم	פיצל	N;NOM;INDF;SG	V;NFIN;ACT
العالم	העולם	عَالَم	העולם	N;NOM;DEF;SG	
القرن	הורן	قَرن	הורן	N;NOM;DEF;SG	PROPN
القرن	צופר	قَرن	צופר	N;NOM;DEF;SG	PROPN
القرن	המאה	قَرن	המאה	N;NOM;DEF;SG	
الثاني	שניה	ثَانِي	שניה	ADJ;NOM;DEF;MASC;SG	NUM;FEM;SG
الثاني	שנייה	ثَانِي	שנייה	ADJ;NOM;DEF;MASC;SG	NUM;FEM;SG
الثاني	שני	ثَانِي	שני	ADJ;NOM;DEF;MASC;SG	NUM;MASC;PL
الثاني	שנית	ثَانِي	שנית	ADJ;NOM;DEF;MASC;SG	
القدم	פוט	قَدَم	פוט	N;NOM;DEF;SG	PROPN
القدم	רגל	قَدَم	רגל	N;NOM;DEF;SG	
القدم	רגל	قَدَم	רגל	N;NOM;DEF;SG	
القدم	מטר	قَدَم	מטר	N;NOM;DEF;SG	PROPN
القدم	רגליים	قَدَم	רגל	N;NOM;DEF;SG	N;FEM;PL
القدم	רגל	قَدَم	רגל	N;NOM;DEF;SG	
علي	עלי	علي	עלי		PROPN
علي	אלי	علي	אלי		PROPN
منطقة	האזור	مِنطَقَة	האזור	N;NOM;INDF;SG	PROPN
انظر	תראי	أَنظَر	תראי		V;SG;1;FUT;ACT
انظر	תראה	أَنظَر	תראה		V;MASC;SG;3;FUT
انظر	תראו	أَنظَر	ראה		
الرمز	קוד	رَمز	קוד	N;NOM;DEF;SG	
البلد	ארצי	بَلَد	ארצי	N;NOM;DEF;SG	PROPN
مدن	הערים	مَدِينَة	הערים	N;NOM;INDF;PL	V;MASC;SG;3;PST;ACT
يمكن	יכולת	أَمكَن	יכולת	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;FEM;SG
يمكن	יכול	أَمكَن	None	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;MASC;SG;V.PTCP
يمكن	יכולה	أَمكَن	יכול	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;FEM;SG;V.PTCP
يمكن	יכול	أَمكَن	None	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;MASC;SG;V.PTCP
نتيجة	תוצאות	نَتِيجَة	תוצאה	N;ACC;INDF;SG	N;FEM;PL
الكلية	המכללה	كُلِّيَّة	המכללה	N;NOM;DEF;SG	
الكلية	כליות	كُلِّيَّة	כלייה	N;NOM;DEF;SG	N;FEM;PL
الكلية	סגל	كُلِّيَّة	סגל	N;NOM;DEF;SG	PROPN
الكلية	הפקולטה	كُلِّيَّة	הפקולטה	N;NOM;DEF;SG	PROPN
ولاية	המדינה	وِلَايَة	המדין	N;NOM;INDF;SG	V;FEM;SG;3;PST;ACT
نادي	קלאב	نادي	קלאב		PROPN
نادي	מועדון	نادي	מועדון		N;MASC;SG
نادي	המועדון	نادي	המועדון		PROPN
العرض	תציעו	عَرض	תציע	N;NOM;DEF;SG	PROPN
العرض	הראה	عَرض	הראה	N;NOM;DEF;SG	V;MASC;SG;3;PST;ACT
العرض	הצג	عَرض	הצג	N;NOM;DEF;SG	
العرض	הצג	عَرض	הצג	N;NOM;DEF;SG	
الوطني	פטריוט	وَطَنِيّ	פטריוט	ADJ;NOM;DEF;MASC;SG	N;MASC;SG
الوطني	פטריוטים	وَطَنِيّ	פטריוט	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;PL
المساحة	האזור	مِسَاحَة	האזור	N;NOM;DEF;SG	PROPN
الطول	אורך	طُول	אורך	N;NOM;DEF;SG	
الطول	האורך	طُول	האורך	N;NOM;DEF;SG	PROPN
الحياة	life	حَيَاة	life	N;NOM;DEF;SG	
الحياة	החיים	حَيَاة	החיים	N;NOM;DEF;SG	ADV
الحياة	חיים	حَيَاة	חיים	N;NOM;DEF;SG	PROPN
مصر	מצריים	مِصر	מצרי	N;NOM;INDF;SG	N;MASC;PL
مصر	מצרים	مِصر	מצרים	N;NOM;INDF;SG	PROPN
المركز	המרכז	مَركَز	המרכז	N;NOM;DEF;SG	PROPN
المركز	סנטר	مَركَز	סנטר	N;NOM;DEF;SG	PROPN
المركز	המרכז	مَركَز	המרכז	N;NOM;DEF;SG	PROPN
ولكن	אך	ولكن	אך		CONJ
ولكن	אבל	ولكن	אבל		CONJ
المياه	מיים	مَاء	מיים	N;NOM;DEF;PL	PROPN
مجموعة	הקבוצה	مَجمُوعَة	הקבוצה	N;NOM;INDF;SG	PROPN
مجموعة	אוסף	مَجمُوعَة	אוסף	N;NOM;INDF;SG	
لها	שלה	لها	של		
لها	בה	لها	ב		
لها	לה	لها	ל		
لها	עליה	لها	על		
لها	אותה	لها	None		PRO;ACC;FEM;SG;3
ان	אן	أَنَّ	אן	CONJ	PROPN
ان	אן	أَنَّ	אן	CONJ	PROPN
مكان	המקום	مَكَان	המקום	N;NOM;INDF;SG	
الثالث	שלישי	ثَالِث	שלישי	ADJ;NOM;DEF;MASC;SG	PROPN
الثالث	השלישי	ثَالِث	השליש	ADJ;NOM;DEF;MASC;SG	PROPN
الثالث	שלישית	ثَالِث	None	ADJ;NOM;DEF;MASC;SG	ADV
تحت	למטה	تَحتَ	למטה	ADP;ACC	
تحت	בהמשך	تَحتَ	בהמשך	ADP;ACC	
تحت	להלן	تَحتَ	להלן	ADP;ACC	ADV
منذ	מאז	مُنذُ	מאז	ADP	ADV
حجم	נפח	حَجم	נפח	N;NOM;INDF;SG	
حجم	כרך	حَجم	כרך	N;NOM;INDF;SG	
الشيخ	שייח	شَيخ	שייח	N;NOM;DEF;SG	PROPN
العديد	הרבה	عَدِيد	הרבה	ADJ;NOM;DEF;MASC;SG	ADV
العديد	רבות	عَدِيد	רב	ADJ;NOM;DEF;MASC;SG	N;FEM;PL
العديد	רבים	عَدِيد	רב	ADJ;NOM;DEF;MASC;SG	V;MASC;PL;V.PTCP;ACT
المحافظة	נפה	مُحَافَظَة	נפה	N;NOM;DEF;SG	PROPN
المحافظة	שמרני	مُحَافَظَة	שמרני	N;NOM;DEF;SG	ADJ;MASC;SG
المحافظة	שמרנית	مُحَافَظَة	שמרני	N;NOM;DEF;SG	ADV
المحافظة	שמרן	مُحَافَظَة	שמרן	N;NOM;DEF;SG	ADJ;MASC;SG
الحرب	המלחמה	حَرب	המלחם	N;NOM;DEF;SG	PROPN
قرية	הכפר	قَريَة	הכפר	N;NOM;INDF;SG	
العام	שנת	عَام	שנה	N;NOM;DEF;SG	N;PSSD;FEM;SG
رئيس	נשיאה	رَئِيس	נשיאה	N;NOM;INDF;SG	PROPN
رئيس	הנשיא	رَئِيس	הנשיא	N;NOM;INDF;SG	PROPN
رئيس	ראשי	رَئِيس	ראש	N;NOM;INDF;SG	N;PSSD;MASC;PL
رئيس	בוס	رَئِيس	בוס	N;NOM;INDF;SG	
عندما	מתי	عِندَمَا	מתי	CONJ	ADV
عندما	כאשר	عِندَمَا	כאשר	CONJ	CONJ
الوفاة	המוות	وَفَاة	המווה	N;NOM;DEF;SG	
الوفاة	מות	وَفَاة	מוות	N;NOM;DEF;SG	
شعار	הסלוגן	شِعَار	הסלוגן	N;NOM;INDF;SG	PROPN
شعار	לוגו	شِعَار	לוגו	N;NOM;INDF;SG	PROPN
شعار	הלוגו	شِعَار	הלוגו	N;NOM;INDF;SG	PROPN
شعار	המוטו	شِعَار	המוטה	N;NOM;INDF;SG	
شعار	מוטו	شِعَار	מוטו	N;NOM;INDF;SG	
مديرية	דיירקטור	مُدِيرِيَّة	דיירקטור	N;NOM;INDF;SG	PROPN
ابن	בני	ابن	בני		PROPN
ابن	בן	ابن	בן		PROPN
حول	אודות	حَولَ	אודות	ADP;ACC	
العمل	עסקים	عَمَل	עסק	N;NOM;DEF;SG	N;MASC;PL
الخريطة	מפת	خَرِيطَة	מפה	N;NOM;DEF;SG	
الخريطة	המפה	خَرِيطَة	המפה	N;NOM;DEF;SG	
الرسمي	רישמי	رَسمِيّ	רישמי	ADJ;NOM;DEF;MASC;SG	PROPN
عشر	ten	عَشَرَة	ten	NUM;MASC	
سنوات	שנה	سَنَة	שנה	N;NOM;INDF;PL	N;FEM;SG
بسبب	כי	بسبب	כי	N;NOM;INDF;SG	CONJ
بسبب	בגלל	بسبب	בגלל	N;NOM;INDF;SG	ADP
يوم	day	يَوم	day	N;NOM;INDF;SG	
كتابة	תכתבי	كِتَابَة	תכתב	N;NOM;INDF;SG	PROPN
كتابة	לכתוב	كِتَابَة	כתב	N;NOM;INDF;SG	V;NFIN;ACT
كتابة	כתוב	كِتَابَة	כתב	N;NOM;INDF;SG	
كتابة	תכתוב	كِتَابَة	כתב	N;NOM;INDF;SG	V;MASC;SG;2;FUT;ACT
كتابة	כתבי	كِتَابَة	כתב	N;NOM;INDF;SG	N;PSSD;MASC;PL
كتابة	כותבת	كِتَابَة	כתב	N;NOM;INDF;SG	V;FEM;SG;V.PTCP;ACT
كتابة	כותב	كِتَابَة	כתב	N;NOM;INDF;SG	V;MASC;SG;V.PTCP;ACT
طريق	כביש	طَرِيق	כביש	N;NOM;INDF;SG	PROPN
الدين	חובי	دِين	חובי	N;NOM;DEF;SG	PROPN
مركز	המרכז	مَركَز	המרכז	N;NOM;INDF;SG	PROPN
مركز	סנטר	مَركَز	סנטר	N;NOM;INDF;SG	PROPN
