datu	datu	datu	dat	PROPN	
rai	rai	rai	raia	PROPN	PROPN;NOM;MASC;SG
bros	bros	bros	bros	N	
minimum	minimum	minimum	minimum	ADJ;SG	
rekreasi	rekreacyjnych	rekreasi	rekreacyjny	N;SG	ADJ;GEN;MASC;PL
rekreasi	rekreacyjne	rekreasi	rekreacyjny	N;SG	ADJ;NOM;NEUT;SG
own	własne	own	własny	PROPN	ADJ;NOM;NEUT;SG
own	własny	own	własny	PROPN	ADJ;NOM;MASC;SG
own	własna	own	własny	PROPN	ADJ;NOM;FEM;SG
nyawa	mieszka	nyawa	mieszkać	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
nyawa	żyje	nyawa	żyć	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
terkesan	zaimponować	terkesan	zaimponować	V;SG;PASS	V;PFV;NFIN;ACT
hiasan	dekoracje	hiasan	dekoracja	N;SG	N;NOM;FEM;PL
hiasan	dekoracje	hiasan	dekoracja	N;SG	N;NOM;FEM;PL
hiasan	ozdoby	hiasan	ozdoba	N;SG	N;NOM;FEM;PL
koch	koch	koch	koch	PROPN	PROPN;NOM;MASC;SG
della	della	della	dell	PROPN	
craig	craig	craig	craig	PROPN	PROPN;NOM;MASC;SG
craig	craiga	craig	craiga	PROPN	N;ACC;MASC;SG
demokratis	demokratyczny	demokratis	demokratyczny	N;SG	ADJ;NOM;MASC;SG
demokratis	demokratyczna	demokratis	demokratyczny	N;SG	ADJ;NOM;FEM;SG
demokratis	demokratyczne	demokratis	demokratyczny	N;SG	ADJ;NOM;NEUT;SG
hope	nadzieja	hope	nadzieja	PROPN	N;NOM;FEM;SG
hope	hope	hope	hopy	PROPN	
hope	oby	hope	oby	PROPN	
charlotte	charlotte	charlotte	charlotty	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
argo	argo	argo	argo	N	
kegubernuran	gubernia	kegubernuran	gubernia	N;SG	
poros	szyb	poros	szyba	N;SG	
poros	wały	poros	wały	N;SG	V;IPFV;IND;SG;PST;FIN;ACT
ekologi	ekologiczny	ekologi	ekologiczny	N;SG	ADJ;NOM;MASC;SG
ekologi	ekologiczna	ekologi	ekologiczny	N;SG	ADJ;NOM;FEM;SG
ekologi	ekologiczne	ekologi	ekologiczny	N;SG	ADJ;NOM;NEUT;SG
raj	raja	raj	raja	PROPN	PROPN;NOM;MASC;SG
raj	raj	raj	raj	PROPN	N;NOM;MASC;SG
menyentuh	dotknięcie	mensentuh	dotknięcie	V;SG;ACT	N;PFV;NOM;NEUT;SG;POS;V.MSDR
aisne	aisne	aisne	aisny	PROPN	PROPN;NOM;MASC;SG
berkeley	berkeley	berkeley	berkeley	PROPN	N;NOM;MASC;SG
diukur	mierzona	diukur	mierzyć	V;SG;PASS	V;IPFV;IND;SG;PRS;FIN;ACT
diukur	zmierzona	diukur	zmierzyć	V;SG;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
diukur	mierzone	diukur	mierzyć	V;SG;PASS	
diukur	zmierzone	diukur	zmierzyć	V;SG;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
diukur	mierzony	diukur	mierzony	V;SG;PASS	N;NOM;MASC;SG
atlantic	atlantyku	atlantic	atlantyk	PROPN	N;GEN;MASC;SG
atlantic	atlantic	atlantic	atlantic	PROPN	
atlantic	atlantyk	atlantic	atlantyk	PROPN	
atlantic	atlantycki	atlantic	atlantycki	PROPN	ADJ;NOM;MASC;SG
ver	ver	ver	ver	PROPN	
melampaui	przekroczony	menlampaui	przekroczyć	V;SG;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
melampaui	przekroczenie	menlampaui	przekroczenie	V;SG;ACT	N;PFV;NOM;NEUT;SG;POS;V.MSDR
melampaui	przekroczona	menlampaui	przekroczyć	V;SG;ACT	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
melampaui	przekroczone	menlampaui	przekroczyć	V;SG;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
melampaui	poza	menlampaui	poza	V;SG;ACT	ADP
rudolf	rudolf	rudolf	rudolf	PROPN	N;NOM;MASC;SG
uzbekistan	uzbekistan	uzbekistan	uzbekistać	N	
mendefinisikan	określenie	mendefinisikan	określenie	V;SG;ACT	N;NOM;NEUT;SG
mendefinisikan	zdefiniowanie	mendefinisikan	zdefiniować	V;SG;ACT	N;PFV;NOM;NEUT;SG;POS;V.MSDR
mendefinisikan	określanie	mendefinisikan	określać	V;SG;ACT	N;NOM;NEUT;SG
sumbu	wick	sumbu	wick	N;SG	
sumbu	osie	sumbu	osa	N;SG	
sumbu	osi	sumbu	oś	N;SG	
sumbu	osi	sumbu	oś	N;SG	
sumbu	osie	sumbu	osa	N;SG	
sumbu	oś	sumbu	oś	N;SG	
baden	baden	baden	baden	PROPN	
dicampur	mieszane	dicampur	mieszany	V;SG;PASS	ADJ;NOM;NEUT;SG
dicampur	mieszany	dicampur	mieszany	V;SG;PASS	
dicampur	mieszana	dicampur	mieszać	V;SG;PASS	ADJ;NOM;FEM;SG
firaun	fir	firaun	fira	PROPN;SG	
firaun	faraonów	firaun	faraon	PROPN;SG	N;GEN;MASC;PL
firaun	faraon	firaun	faraon	PROPN;SG	N;NOM;MASC;SG
firaun	faraona	firaun	faraon	PROPN;SG	
sup	zupy	sup	zupa	N;SG	
sup	zupa	sup	zupa	N;SG	
sup	zupy	sup	zupa	N;SG	
zhu	zhu	zhu	zho	PROPN	PROPN;NOM;MASC;SG
berenang	pływać	berrenang	pływać	PROPN;SG;ACT	V;IPFV;NFIN;ACT
