של	shel	של	shel	PART;GEN	
את	ihr	את	ihr	PART;ACC	PRO;NOM;MASC;SG
את	dich	את	du	PART;ACC	
את	du	את	du	PART;ACC	PRO;NOM;SG;2
את	dir	את	dur	PART;ACC	
את	sie	את	sie	PART;ACC	PRO;NOM;FEM;SG;3
על	etwa	על	etwa	ADP	ADV
קטגוריה	kategorien	קטגוריה	kategorien	N;FEM;SG	N;NOM;FEM;PL
גם	zu	גם	zu	ADV	PART
גם	too	גם	too	ADV	ADJ
זה	dass	זה	dass	PRO;MASC;SG;3	CONJ
היא	she	הוא	she	PRO;FEM;SG;3	PROPN
היה	war	היה	sein	V;MASC;SG;3;POS;PST	V;IND;SG;3;PST;FIN
היה	wurde	היה	werden	V;MASC;SG;3;POS;PST	V;IND;SG;3;PST;FIN;PASS
שיחה	konversation	שיחה	konversation	N;FEM;SG	ADJ
שיחה	unterhaltungen	שיחה	unterhaltung	N;FEM;SG	V;NFIN
שיחה	anrufen	שיחה	anrufen	N;FEM;SG	V;NFIN
שיחה	rufen	שיחה	rufen	N;FEM;SG	V;NFIN
שיחה	call	שיחה	call	N;FEM;SG	ADJ
שיחה	nennen	שיחה	nennen	N;FEM;SG	V;NFIN
לאחר	danach	לאחר	danach	ADP	ADV
לאחר	after	לאחר	aft	ADP	PROPN;NOM;SG
לאחר	nachher	לאחר	nachher	ADP	ADV
לאחר	nachdem	לאחר	nachdem	ADP	CONJ
בין	bohnen	בין	bohnen	ADP	V;NFIN
בין	bean	בין	bean	ADP	PROPN;NOM;SG
בין	bohne	בין	bihnen	ADP	
בין	inter	בין	inter	ADP	
בין	dazwischen	בין	dazwischen	ADP	ADV
כל	alle	כול	alle	DET;PSSD	PRO;NOM;INDF;PL
כל	alles	כול	alle	DET;PSSD	PRO;NOM;INDF;NEUT;SG
כל	all	כול	all	DET;PSSD	ADV
כל	jedes	כול	jed	DET;PSSD	PRO;NOM;INDF;NEUT;SG
כל	jeden	כול	jed	DET;PSSD	PRO;ACC;INDF;MASC;SG
כל	jede	כול	jed	DET;PSSD	PRO;NOM;INDF;FEM;SG
כי	wegen	כי	wegen	CONJ	ADP
כי	denn	כי	denn	CONJ	CONJ
יותר	weiteres	יותר	weit	ADV	ADJ;NOM;NEUT;SG
יותר	weitere	יותר	weit	ADV	ADJ;NOM;FEM;PL
ישראל	israel	ישראל	israel	PROPN	PROPN;NOM;NEUT;SG
אך	doch	אך	doch	CONJ	ADV
אך	allerdings	אך	allerdings	CONJ	ADV
אך	but	אך	bun	CONJ	
אך	jedoch	אך	jedoch	CONJ	ADV
עד	till	עד	till	ADP	PROPN;SG
יש	juhu	יש	juhu	V	
שם	namen	שם	name	ADV	
שם	bezeichnung	שם	Bezeichnung	ADV	ADJ
שם	vorname	שם	vornam	ADV	
שם	name	שם	Name	ADV	N;NOM;SG
בית	beit	בית	beit	N;MASC;SG	
בית	bet	בית	bet	N;MASC;SG	
בית	startseite	בית	startseite	N;MASC;SG	ADJ
בית	zuhause	בית	zuhause	N;MASC;SG	
הם	sie	הוא	sie	PRO;MASC;PL;3	PRO;NOM;FEM;SG;3
הייתה	war	היה	sein	V;FEM;SG;3;POS;PST	V;IND;SG;3;PST;FIN
הייתה	wurde	היה	werden	V;FEM;SG;3;POS;PST	V;IND;SG;3;PST;FIN;PASS
אשר	asher	אשר	asher	CONJ	PROPN;NOM;MASC;SG
אשר	escher	אשר	escher	CONJ	PROPN;NOM;MASC;SG
אשר	usher	אשר	usher	CONJ	PROPN;NOM;MASC;SG
אשר	welches	אשר	welch	CONJ	PRO;NOM;NEUT;SG
אשר	welcher	אשר	welch	CONJ	PRO;NOM;MASC;SG
אשר	welche	אשר	welch	CONJ	PRO;NOM;SG
אשר	welchen	אשר	welch	CONJ	PRO;NOM;SG
אשר	bestätigung	אשר	Bestätigung	CONJ	N;NOM;FEM;SG
אשר	bestätige	אשר	bestätige	CONJ	V;IND;SG;3;PST;FIN
אשר	bestätigen	אשר	bestätigen	CONJ	V;NFIN
כמו	mögen	כמו	mögen	ADP	V;FIN
כמו	gefällt	כמו	gefallen	ADP	V;IND;SG;3;PRS;FIN
