категория	kategória	категория	kategória	N;INAN;NOM;FEM;SG	
для	for	для	for	ADP	
как	hogyan	как	hogyan	CONJ	ADV
как	like	как	lik	CONJ	
как	tetszik	как	tetszik	CONJ	V;INDF;IND;SG;3;PRS;FIN;ACT
его	neki	он	ő	PRO;ACC;MASC;SG;3	
также	szintén	также	szintén	ADV	
также	úgyszintén	также	úgyszintén	ADV	
это	ezt	это	ez	PRO;INAN;NOM;NEUT;SG	PRO;ACC;SG;3
после	after	после	after	ADP	
после	miután	после	miután	ADP	CONJ
после	utána	после	utána	ADP	
год	évi	год	évi	N;INAN;NOM;MASC;SG	
была	volt	быть	van	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
район	környéken	район	környék	N;INAN;NOM;MASC;SG	N;ON+ESS;SG
район	kerület	район	kerület	N;INAN;NOM;MASC;SG	
вид	fajok	вид	fajok	N;INAN;NOM;MASC;SG	N;NOM;PL
под	alatta	под	alat	ADP	
только	csak	только	csak	PART	ADV
только	kizárólag	только	kizárólag	PART	
только	csak	только	csak	PART	ADV
ссср	szovjetunió	ссср	szovjetunió	PROPN;INAN;NOM;MASC;SG	
районе	környéken	район	környék	N;INAN;ESS;MASC;SG	N;ON+ESS;SG
районе	szomszédság	район	szomszédság	N;INAN;ESS;MASC;SG	N;NOM;SG
районе	környék	район	környék	N;INAN;ESS;MASC;SG	N;NOM;SG
более	több	более	több	ADV;CMPR	DET;INDF
более	more	более	more	ADV;CMPR	
более	további	более	további	ADV;CMPR	N;NOM;SG
более	tobb	более	tobb	ADV;CMPR	
мая	may	май	may	N;INAN;GEN;MASC;SG	
мая	május	май	május	N;INAN;GEN;MASC;SG	N;NOM;SG
мая	májusi	май	májusi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
мая	májusban	май	május	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
ноября	november	ноябрь	november	N;INAN;GEN;MASC;SG	N;NOM;SG
ноября	novemberi	ноябрь	novemberi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
ноября	novemberben	ноябрь	november	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
деревня	falusi	деревня	falusi	N;INAN;NOM;FEM;SG	ADJ;NOM;SG
января	januári	январь	januári	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
января	január	январь	január	N;INAN;GEN;MASC;SG	N;NOM;SG
января	januárban	январь	január	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
марта	marta	март	mar	N;INAN;GEN;MASC;SG	
марта	martha	март	martha	N;INAN;GEN;MASC;SG	
марта	március	март	március	N;INAN;GEN;MASC;SG	N;NOM;SG
марта	márciusi	март	márciusi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
все	mindent	все	minden	PRO;INAN;NOM;NEUT;SG	
все	mindegyik	все	mindegyik	PRO;INAN;NOM;NEUT;SG	
все	mind	все	mind	PRO;INAN;NOM;NEUT;SG	CONJ
все	mindenki	все	mindenki	PRO;INAN;NOM;NEUT;SG	
все	mindenkinek	все	mindenki	PRO;INAN;NOM;NEUT;SG	
августа	augusztusban	август	augusztus	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
августа	august	август	augus	N;INAN;GEN;MASC;SG	
августа	augusztus	август	augusztus	N;INAN;GEN;MASC;SG	N;NOM;SG
августа	augusta	август	augusta	N;INAN;GEN;MASC;SG	
том	tomi	то	tomi	PRO;INAN;NOM;NEUT;SG	
том	tom	то	tom	PRO;INAN;NOM;NEUT;SG	
октября	októberi	октябрь	októberi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
октября	októberben	октябрь	október	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
октября	október	октябрь	október	N;INAN;GEN;MASC;SG	N;NOM;SG
сентября	szeptemberben	сентябрь	szeptember	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
сентября	szeptember	сентябрь	szeptember	N;INAN;GEN;MASC;SG	N;NOM;SG
сентября	szeptemberi	сентябрь	szeptemberi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
уже	máris	уже	máris	ADV	
июня	júniusi	июнь	júniusi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
июня	june	июнь	june	N;INAN;GEN;MASC;SG	
июня	június	июнь	június	N;INAN;GEN;MASC;SG	N;NOM;SG
июня	júniusban	июнь	június	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
апреля	april	апрель	ap	N;INAN;GEN;MASC;SG	
апреля	április	апрель	április	N;INAN;GEN;MASC;SG	N;NOM;SG
апреля	áprilisi	апрель	áprilisi	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
апреля	áprilisban	апрель	április	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
сша	usa	сшать	usa	N;INAN;NOM;PL	
который	melyik	который	melyik	PRO;NOM	
который	mely	который	mely	PRO;NOM	
поселение	megegyezés	поселение	megegyezés	N;INAN;NOM;NEUT;SG	
поселение	elszámolási	поселение	elszámolási	N;INAN;NOM;NEUT;SG	ADJ;NOM;SG
поселение	egyezség	поселение	egyezség	N;INAN;NOM;NEUT;SG	
человек	személy	человек	személy	N;ANIM;NOM;MASC;SG	
человек	személyre	человек	személy	N;ANIM;NOM;MASC;SG	
человек	emberi	человек	emberi	N;ANIM;NOM;MASC;SG	
смерти	halálesetek	смерть	haláleset	N;INAN;GEN;FEM;SG	N;NOM;PL
смерти	haláleset	смерть	haláleset	N;INAN;GEN;FEM;SG	N;NOM;SG
лет	évek	год	év	N;INAN;GEN;MASC;PL	N;NOM;PL
лет	év	год	év	N;INAN;GEN;MASC;PL	N;NOM;SG
февраля	februárban	февраль	február	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
февраля	februári	февраль	februári	N;INAN;GEN;MASC;SG	ADJ;NOM;SG
февраля	február	февраль	február	N;INAN;GEN;MASC;SG	N;NOM;SG
того	togo	то	togo	PRO;INAN;GEN;NEUT;SG	
города	city	город	city	N;INAN;NOM;MASC;PL	
города	városi	город	városi	N;INAN;NOM;MASC;PL	ADJ;NOM;SG
города	város	город	város	N;INAN;NOM;MASC;PL	N;NOM;SG
города	városokat	город	város	N;INAN;NOM;MASC;PL	N;ACC;PL
может	talán	мочь	talán	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
может	lehetne	мочь	lesz	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;SG;3;PRS;FIN;ACT
может	can	мочь	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	
может	lehet	мочь	lesz	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;INDF;POT;SG;3;PRS;FIN;ACT
войны	háború	война	háború	N;INAN;NOM;FEM;PL	N;NOM;SG
