terra	тера	terra	тера		N;INDF;FEM;SG
sawyer	сойер	sawyer	сойер	PROPN;NOM;SG	N;INDF;MASC;SG
sawyer	сойър	sawyer	сойър	PROPN;NOM;SG	N;INDF;MASC;SG
vladimir	владимир	vladimir	владимир		PROPN;INDF;MASC;SG
atom	атомна	atom	атомен	N;NOM;SG	ADJ;INDF;FEM;SG
atom	атомни	atom	атомен	N;NOM;SG	ADJ;INDF;PL
menő	яко	menő	яко		ADV
menő	готина	menő	готина		ADJ;INDF;FEM;SG
menő	готино	menő	готино		ADV
menő	готин	menő	готин		ADJ;INDF;MASC;SG
janus	янус	janus	янус		PROPN;INDF;MASC;SG
szabványos	стандартна	szabványos	стандартен	N;NOM;SG	ADJ;INDF;FEM;SG
szabványos	стандартни	szabványos	стандартен	N;NOM;SG	ADJ;INDF;PL
szabványos	стандартно	szabványos	стандартен	N;NOM;SG	ADV
szabványos	стандартен	szabványos	стандартен	N;NOM;SG	ADJ;INDF;MASC;SG
októberi	октомври	októberi	октомври	ADJ;NOM;SG	N;INDF;MASC;SG
arabul	арабски	arab	арабски		ADJ;INDF;MASC;SG
arabul	арабска	arab	арабски		ADJ;INDF;FEM;SG
kábel	кабелна	kábel	кабелен	N;NOM;SG	ADJ;INDF;FEM;SG
büntetést	наказан	büntetés	накажа	N;ACC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
büntetést	наказана	büntetés	накажа	N;ACC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
büntetést	наказани	büntetés	накажа	N;ACC;SG	V;PFV;INDF;PL;V.PTCP;PASS
nyak	нек	nyak	нек	N;NOM;SG	PROPN;INDF;FEM;SG
légitársaság	авиолинии	légitársaság	авиолиния	N;NOM;SG	N;INDF;FEM;PL
légitársaság	авиолинии	légitársaság	авиолиния	N;NOM;SG	N;INDF;FEM;PL
légitársaság	airlines	légitársaság	airlines	N;NOM;SG	PROPN;INDF;MASC;SG
légitársaság	авиокомпании	légitársaság	авиокомпания	N;NOM;SG	N;INDF;FEM;PL
légitársaság	авиокомпаниите	légitársaság	авиокомпания	N;NOM;SG	N;DEF;FEM;PL
többségi	мнозинство	többségi	мнозинство	ADJ;NOM;SG	N;INDF;NEUT;SG
többségi	мнозинството	többségi	мнозинство	ADJ;NOM;SG	N;DEF;NEUT;SG
kenny	кени	kenny	кен		PROPN;INDF;MASC;SG
jakob	якоб	ja	якоб		PROPN;INDF;MASC;SG
műholdas	спътник	műholdas	спътник		N;INDF;MASC;SG
műholdas	сателитно	műholdas	сателитен		ADV
műholdas	сателит	műholdas	сателит		N;INDF;MASC;SG
műholdas	сателитен	műholdas	сателитен		ADJ;INDF;MASC;SG
műholdas	сателитна	műholdas	сателитен		ADJ;INDF;FEM;SG
gyümölcs	плодове	gyümölcs	плод	N;NOM;SG	N;INDF;MASC;PL
gyümölcs	плодове	gyümölcs	плод	N;NOM;SG	N;INDF;MASC;PL
model	образец	model	образец		N;INDF;MASC;SG
model	модел	model	модел		N;INDF;MASC;SG
elisabeth	елизабет	elisabeth	елизабет		N;INDF;FEM;SG
