talent	таланти	talent	талант	N;NOM;MASC;SG	N;INDF;MASC;PL
podrejen	покорен	podrejen	покорен	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
podrejen	подчинени	podrejen	подчиня-(се)	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
podrejen	подчинена	podrejen	подчиня-(се)	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
podrejen	подчинен	podrejen	подчиня-(се)	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
podrejen	подчинени	podrejen	подчиня-(се)	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
podrejen	подчинен	podrejen	подчиня-(се)	ADJ;NOM;INDF;MASC;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
začetnik	начинаещи	začetnik	начинаещ	N;NOM;MASC;SG	ADJ;INDF;PL
začetnik	начинаещ	začetnik	начинаещ	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
redir	redir	redir	redir		PROPN;INDF;MASC;SG
party	party	party	party	N;NOM;MASC;SG	ADJ
pozitiven	положителни	pozitiven	положителен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;PL
pozitiven	положително	pozitiven	положително	ADJ;NOM;INDF;MASC;SG	ADV
tovor	товари	tovor	товар	N;NOM;MASC;SG	N;INDF;MASC;PL
tovor	товари	tovor	товар	N;NOM;MASC;SG	N;INDF;MASC;PL
tovor	товарен	tovor	товарен	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
nižja	долна	nizek	долен	ADJ;NOM;CMPR;FEM;SG	ADJ;INDF;FEM;SG
nižja	долен	nizek	долен	ADJ;NOM;CMPR;FEM;SG	ADJ;INDF;MASC;SG
nenad	ненад	nenad	ненад	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
ledena	ледено	leden	ледено	ADJ;NOM;FEM;SG	ADV
kongo	конго	kong	конго	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
šiška	бретон	šiški	бретон	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
konflikt	конфликти	konflikt	конфликт	N;NOM;MASC;SG	N;INDF;MASC;PL
uniči	унищожаване	uničiti	унищожаване	V;PFV;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
uniči	унищожи	uničiti	унищожа	V;PFV;IND;SG;3;PRS;FIN	V;PFV;IMP;SG;2;FIN
uniči	съсипе	uničiti	със	V;PFV;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
uniči	разруха	uničiti	разруха	V;PFV;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
uniči	разрушава	uničiti	разрушавам-(се)	V;PFV;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
uniči	унищожава	uničiti	унищожавам-(се)	V;PFV;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
razvito	разработена	razvit	разработя-(се)	ADJ;NOM;NEUT;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
razvito	разработени	razvit	разработя-(се)	ADJ;NOM;NEUT;SG	V;PFV;INDF;PL;V.PTCP;PASS
razvito	разработен	razvit	разработя-(се)	ADJ;NOM;NEUT;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
