wat	מה	wat	מה	PRO	ADV
word	להפוך	word	הפך	V;PRS	V;NFIN;ACT
was	היה	is	היה	V;PST;FIN	V;MASC;SG;3;POS;PST
was	הייתה	is	היה	V;PST;FIN	V;FEM;SG;3;POS;PST
was	היתה	is	היה	V;PST;FIN	V;FEM;SG;3;POS;PST
was	היו	is	היה	V;PST;FIN	V;PL;3;POS;PST
deur	הדלת	deur	הדלה	ADP	PROPN
deur	דלת	deur	דלת	ADP	N;FEM;SG
ook	וגם	ook	וגם	ADV	
dat	זה	dat	זה	CONJ	PRO;MASC;SG;3
hulle	אותם	hulle	None	PRO;PL;3	PRO;ACC;MASC;PL;3
suid	דרום	suid	דרום		N;MASC;SG
uit	בחוץ	uit	בחוץ	ADP	
uit	החוצה	uit	החוצה	ADP	ADV
eerste	ראשון	eerste	ראשון	ADJ;NOM	PROPN
eerste	קודם	eerste	קודם	ADJ;NOM	ADV
eerste	ראשית	eerste	ראשית	ADJ;NOM	ADV
eerste	תחילה	eerste	תחילה	ADJ;NOM	ADV
hierdie	זה	hierdie	זה	DET	PRO;MASC;SG;3
ander	אחרים	ander	אחר	PRO	ADJ;MASC;PL
ander	אחר	ander	אחר	PRO	ADP
soos	כמו	soos	כמו	CONJ	ADP
soos	אוהב	soos	אהב	CONJ	V;MASC;SG;V.PTCP;ACT
soos	כאילו	soos	כאילו	CONJ	CONJ
afrika	אפריקה	afrika	אפריקה	PROPN;SG	PROPN
afrika	אפריקאית	afrika	אפריקני	PROPN;SG	PROPN
afrika	אפריקאי	afrika	אפריקאי	PROPN;SG	PROPN
afrika	אפריקני	afrika	אפריקני	PROPN;SG	PROPN
oor	אודות	oor	אודות	ADP	
oor	אוזן	oor	אוזן	ADP	
oor	האוזן	oor	האוזן	ADP	PROPN
oor	נותר	oor	נותר	ADP	V;MASC;SG;V.PTCP;MID
oor	נותרה	oor	נותר	ADP	V;FEM;SG;3;PST;MID
oor	נותרו	oor	נותר	ADP	V;PL;3;PST;MID
oor	שנותרו	oor	שנותר	ADP	
gebruik	שימוש	gebruik	שימוש	V;PRS	N;MASC;SG
gebruik	שימוש	gebruik	שימוש	V;PRS	N;MASC;SG
gebruik	השתמש	gebruik	השתמש	V;PRS	V;MASC;SG;3;PST
afrikaanse	אפריקאית	afrikaans	אפריקני	N;PL	PROPN
afrikaanse	אפריקאי	afrikaans	אפריקאי	N;PL	PROPN
afrikaanse	אפריקני	afrikaans	אפריקני	N;PL	PROPN
groot	מעולה	groot	מעולה	V;PRS	
groot	נהדר	groot	נהדר	V;PRS	ADJ;MASC;SG
groot	אחלה	groot	אחלה	V;PRS	
groot	גדול	groot	גדול	V;PRS	ADJ;MASC;SG
meer	אגם	baie	אגם	DET	PROPN
meer	לייק	baie	לייק	DET	PROPN
meer	עוד	baie	עוד	DET	ADV
meer	יותר	baie	יותר	DET	ADV
onder	למטה	onder	למטה	ADP	
onder	בהמשך	onder	בהמשך	ADP	
onder	להלן	onder	להלן	ADP	ADV
onder	תחתון	onder	תחתון	ADP	ADJ;MASC;SG
onder	תחתית	onder	תחתית	ADP	N;FEM;SG
kerk	כנסיה	kerk	כנסיה		PROPN
kerk	כנסייה	kerk	כנסייה		N;FEM;SG
duimnael	דוגמית	duimnael	דוגמי	V;PRS	ADV
baie	מאוד	baie	מאוד	DET	ADV
baie	הרבה	baie	הרבה	DET	ADV
baie	רבות	baie	רב	DET	N;FEM;PL
baie	רבים	baie	רב	DET	V;MASC;PL;V.PTCP;ACT
begin	התחלה	begin	התחלה	V;PRS	N;FEM;SG
begin	התחל	begin	התחל	V;PRS	PROPN
hul	שלהם	hul	של	PRO;PL;3	
waar	לאן	waar	לאן	PRO	ADV
waar	איפה	waar	איפה	PRO	ADV
waar	היכן	waar	היכן	PRO	ADV
waar	נכונות	waar	נכונות	PRO	N;FEM;SG
waar	אמת	waar	אמת	PRO	N;FEM;SG
waar	נכון	waar	נכון	PRO	ADJ;MASC;SG
dié	זה	dié	זה	DET	PRO;MASC;SG;3
haar	שלה	haar	של	PRO;ACC;SG;3	
haar	בה	haar	ב	PRO;ACC;SG;3	
haar	לה	haar	ל	PRO;ACC;SG;3	
haar	עליה	haar	על	PRO;ACC;SG;3	
eksterne	חיצוניים	ekstern	חיצוני	V;PRS	ADJ;MASC;PL
eksterne	חיצוניות	ekstern	חיצוני	V;PRS	ADJ;FEM;PL
eksterne	חיצונית	ekstern	חיצוני	V;PRS	ADV
eksterne	חיצוני	ekstern	חיצוני	V;PRS	ADJ;MASC;SG
sien	ראי	sien	ראי	V;PRS	
sien	ראה	sien	ראה	V;PRS	V;MASC;SG;3;PST;ACT
leë	ריקה	leë	ריק		PROPN
leë	בלאנק	leë	בלאנק		PROPN
hom	בו	hom	ב	PRO;NOM;SG;3	ADP
hom	אותו	hom	None	PRO;NOM;SG;3	PRO;ACC;MASC;SG;3
voor	קדמי	voor	קדם	ADP	PROPN
voor	החזית	voor	החזית	ADP	ADV
voor	חזית	voor	חזית	ADP	N;FEM;SG
voor	לחזית	voor	לחזית	ADP	ADV
stad	העיר	stad	העיר	N;SG	V;MASC;SG;3;PST;ACT
land	ארצי	land	ארצי	N;SG	PROPN
net	פשוט	net	פשוט	ADV	
tydens	במהלך	tydens	במהלך	ADP	ADV
naam	השם	naam	השם	N;SG	
naam	שם	naam	שם	N;SG	ADV
deel	שתף	deel	שתף	V;PRS	ADV
deel	שתפו	deel	שתף	V;PRS	V;PL;1;PST;ACT
deel	שיתוף	deel	שיתוף	V;PRS	N;MASC;SG
deel	חלק	deel	חלק	V;PRS	N;MASC;SG
drie	three	drie	three	NUM	
egter	אולם	egter	אולם	PART	CONJ
pous	אפיפיור	pous	אפיפיור		PROPN
pous	פופ	pous	פופ		PROPN
sal	ויל	sal	ויל	V;PRS	PROPN
sal	וויל	sal	וויל	V;PRS	PROPN
kon	יכולת	kan	יכולת	V;PST;FIN	N;FEM;SG
ons	שלנו	ons	None	PRO;PL;1	
bestaan	קיימות	bestaan	קיים	V;PRS	ADJ;FEM;PL
bestaan	קיים	bestaan	קיים	V;PRS	ADJ;MASC;SG
bestaan	קיימת	bestaan	קיים	V;PRS	ADJ;FEM;SG
bestaan	קיימים	bestaan	קיים	V;PRS	ADJ;MASC;PL
bestaan	קיים	bestaan	קיים	V;PRS	ADJ;MASC;SG
bestaan	קיימת	bestaan	קיים	V;PRS	ADJ;FEM;SG
svg	svg	svg	svg	N;SG	PROPN
nasionale	לאומי	nasionaal	לאומי	ADJ;NOM	PROPN
nasionale	לאומית	nasionaal	לאומי	ADJ;NOM	ADV
maak	הפוך	maak	הפוך	V;PRS	
kom	בוא	kom	בוא	V;PRS	
kom	בואי	kom	בא	V;PRS	
kom	בואו	kom	בא	V;PRS	
noord	צפונה	noord	צפון		ADV
noord	הצפון	noord	הצפון		PROPN
noord	צפון	noord	צפון		N;MASC;SG
jpg	jpg	jpg	jpg		PROPN
gebied	טריטוריה	bied	טריטוריה	V;PST;V.PTCP	N;FEM;SG
gebied	אזור	bied	אזור	V;PST;V.PTCP	N;MASC;SG
gebied	איזור	bied	איזור	V;PST;V.PTCP	N;MASC;SG
gebied	האזור	bied	האזור	V;PST;V.PTCP	PROPN
gebied	שטח	bied	שטח	V;PST;V.PTCP	N;MASC;SG
laat	מאחרת	laat	מאחרת	V;PRS	
laat	איחור	laat	איחור	V;PRS	N;MASC;SG
laat	באיחור	laat	באיחור	V;PRS	PROPN
laat	מאוחר	laat	מאוחר	V;PRS	ADV
saam	ביחד	saam	ביחד	ADV	
style	סטיילס	styal	סטיילס		PROPN
style	סגנונות	styal	סגנון		N;MASC;PL
terwyl	בזמן	terwyl	בזמן	CONJ	PROPN
veral	בייחוד	veral	בייחוד	ADV	
veral	ובמיוחד	veral	ובמיוחד	ADV	PROPN
moet	חייב	moet	חייב	V;PRS	ADJ;MASC;SG
weer	שוב	weer	שוב		ADV
weer	מזג	weer	מזג		N;MASC;SG
werk	עבודה	werk	עבודה	V;PRS	N;FEM;SG
werk	עבודה	werk	עבודה	V;PRS	N;FEM;SG
werk	משרה	werk	משרה	V;PRS	N;FEM;SG
werk	איוב	werk	איוב	V;PRS	
klein	קטן	klein	קטן		ADJ;MASC;SG
klein	קטנים	klein	קטן		ADJ;MASC;PL
klein	קטנה	klein	קטן		ADJ;FEM;SG
klein	קטנות	klein	קטן		ADJ;FEM;PL
klein	קטין	klein	קטין		N;MASC;SG
klein	מינור	klein	מינור		N;MASC;SG
klein	זעירה	klein	זעיר		ADJ;FEM;SG
klein	קטנטנה	klein	קטנטןה		ADV
klein	קטנטן	klein	קטנטן		PROPN
klein	טייני	klein	טייני		PROPN
oos	מזרחה	oos	מזרחה		ADV
oos	המזרח	oos	המזרח		PROPN
oos	איסט	oos	איסט		PROPN
oos	מזרח	oos	מזרח		N;MASC;SG
tyd	הזמן	tyd	הזמן	N;SG	
tyd	טיים	tyd	טיים	N;SG	PROPN
geword	להפוך	word	הפך	V;PST;FIN	V;NFIN;ACT
geword	הפכו	word	הפך	V;PST;FIN	V;PL;3;PST
geword	הפך	word	הפך	V;PST;FIN	V;MASC;SG;3;PST
geword	הפכה	word	הפך	V;PST;FIN	V;FEM;SG;3;PST
vlag	הדגל	vlag	הדגל	N;SG	
verenigde	יונייטד	verenig	יונייטד	ADJ;NOM	PROPN
verenigde	מאוחדים	verenig	אוחד	ADJ;NOM	V;MASC;PL;V.PTCP;PASS
mei	במאי	mei	במאי		N;MASC;SG
mei	מאי	mei	מאי		PROPN
wes	המערב	wes	המערב		PROPN
wes	ווסט	wes	וסט		PROPN
wes	מערבה	wes	מערבה		ADV
wes	מערב	wes	מערב		N;MASC;SG
wes	וסט	wes	וסט		PROPN
