और	и	और	и		CONJ
से	от	से	от		ADP
से	from	से	from		PROPN
से	из	से	из		ADP
है	хай	है	хай	V;IND;SG;3;PRS;FIN;ACT	
एक	одна	एक	один	NUM	DET;NOM;FEM;SG
एक	one	एक	one	NUM	PROPN
एक	одно	एक	один	NUM	DET;NOM;NEUT;SG
श्रेणी	категории	श्रेणी	категория	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
श्रेणी	серии	श्रेणी	серия	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
श्रेणी	категорий	श्रेणी	категория	N;NOM;FEM;SG;3	N;INAN;GEN;FEM;PL
श्रेणी	категории	श्रेणी	категория	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
भी	также	भी	также	PART	ADV
भी	слишком	भी	слишком	PART	ADV
यह	this	यह	this	PRO;NOM;SG;3	PROPN
यह	эта	यह	этот	PRO;NOM;SG;3	DET;NOM;FEM;SG
यह	этот	यह	этот	PRO;NOM;SG;3	DET;NOM;MASC;SG
किया	сделано	कर	делать	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NEUT;SG;PST;V.PTCP;PASS
इस	this	यह	this	DET;ACC;SG;3	PROPN
इस	это	यह	это	DET;ACC;SG;3	PRO;INAN;NOM;NEUT;SG
इस	эта	यह	этот	DET;ACC;SG;3	DET;NOM;FEM;SG
इस	этот	यह	этот	DET;ACC;SG;3	DET;NOM;MASC;SG
हैं	являются	है	являться	V;IND;PL;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;MID
कि	это	कि	это		PRO;INAN;NOM;NEUT;SG
कि	that	कि	that		PROPN
भारत	индию	भारत	индия	PROPN;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
भारत	индия	भारत	индий	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
भारत	индии	भारत	индия	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
जो	джо	जो	джо	PRO;NOM;SG;3	PART
जो	who	जो	who	PRO;NOM;SG;3	PROPN
जो	воз	जो	воз	PRO;NOM;SG;3	N;INAN;NOM;MASC;SG
रूप	форме	रूप	форма	N;NOM;MASC;SG;3	N;INAN;DAT;FEM;SG
रूप	форму	रूप	форма	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
कर	налоговых	कर	налоговый	V;ACT	ADJ;GEN;PL
कर	налог	कर	налог	V;ACT	N;INAN;NOM;MASC;SG
कर	налоги	कर	налог	V;ACT	N;INAN;NOM;MASC;PL
कर	налоговая	कर	налоговый	V;ACT	ADJ;NOM;FEM;SG
कर	налоги	कर	налог	V;ACT	N;INAN;NOM;MASC;PL
नहीं	неа	नहीं	она	PART;NEG	
उत्तराखण्ड	уттаракханд	उत्तराखण्ड	уттаракханд	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
साथ	с	साथ	с	ADV;NOM;MASC;SG;3	ADP
साथ	with	साथ	with	ADV;NOM;MASC;SG;3	PROPN
पूर्व	восточная	पूर्व	восточный	ADV;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
पूर्व	востоке	पूर्व	восток	ADV;NOM;MASC;SG;3	N;INAN;ESS;MASC;SG
पूर्व	восток	पूर्व	восток	ADV;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
पूर्व	ист	पूर्व	ист	ADV;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
पूर्व	east	पूर्व	east	ADV;NOM;MASC;SG;3	PROPN
पूर्व	восточный	पूर्व	восточный	ADV;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
पूर्व	бывший	पूर्व	бывший	ADV;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
पूर्व	прежний	पूर्व	прежний	ADV;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
पूर्व	бывшей	पूर्व	бывший	ADV;NOM;MASC;SG;3	ADJ;INS;FEM;SG
पूर्व	бывшие	पूर्व	бывший	ADV;NOM;MASC;SG;3	ADJ;NOM;PL
