right	ben	righta	ben		ADV
tudi	tamén	tudi	tamén	PART	ADV
kot	como	kot	como	CONJ	PRO
kot	como	kot	como	CONJ	PRO
kot	así	kot	así	CONJ	ADV
team	de	teama	de	N;NOM;MASC;SG	ADP
pri	na	pri	na	ADP;ESS	N
pri	no	pri	no	ADP;ESS	V
bil	era	biti	ser	V;MASC;SG;V.PTCP	V
bil	estaba	biti	estar	V;MASC;SG;V.PTCP	V
med	na	med	na	ADP;INS	N
med	os	med	o	ADP;INS	DET
ali	ou	ali	ou	ADV	CONJ
glej	coidado	gledati	coidado	V;IPFV;IMP;SG;2;FIN	N
bila	era	biti	ser	V;FEM;SG;V.PTCP	V
bila	estaba	biti	estar	V;FEM;SG;V.PTCP	V
lahko	podía	lahko	podía	ADV	V
lahko	podería	lahko	poder	ADV	V
lahko	poden	lahko	poder	ADV	V
lahko	podo	lahko	podar	ADV	V
lahko	podes	lahko	poder	ADV	V
lahko	podemos	lahko	poder	ADV	V
lahko	pode	lahko	poder	ADV	V
lahko	non	lahko	non	ADV	PART
mehika	méxico	mehika	méxico	PROPN;NOM;FEM;SG	PROPN
več	máis	več	máis	DET	ADV
pod	baixo	pod	baixo		ADP
pod	debaixo	pod	debaixo		ADV
pod	de	pod	de		ADP
kjer	onde	kjer	onde	CONJ	PRO
jih	os	on	o	PRO;ACC;MASC;PL;3	DET
jih	deles	on	del	PRO;ACC;MASC;PL;3	PROPN
mesto	city	mesto	city	N;NOM;NEUT;SG	PROPN
mesto	da	mesto	da	N;NOM;NEUT;SG	V
september	de	september	de	N;NOM;MASC;SG	ADP
pred	antes	pred	antes	ADP;INS	ADV
ime	se	ime	se	N;NOM;NEUT;SG	CONJ
center	center	center	center	N;NOM;MASC;SG	PROPN
center	de	center	de	N;NOM;MASC;SG	ADP
proti	os	proti	o	ADP;DAT	DET
oktober	de	oktober	de	N;NOM;MASC;SG	ADP
bili	estaban	biti	estar	V;MASC;PL;V.PTCP	V
marec	de	marec	de	N;NOM;MASC;SG	ADP
zda	eua	zdati	eua	PROPN;GEN;FEM;PL	PROPN
veliko	moreas	veliko	morea	DET	N
veliko	moito	veliko	moito	DET	ADV
veliko	cantos	veliko	canto	DET	N
veliko	canto	veliko	canto	DET	PRO
veliko	grazas	veliko	graza	DET	N
veliko	moito	veliko	moito	DET	ADV
veliko	máis	veliko	máis	DET	ADV
veliko	tanto	veliko	tanto	DET	ADV
avgust	de	avgust	de	N;NOM;MASC;SG	ADP
avgust	augustus	avgust	augustus	N;NOM;MASC;SG	PROPN
zato	polo	zato	polo	CONJ	N
zato	tanto	zato	tanto	CONJ	ADV
zato	por	zato	por	CONJ	ADP
zato	iso	zato	iso	CONJ	PRO
zato	daquela	zato	daquela	CONJ	ADV
tega	isto	ta	isto	DET;GEN;NEUT;SG	PRO
delo	traballar	delo	traballar	N;NOM;NEUT;SG	V
ker	por	ker	por	CONJ	ADP
