花卉	virágos	花卉	virágos	N	
庭院	yard	庭院	yard	N	
蘇維埃	szovjetek	蘇維埃	szovjet	PROPN	N;NOM;PL
蘇維埃	szovjetek	蘇維埃	szovjet	PROPN	N;NOM;PL
蘇維埃	szovjet	蘇維埃	szovjet	PROPN	
安藤	ando	安藤	ando	PROPN	PROPN;NOM;SG
和	harmónia	和	harmónia	ADP	N;NOM;SG
和	harmony	和	harmony	ADP	
室外	kint	室外	kint	N	
室外	kívül	室外	kívül	N	
鵝	liba	鵝	liba	N	
鵝	liba	鵝	liba	N	
刺殺	merénylet	刺殺	merénylet	V	N;NOM;SG
坐標	koordinálja	坐標	koordinál	N	V;DEF;IND;SG;3;PRS;FIN;ACT
永恆	időtlen	永恆	időtlen	N	
永恆	örök	永恆	örök	N	
永恆	örökkévaló	永恆	örökkévaló	N	ADJ;NOM;SG
永恆	örök	永恆	örök	N	
津	juttatások	津	juttatás	PROPN	N;NOM;PL
津	juttatás	津	juttatás	PROPN	N;NOM;SG
破解	repedés	破解	repedés	V	N;NOM;SG
破解	crack	破解	crack	V	N;NOM;SG
捲	gurul	捲	gurul	N	V;INDF;IND;SG;3;PRS;FIN;ACT
捲	roll	捲	roll	N	
麻雀	verebek	麻雀	vereb	PROPN	N;NOM;PL
麻雀	veréb	麻雀	veréb	PROPN	N;NOM;SG
阻力	húzd	阻力	húzd	N	V;DEF;IMP;SG;2;PRS;FIN;ACT
阻力	ellenálló	阻力	ellenálló	N	
關	törődés	關	törődés	PROPN	N;NOM;SG
關	gondoskodó	關	gondoskodó	PROPN	ADJ;NOM;SG
關	gondoskodás	關	gondoskodás	PROPN	N;NOM;SG
盧森堡	luxemburgi	盧森堡	luxemburgi	PROPN	ADJ;NOM;SG
盧森堡	luxemburgban	盧森堡	luxemburg	PROPN	N;IN+ESS;SG
盧森堡	luxemburg	盧森堡	luxemburg	PROPN	
盧森堡	luxembourg	盧森堡	luxembourg	PROPN	
疼痛	fáj	疼痛	fáj	N	V;INDF;IND;SG;3;PRS;FIN;ACT
佔有	birtoklás	佔有	birtoklás	V	N;NOM;SG
獨家	zártkörű	獨家	zártkörű		ADJ;NOM;SG
獨家	kizárólagos	獨家	kizárólagos		ADJ;NOM;SG
停火	fegyverszünet	停火	fegyverszünet	V	N;NOM;SG
