bmw	bmw	bmw	bmw	N;INDF;MASC+FEM;SG	PROPN;NOM
akademiske	akademisches	akademisk	akademisch	ADJ;PL	ADJ;NOM;NEUT;SG
forstærket	verstärkt	forstærke	verstärkt	V;INDF;SG;PST;V.PTCP	ADJ
forstærket	verstärkt	forstærke	verstärkt	V;INDF;SG;PST;V.PTCP	ADJ
forstærket	verstärkt	forstærke	verstärkt	V;INDF;SG;PST;V.PTCP	ADJ
forstærket	verstärkung	forstærke	verstärkung	V;INDF;SG;PST;V.PTCP	ADJ
forstærket	verstärkter	forstærke	verstärkt	V;INDF;SG;PST;V.PTCP	ADJ
køber	buy	købe	buy	V;IND;PRS;FIN;ACT	PROPN;NOM;SG
køber	kauf	købe	kauf	V;IND;PRS;FIN;ACT	N;SG
køber	ankauf	købe	ankauf	V;IND;PRS;FIN;ACT	N
køber	einkäufer	købe	einkäufer	V;IND;PRS;FIN;ACT	ADJ
køber	abnehmer	købe	abnehmer	V;IND;PRS;FIN;ACT	ADJ
køber	käufer	købe	käuf	V;IND;PRS;FIN;ACT	ADJ
køber	besteller	købe	besteller	V;IND;PRS;FIN;ACT	ADJ
køber	ankauf	købe	ankauf	V;IND;PRS;FIN;ACT	N
køber	kauf	købe	kauf	V;IND;PRS;FIN;ACT	N;SG
letlands	lettland	letlands	lettland	N;GEN;INDF;NEUT;SG	PROPN
letlands	lettische	letlands	lettisch	N;GEN;INDF;NEUT;SG	ADJ;NOM;FEM;PL
letlands	lettisch	letlands	lettisch	N;GEN;INDF;NEUT;SG	ADJ
letlands	lettischen	letlands	lettisch	N;GEN;INDF;NEUT;SG	ADJ;PL
nova	nova	nova	nova		PROPN;NOM;SG
row	reihe	row	reih		;SG
row	rudern	row	rudern		V;NFIN
row	zeile	row	zeilen		
tilstedeværelse	teilnahme	tilstedeværelse	teilnahme	N;INDF;MASC+FEM;SG	ADV
tilstedeværelse	teilnehmerzahl	tilstedeværelse	teilnehmerzahl	N;INDF;MASC+FEM;SG	ADJ
tilstedeværelse	besucherzahlen	tilstedeværelse	besucherzahlen	N;INDF;MASC+FEM;SG	V;NFIN
tilstedeværelse	anwesenheit	tilstedeværelse	anwesenheit	N;INDF;MASC+FEM;SG	ADJ
tilstedeværelse	vorhandensein	tilstedeværelse	vorhandensein	N;INDF;MASC+FEM;SG	ADV
tilstedeværelse	anwesenheit	tilstedeværelse	anwesenheit	N;INDF;MASC+FEM;SG	ADJ
tilstedeværelse	präsenz	tilstedeværelse	präsenz	N;INDF;MASC+FEM;SG	ADJ
tilstedeværelse	gegenwart	tilstedeværelse	gegenwart	N;INDF;MASC+FEM;SG	
inviteret	eingeladene	invitere	eingeladen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL
voksen	erwachsene	voksen	erwachsen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
voksen	gewachsen	voksen	wachsen	ADJ;INDF;MASC+FEM;SG	V;V.PTCP
voksen	angebaut	voksen	anbauen	ADJ;INDF;MASC+FEM;SG	V;V.PTCP
voksen	erwachsene	voksen	erwachsen	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;FEM;PL
voksen	erwachsen	voksen	erwachsen	ADJ;INDF;MASC+FEM;SG	V;V.PTCP
abu	abu	abu	abu	PROPN	PROPN;NOM;MASC;SG
dean	dekan	dean	dekan		N
dean	dean	dean	dean		PROPN;NOM;MASC;SG
mind	verstand	mind	verstehen		
mind	mind	mind	mind		
mind	geist	mind	geisen		
cape	cape	cape	cape	N;INDF;MASC+FEM;SG	PROPN;NOM;SG
