the	do	the	do	DET;DEF	PROPN
was	foi	be	ser	V;IND;SG;3;PST;FIN	V
for	para	for	para		ADP
for	por	for	por		ADP
with	coa	with	coar	ADP	V
with	co	with	co	ADP	PROPN
from	de	from	de	ADV	ADP
from	da	from	da	ADV	V
from	do	from	do	ADV	PROPN
from	dende	from	dende	ADV	ADP
this	esta	this	este	PRO;SG	DET
this	este	this	este	PRO;SG	DET
his	o	he	o	PRO;MASC;SG;3	DET
his	seu	he	seu	PRO;MASC;SG;3	DET
his	súa	he	seu	PRO;MASC;SG;3	DET
his	seus	he	seu	PRO;MASC;SG;3	DET
his	a	he	o	PRO;MASC;SG;3	DET
are	son	be	ser	V;IND;PRS;FIN	V
are	hai	be	haber	V;IND;PRS;FIN	V
talk	charla	talk	charlar	V;IMP;FIN	N
talk	con	talk	con	V;IMP;FIN	ADP
has	ten	have	ter	V;IND;SG;3;PRS;FIN	V
were	eran	be	ser	V;IND;PST;FIN	V
were	foron	be	ser	V;IND;PST;FIN	V
have	que	have	que	V;IMP;FIN	PRO
one	unha	one	un	NUM	DET
one	un	one	un	NUM	DET
first	primeiro	first	primeiro	ADV	ADJ
first	primeira	first	primeiro	ADV	ADJ
had	que	have	que	V;IND;PST;FIN	PRO
their	seus	they	seu	PRO;PL;3	DET
their	as	they	o	PRO;PL;3	DET
their	súas	they	seu	PRO;PL;3	DET
their	os	they	o	PRO;PL;3	DET
their	seu	they	seu	PRO;PL;3	DET
their	súa	they	seu	PRO;PL;3	DET
there	hai	there	haber	ADV	V
made	feito	make	feito	V;PST;V.PTCP	N
its	seus	its	seu	PRO;NEUT;SG;3	DET
its	súas	its	seu	PRO;NEUT;SG;3	DET
its	seu	its	seu	PRO;NEUT;SG;3	DET
its	o	its	o	PRO;NEUT;SG;3	DET
its	súa	its	seu	PRO;NEUT;SG;3	DET
its	a	its	o	PRO;NEUT;SG;3	DET
people	a	people	o	N;PL	DET
may	poden	may	poder	V;FIN	V
may	pode	may	poder	V;FIN	V
may	maio	may	maio	V;FIN	N
may	que	may	que	V;FIN	PRO
may	podo	may	podar	V;FIN	V
after	tras	after	tras	ADV	ADP
after	de	after	de	ADV	ADP
other	outra	other	outro	ADJ	DET
other	outros	other	outro	ADJ	DET
other	outro	other	outro	ADJ	DET
other	outras	other	outro	ADJ	DET
should	debería	should	deber	V;FIN	V
should	que	should	que	V;FIN	PRO
two	dous	two	dous	NUM	N
two	dúas	two	dous	NUM	N
score	arranxar	score	arranxar	N;SG	V
her	a	she	o	PRO;ACC;FEM;SG;3	DET
her	seu	she	seu	PRO;ACC;FEM;SG;3	DET
her	súa	she	seu	PRO;ACC;FEM;SG;3	DET
can	poden	can	poder	V;FIN	V
can	podo	can	podar	V;FIN	V
can	podes	can	poder	V;FIN	V
can	podemos	can	poder	V;FIN	V
can	pode	can	poder	V;FIN	V
can	non	can	non	V;FIN	PART
would	que	would	que	V;FIN	PRO
more	máis	more	máis	ADJ;CMPR	ADV
about	sobre	about	sobre	ADV	ADP
about	de	about	de	ADV	ADP
when	cando	when	cando	ADV	PRO
when	se	when	se	ADV	CONJ
team	de	team	de	N;SG	ADP
american	americanos	american	americano	ADJ	N
such	tan	such	tan	ADJ	ADV
such	como	such	como	ADJ	PRO
such	tal	such	tal	ADJ	DET
only	único	only	único	ADV	ADJ
only	única	only	único	ADV	ADJ
some	algo	some	algo	DET	PRO
some	de	some	de	DET	ADP
united	dos	united	dos	PROPN;SG	PROPN
united	nos	united	nos	PROPN;SG	PRO
united	unidos	united	unir	PROPN;SG	V
united	unidas	united	unir	PROPN;SG	V
united	ficade	united	ficade	PROPN;SG	PROPN
united	ee	united	ee	PROPN;SG	PROPN
united	eua	united	eua	PROPN;SG	PROPN
into	á	into	á	ADV	N
into	en	into	en	ADV	ADP
into	na	into	na	ADV	N
into	ao	into	ao	ADV	PROPN
into	no	into	no	ADV	V
into	a	into	o	ADV	DET
university	de	university	de	N;SG	ADP
university	da	university	da	N;SG	V
university	universitaria	university	universitario	N;SG	ADJ
during	durante	during	durante	ADV	ADP
during	na	during	na	ADV	N
states	unidos	state	unir	N;PL	V
states	ee	state	ee	N;PL	PROPN
states	uu	state	uu	N;PL	PROPN
states	eua	state	eua	N;PL	PROPN
most	a	most	o	ADJ;RL	DET
most	maioría	most	maioría	ADJ;RL	N
most	parte	most	parte	ADJ;RL	N
most	máis	most	máis	ADJ;RL	ADV
city	city	city	city	N;SG	PROPN
city	da	city	da	N;SG	V
used	antes	use	antes	V;PST;V.PTCP	ADV
then	e	then	e	ADV	CONJ
than	ca	than	ca	ADV	CONJ
than	que	than	que	ADV	PRO
than	do	than	do	ADV	PROPN
than	mellor	than	mellor	ADV	ADJ
county	do	county	do	N;SG	PROPN
county	o	county	o	N;SG	DET
county	nado	county	nacer	N;SG	V
where	onde	where	onde	ADV	PRO
will	vai	will	ir	V;FIN	V
what	o	what	o	PRO	DET
any	máis	any	máis	DET	ADV
these	estas	these	este	PRO;PL	DET
these	estes	these	este	PRO;PL	DET
january	xaneiro	january	xaneiro	PROPN;SG	N
january	de	january	de	PROPN;SG	ADP
march	marzo	march	marzo	PROPN;SG	N
march	de	march	de	PROPN;SG	ADP
march	marcha	march	marcha	PROPN;SG	N
august	de	august	de	PROPN;SG	ADP
august	agosto	august	agosto	PROPN;SG	N
july	xullo	july	xullo	PROPN;SG	N
july	de	july	de	PROPN;SG	ADP
being	ser	be	ser	V;V.MSDR	V
being	estar	be	estar	V;V.MSDR	V
being	a	be	o	V;V.MSDR	DET
being	se	be	se	V;V.MSDR	CONJ
him	o	he	o	PRO;ACC;MASC;SG;3	DET
many	moitos	many	moito	ADJ	DET
many	cantas	many	canto	ADJ	DET
many	moitas	many	moito	ADJ	DET
many	cantos	many	canto	ADJ	N
south	sur	south	sur	PROPN;SG	N
south	do	south	do	PROPN;SG	PROPN
south	sudáfrica	south	sudáfricar	PROPN;SG	ADJ
september	setembro	september	setembro	PROPN;SG	N
september	de	september	de	PROPN;SG	ADP
like	como	like	como	INTJ	PRO
like	coma	like	coma	INTJ	CONJ
like	así	like	así	INTJ	ADV
between	entre	between	entre	ADV	ADP
between	os	between	o	ADV	DET
october	outubro	october	outubro	PROPN;SG	N
october	de	october	de	PROPN;SG	ADP
three	tres	three	tres	NUM	N
june	xuño	june	xuño	PROPN;SG	N
well	ben	well	ben	INTJ	ADV
use	uso	use	uso	V;IMP;FIN	N
war	a	war	o	N;SG	DET
under	baixo	under	baixo	ADV	ADP
under	de	under	de	ADV	ADP
them	os	they	o	PRO;ACC;PL;3	DET
them	deles	they	del	PRO;ACC;PL;3	PROPN
april	abril	april	abril	PROPN;SG	N
april	de	april	de	PROPN;SG	ADP
december	decembro	december	decembro	PROPN;SG	N
december	de	december	de	PROPN;SG	ADP
while	mentres	while	mentres	CONJ	ADV
while	tempo	while	tempo	CONJ	N
later	tarde	later	tarde	ADV	N
november	novembro	november	novembro	PROPN;SG	N
