estructural	מבנית	estructural	מבנית	ADJ;SG	ADV
culpa	להאשים	culpa	האשים	N;FEM;SG	V;NFIN;ACT
causar	גורם	causar	גורם	V;NFIN	N;MASC;SG
causar	גרימת	causar	גרימה	V;NFIN	N;FEM;SG
singapur	בסינגפור	singapur	בסינגפור	N;MASC;SG	PROPN
singapur	סינגפור	singapur	סינגפור	N;MASC;SG	PROPN
secreta	סודית	secreto	סודית	ADJ;FEM;SG	ADV
secreta	סוד	secreto	סוד	ADJ;FEM;SG	
secreta	סודיות	secreto	סודיות	ADJ;FEM;SG	N;FEM;SG
secreta	סודי	secreto	סודי	ADJ;FEM;SG	N;MASC;SG
comerciantes	סוחרי	comerciante	סוחר	N;PL	PROPN
bank	הבנק	bank	הבנק	N	
hamburgo	המבורג	hamburgo	להמבורג	N;MASC;SG	PROPN
ordenado	הזמין	ordenado	הזמין	ADJ;MASC;SG;V.PTCP	V;MASC;SG;3;PST;ACT
pereira	פריירה	pereira	פריירה	N;MASC;SG	PROPN
asociada	שותפה	asociado	שותף	ADJ;FEM;SG;V.PTCP	N;FEM;SG
asociada	עמית	asociado	עמית	ADJ;FEM;SG;V.PTCP	PROPN
asociada	שותף	asociado	שותף	ADJ;FEM;SG;V.PTCP	N;MASC;SG
fiat	פיאט	fiat	פיאט	N;MASC;SG	PROPN
estimada	מוערך	estimar	הוערך	ADJ;FEM;SG;V.PTCP	V;MASC;SG;V.PTCP;PASS
estimada	משוער	estimar	משוער	ADJ;FEM;SG;V.PTCP	PROPN
interfaz	ממשק	interfaz	ממשק	N;FEM;SG	
correa	הרצועה	correa	הרצועה	N;FEM;SG	
correa	הרצועה	correa	הרצועה	N;FEM;SG	
arquidiócesis	הארכיבישוף	arquidiócesis	הארכיבישוף	N;FEM	PROPN
episcopal	האפיסקופלית	episcopal	האפיסקופלית	ADJ;SG	PROPN
secretaria	המזכירה	secretaria	המזכירה	N;FEM;SG	V;FEM;SG;3;PST;ACT
secretaria	המזכיר	secretaria	המזכיר	N;FEM;SG	PROPN
secretaria	מזכירה	secretaria	הזכיר	N;FEM;SG	V;FEM;SG;V.PTCP;ACT
magallanes	מגלן	magallan	מגלן	N;MASC;PL	PROPN
auxiliar	עוזרת	auxiliar	עוזר	V;NFIN	ADJ;FEM;SG
auxiliar	עוזר	auxiliar	עוזר	V;NFIN	N;MASC;SG
corteza	לנבוח	corteza	נבח	N;FEM;SG	V;NFIN;ACT
corteza	קרום	corteza	קרום	N;FEM;SG	PROPN
verso	פסוק	verso	פסוק	N;MASC;SG	PROPN
anónimo	אנונימי	anónimo	אנונימי	ADJ;MASC;SG	ADV
anónimo	אנונימיות	anónimo	אנונימיות	ADJ;MASC;SG	N;FEM;PL
anónimo	אלמוני	anónimo	אלמוני	ADJ;MASC;SG	PROPN
anónimo	אנונימית	anónimo	אנונימי	ADJ;MASC;SG	ADV
auge	בום	auge	בום	N;MASC;SG	PROPN
sensación	מרגישה	sensación	הרגיש	N;FEM;SG	V;FEM;SG;V.PTCP;ACT
sensación	מרגיש	sensación	הרגיש	N;FEM;SG	V;MASC;SG;V.PTCP;ACT
suave	חלקות	suave	חלקת	ADJ;SG	N;FEM;PL
suave	חלקה	suave	חלקה	ADJ;SG	N;FEM;SG
suave	חלק	suave	חלק	ADJ;SG	N;MASC;SG
suave	רכים	suave	רך	ADJ;SG	ADJ;MASC;PL
suave	רכות	suave	רכות	ADJ;SG	ADJ;FEM;PL
suave	הרך	suave	הרך	ADJ;SG	
suave	רכה	suave	רך	ADJ;SG	ADV
suave	עדינות	suave	עדינות	ADJ;SG	N;FEM;SG
suave	עדינה	suave	עדינה	ADJ;SG	ADV
constantes	הקבוע	constante	הקבוע	ADJ;PL	PROPN
constantes	קבועה	constante	קבוע	ADJ;PL	ADJ;FEM;SG
constantes	קבוע	constante	קבוע	ADJ;PL	ADJ;MASC;SG
cbs	cbs	cbs	cbs	N;FEM;SG	PROPN
suizo	שוויצרי	suizo	שוויצרי	N;MASC;SG	PROPN
sencilla	פשוטות	sencillo	פשוט	ADJ;FEM;SG	ADJ;FEM;PL
sencilla	פשוט	sencillo	פשוט	ADJ;FEM;SG	
sencilla	פשוטים	sencillo	פשוט	ADJ;FEM;SG	ADJ;MASC;PL
sencilla	בקלות	sencillo	בקלה	ADJ;FEM;SG	
sencilla	קלות	sencillo	קל	ADJ;FEM;SG	
sencilla	לאט	sencillo	לאט	ADJ;FEM;SG	ADV
censura	לצנזר	censura	לצנזר	N;FEM;SG	V;NFIN;ACT
rebelde	מורד	rebelde	מורד	ADJ;SG	
rebelde	המורדים	rebelde	המורד	ADJ;SG	N
rebelde	המורד	rebelde	המורד	ADJ;SG	
rebelde	מרדנית	rebelde	מרדנית	ADJ;SG	ADV
roll	רול	roll	רול	N;MASC;SG	PROPN
roll	גלגול	roll	גלגול	N;MASC;SG	PROPN
paco	פאקו	paco	פאקו	PROPN	PROPN
matías	מתיאס	matía	מתיאס	PROPN	PROPN
matías	מתיאס	matía	מתיאס	PROPN	PROPN
nancy	ננסי	nancy	ניסה	N;FEM;SG	PROPN
marítima	ימית	marítimo	ימית	ADJ;FEM;SG	PROPN
crimea	קרים	crimea	קרים	ADJ;SG	PROPN
crimea	קרים	crimea	קרים	ADJ;SG	PROPN
liberado	שוחרר	liberado	שוחרר	ADJ;MASC;SG;V.PTCP	V;MASC;SG;3;PST;PASS
liberado	שוחררו	liberado	שוחרר	ADJ;MASC;SG;V.PTCP	V;PL;3;PST;PASS
liberado	משוחרר	liberado	משוחרר	ADJ;MASC;SG;V.PTCP	V;MASC;SG;V.PTCP;PASS
liberado	שוחררה	liberado	שוחרר	ADJ;MASC;SG;V.PTCP	V;FEM;SG;3;PST;PASS
liberado	פרייד	liberado	פרייד	ADJ;MASC;SG;V.PTCP	PROPN
liberado	פריד	liberado	פריד	ADJ;MASC;SG;V.PTCP	PROPN
liberado	משוחרר	liberado	משוחרר	ADJ;MASC;SG;V.PTCP	V;MASC;SG;V.PTCP;PASS
encuesta	סקר	encuesta	סקר	N;FEM;SG	
encuesta	סקר	encuesta	סקר	N;FEM;SG	
afecta	משפיעה	afectar	השפיע	V;IND;SG;3;PRS;FIN	V;FEM;SG;V.PTCP;ACT
afecta	משפיע	afectar	השפיע	V;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;ACT
pokémon	פוקימון	pokémon	פוקימון	N;MASC	PROPN
libertador	המשחרר	libertador	המשחרר	N;MASC;SG	PROPN
libertador	גואל	libertador	גואל	N;MASC;SG	PROPN
efectivamente	ביעילות	efectivamente	ביעילות	ADV	
seca	יבשים	seco	יבש	ADJ;FEM;SG	N;MASC;PL
seca	יבש	seco	יבש	ADJ;FEM;SG	
seca	יבשה	seco	יבשה	ADJ;FEM;SG	N;FEM;SG
seca	התייבש	seco	התייבש	ADJ;FEM;SG	V;SG;3;PST
seca	מיובש	seco	מיובש	ADJ;FEM;SG	V;MASC;SG;V.PTCP;PASS
seca	מיובשת	seco	יובש	ADJ;FEM;SG	V;FEM;SG;V.PTCP;PASS
medir	מדידת	medir	מדידה	V;NFIN	N;PSSD;FEM;SG
