armónica	وزن	armónico	وزن	ADJ;FEM;SG	N;NOM;MASC;SG;3
gordo	موٹو	gordo	موٹو	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
gordo	تیلیا	gordo	تیلیا	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
gordo	قلیل	gordo	قلیل	ADJ;MASC;SG	
gordo	چرب.	gordo	چرب.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
gordo	چربیلا.	gordo	چربیلا.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
gordo	چکنا	gordo	چکنا	ADJ;MASC;SG	V;PFV;MASC;SG;V.PTCP;ACT
gordo	فراواں	gordo	فراواں	ADJ;MASC;SG	
gordo	تیلیا	gordo	تیلیا	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
gordo	قلیل	gordo	قلیل	ADJ;MASC;SG	
gordo	چرب.	gordo	چرب.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
gordo	فربہ	gordo	فربہ	ADJ;MASC;SG	
gordo	چربیلا.	gordo	چربیلا.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
gordo	چکنا	gordo	چکنا	ADJ;MASC;SG	V;PFV;MASC;SG;V.PTCP;ACT
gordo	فراواں	gordo	فراواں	ADJ;MASC;SG	
gordo	چربی	gordo	چربی	ADJ;MASC;SG	N;NOM;FEM;SG;3
lily	شلجمی.	lily	شلجمی.	N;FEM;SG	PROPN;NOM;MASC;SG;3
respetar	بابت	respetar	بابت	V;NFIN	N;NOM;MASC;SG;3
respetar	نسبت.	respetar	نسبت.	V;NFIN	PROPN;NOM;MASC;SG;3
respetar	تعلق	respetar	تعلق	V;NFIN	N;NOM;MASC;SG;3
respetar	for	respetar	for	V;NFIN	
respetar	قدر.	respetar	قدر.	V;NFIN	
respetar	نسبت.	respetar	نسبت.	V;NFIN	PROPN;NOM;MASC;SG;3
respetar	تعلق	respetar	تعلق	V;NFIN	N;NOM;MASC;SG;3
respetar	for	respetar	for	V;NFIN	
respetar	قدر.	respetar	قدر.	V;NFIN	
respetar	تکریم	respetar	تکریم	V;NFIN	N;NOM;MASC;SG;3
apocalipsis	الہام	apocalipsis	الہام	N;MASC	PROPN;NOM;MASC;SG;3
apocalipsis	القا	apocalipsis	القا	N;MASC	PROPN;NOM;MASC;SG;3
aristocracia	امرا.	aristocracia	امرا.	N;FEM;SG	PROPN;NOM;MASC;SG;3
domésticos	پالتو	doméstico	پالتو	ADJ;MASC;PL	N;NOM;MASC;SG;3
orquídea	سحلب	orquídea	سحلب	N;FEM;SG	
