oli	была	olema	быть	V;IND;SG;3;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
eesti	эстонии	eesti	эстония	ADJ	N;INAN;NOM;FEM;SG
eesti	эстонии	eesti	эстония	ADJ	N;INAN;NOM;FEM;SG
eesti	эстония	eesti	эстония	ADJ	N;INAN;NOM;FEM;SG
eesti	eesti	eesti	eesti	ADJ	PROPN
mis	какие	mis	какой	PRO;NOM;SG	DET;NOM;PL
mis	какая	mis	какой	PRO;NOM;SG	DET;NOM;FEM;SG
mis	какой	mis	какой	PRO;NOM;SG	DET;NOM;MASC;SG
kui	when	kui	when	CONJ	PROPN
või	масло	või	масло	CONJ	N;INAN;NOM;NEUT;SG
see	this	see	this	PRO;NOM;SG	PROPN
see	эта	see	этот	PRO;NOM;SG	DET;NOM;FEM;SG
see	этот	see	этот	PRO;NOM;SG	DET;NOM;MASC;SG
see	that	see	that	PRO;NOM;SG	PROPN
oma	oma	oma	oma	PRO;NOM;SG	PROPN
oma	собственная	oma	собственный	PRO;NOM;SG	ADJ;NOM;FEM;SG
oma	собственных	oma	собственный	PRO;NOM;SG	ADJ;GEN;PL
oma	собственные	oma	собственный	PRO;NOM;SG	ADJ;NOM;PL
oma	собственный	oma	собственный	PRO;NOM;SG	ADJ;NOM;MASC;SG
oma	собственное	oma	собственный	PRO;NOM;SG	ADJ;NOM;NEUT;SG
tema	его	tema	он	PRO;NOM;SG;3	PRO;ACC;MASC;SG;3
tema	ее	tema	она	PRO;NOM;SG;3	PRO;ACC;FEM;SG;3
tema	ей	tema	она	PRO;NOM;SG;3	PRO;DAT;FEM;SG;3
tema	её	tema	она	PRO;NOM;SG;3	PRO;ACC;FEM;SG;3
selle	this	see	this	PRO;GEN;SG	PROPN
selle	это	see	это	PRO;GEN;SG	PRO;INAN;NOM;NEUT;SG
selle	эта	see	этот	PRO;GEN;SG	DET;NOM;FEM;SG
selle	этот	see	этот	PRO;GEN;SG	DET;NOM;MASC;SG
sai	саи	saama	саи	V;IND;SG;3;PST;FIN;ACT	
sai	сай	saama	сай	V;IND;SG;3;PST;FIN;ACT	
sai	есть	saama	быть	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
kes	who	kes	who	PRO;NOM;SG	PROPN
kes	воз	kes	воз	PRO;NOM;SG	N;INAN;NOM;MASC;SG
tartu	тарту	tartu	тарта	ADJ	N;INAN;NOM;MASC;SG
seda	this	see	this	PRO;PRT;SG	PROPN
seda	это	see	это	PRO;PRT;SG	PRO;INAN;NOM;NEUT;SG
seda	эта	see	этот	PRO;PRT;SG	DET;NOM;FEM;SG
seda	этот	see	этот	PRO;PRT;SG	DET;NOM;MASC;SG
seda	это	see	это	PRO;PRT;SG	PRO;INAN;NOM;NEUT;SG
seda	that	see	that	PRO;PRT;SG	PROPN
pärast	после	pärast	после	ADV	ADP
pärast	after	pärast	after	ADV	PROPN
kuni	до	kuni	до	CONJ	ADP
välja	аут	välja	аута	ADV	N;INAN;NOM;MASC;SG
välja	out	välja	out	ADV	PROPN
ehk	возможно	ehk	возможный	ADV	ADJ;NEUT;SG
ehk	может	ehk	мочь	ADV	V;IPFV;IND;SG;3;PRS;FIN;ACT
ehk	возможно	ehk	возможный	ADV	ADJ;NEUT;SG
usa	usa	usa	usa	N	PROPN
