月	moon	月	moon	N	PROPN;ANIM;NOM;MASC;SG
日	deň	日	deň	PROPN	N;INAN;NOM;MASC;SG
日	dňa	日	deň	PROPN	N;INAN;GEN;MASC;SG
日	den	日	den	PROPN	PROPN;ANIM;NOM;MASC;SG
日	day	日	deň	PROPN	INTJ
人	clovek	人	clovek	N	INTJ
人	muz	人	muz	N	PROPN;ANIM;NOM;MASC;SG
人	man	人	man	N	PROPN;ANIM;NOM;MASC;SG
人	ludi	人	ludia	N	INTJ
人	people	人	peopeľ	N	PROPN;ANIM;VOC;MASC;SG
小	asteroidy	小	asteroida	PART	N;NOM;FEM;PL
小	asteroid	小	asteroid	PART	N;ANIM;NOM;MASC;SG
大	velke	大	velka	PART	N;NOM;FEM;SG
大	velka	大	velka	PART	N;NOM;FEM;SG
大	veľký	大	veľký	PART	ADJ;ANIM;NOM;MASC;SG
大	big	大	big	PART	
大	veľké	大	veľký	PART	ADJ;NOM;NEUT;SG
大	veľká	大	veľký	PART	ADJ;NOM;FEM;SG
重	ťažká	重	ťažký	N	ADJ;NOM;FEM;SG
重	ťažký	重	ťažký	N	ADJ;ANIM;NOM;MASC;SG
重	ťažké	重	ťažký	N	ADJ;NOM;NEUT;SG
重	ťažšie	重	ťažký	N	ADV;CMPR
重	ťažšia	重	ťažší	N	ADJ;NOM;CMPR;FEM;SG
重	ťažší	重	ťažký	N	ADJ;ANIM;NOM;CMPR;MASC;SG
一	one	一	ona	NUM	
定	orientácia	定	orientácia	V	N;NOM;FEM;SG
定	orientácie	定	orientácia	V	N;NOM;FEM;PL
定	smerové	定	smerový	V	ADJ;NOM;NEUT;SG
但	ale	但	ale	ADV	CONJ
也	aj	也	aj	ADV	PART
也	tiež	也	tiež	ADV	PART
拉	vytiahnuť	拉	vytiahnuť		V;PFV;POS;NFIN
拉	potiahnuť	拉	potiahnuť		V;PFV;POS;NFIN
後	po	後	po	ADV	ADP;ESS
市	mestské	市	mestský	N	ADJ;NOM;NEUT;SG
克	gramov	克	gram	PROPN	N;INAN;GEN;MASC;PL
新	nová	新	nový	PART	ADJ;NOM;FEM;SG
新	nove	新	nový	PART	N;NOM;FEM;PL
新	nový	新	nový	PART	ADJ;ANIM;NOM;MASC;SG
新	nové	新	nový	PART	ADJ;NOM;NEUT;SG
新	novinka	新	novinka	PART	N;NOM;FEM;SG
站	stáť	站	stáť	N	V;IPFV;POS;NFIN
州	štátne	州	štátny	N	ADJ;NOM;NEUT;SG
州	štátna	州	štátny	N	ADJ;NOM;FEM;SG
研究	štúdia	研究	štúdium	V	N;NOM;NEUT;PL
研究	štúdium	研究	štúdium	V	N;NOM;NEUT;SG
