von	から	von	から	ADP	CONJ
das	この	der	この	PRO;NOM;NEUT;SG	DET
das	ダス	der	ダス	PRO;NOM;NEUT;SG	PROPN
das	das	der	das	PRO;NOM;NEUT;SG	PROPN
des	des	der	des	DET;GEN;DEF;NEUT;SG	PROPN
mit	mit	mit	mit	ADP	PROPN
für	for	für	for	ADP	PROPN
ein	一	ein	一	ADV	NUM
ein	one	ein	one	ADV	PROPN
ein	一人	ein	一人	ADV	PROPN
ein	ワン	ein	ワン	ADV	N
ein	アイン	ein	アイン	ADV	PROPN
ein	ein	ein	ein	ADV	PROPN
eine	一	ein	一	DET;NOM;INDF;FEM;SG	NUM
eine	one	ein	one	DET;NOM;INDF;FEM;SG	PROPN
eine	一人	ein	一人	DET;NOM;INDF;FEM;SG	PROPN
eine	ワン	ein	ワン	DET;NOM;INDF;FEM;SG	N
wurde	was	werden	was	V;IND;SG;3;PST;FIN;PASS	PROPN
auch	偶数	auch	偶数	ADV	N
auch	even	auch	even	ADV	PROPN
auch	also	auch	also	ADV	PROPN
auch	また	auch	また	ADV	CONJ
auch	too	auch	too	ADV	PROPN
nicht	not	nicht	not	PART;NEG	PROPN
nach	アフター	nach	アフター	ADP	PROPN
war	was	sein	was	V;IND;SG;3;PST;FIN	PROPN
aus	aus	aus	aus	ADP	PROPN
aus	から	aus	から	ADP	CONJ
aus	アウト	aus	アウト	ADP	N
bis	ビス	bis	ビス	ADP	PROPN
bis	until	bis	until	ADP	PROPN
ich	ich	ich	ich	PRO;NOM;SG;1	PROPN
einer	一	ein	一	PRO;NOM;INDF;MASC;SG	NUM
einer	one	ein	one	PRO;NOM;INDF;MASC;SG	PROPN
einer	一人	ein	一人	PRO;NOM;INDF;MASC;SG	PROPN
einer	ワン	ein	ワン	PRO;NOM;INDF;MASC;SG	N
werden	ウィル	werden	ウィル	V;NFIN;PASS	PROPN
werden	遺言	werden	遺言	V;NFIN;PASS	N
sind	are	sein	are	V;IND;PL;3;PRS;FIN	PROPN
wird	ウィル	werden	ウィル	V;IND;SG;3;PRS;FIN;PASS	PROPN
wird	遺言	werden	遺言	V;IND;SG;3;PRS;FIN;PASS	N
durch	スルー	durch	スルー	ADP	PROPN
durch	through	durch	through	ADP	PROPN
durch	スルー	durch	スルー	ADP	PROPN
score	スコア	scoren	スコア	PROPN	N
score	得点	scoren	得点	PROPN	N
einen	一	ein	一	PRO;ACC;INDF;MASC;SG	NUM
einen	one	ein	one	PRO;ACC;INDF;MASC;SG	PROPN
einen	一人	ein	一人	PRO;ACC;INDF;MASC;SG	PROPN
einen	ワン	ein	ワン	PRO;ACC;INDF;MASC;SG	N
über	via	über	via	ADP	PROPN
über	オーバー	über	オーバー	ADP	
über	over	über	over	ADP	PROPN
über	上	über	上	ADP	N
über	上記	über	上記	ADP	N
wie	how	wie	how	ADP	PROPN
nur	のみ	nur	のみ	ADV	ADP
nur	ヌール	nur	ヌール	ADV	PROPN
nur	ジャスト	nur	ジャスト	ADV	PROPN
nur	ただ	nur	ただ	ADV	CONJ
