את	te	את	te	PART;ACC	V;DEF;IND;SG;1;PRS;FIN;ACT
על	kb	על	kb	ADP	N;NOM;SG
על	nagyjából	על	nagy	ADP	N;IN+ABL;SG
על	körülbelül	על	körülbelül	ADP	ADV
קטגוריה	kategória	קטגוריה	kategória	N;FEM;SG	
עם	with	עם	with	ADP	
גם	szintén	גם	szintén	ADV	
גם	úgyszintén	גם	úgyszintén	ADV	
גם	is	גם	is	ADV	CONJ
גם	túl	גם	túl	ADV	
שיחה	hívd	שיחה	hívd	N;FEM;SG	V;DEF;IMP;SG;1;PRS;FIN;ACT
לאחר	after	לאחר	after	ADP	
לאחר	miután	לאחר	miután	ADP	CONJ
לאחר	utána	לאחר	utána	ADP	
בין	bab	בין	bab	ADP	
כל	mindegyik	כול	mindegyik	DET;PSSD	
כל	mind	כול	mind	DET;PSSD	CONJ
כל	minden	כול	minden	DET;PSSD	PRO;NOM;SG;3
כל	bármelyik	כול	bármelyik	DET;PSSD	
כל	bármely	כול	bármely	DET;PSSD	
כל	bármilyen	כול	bármilyen	DET;PSSD	
יותר	több	יותר	több	ADV	DET;INDF
יותר	more	יותר	more	ADV	
יותר	további	יותר	további	ADV	N;NOM;SG
יותר	tobb	יותר	tobb	ADV	
ישראל	izraeli	ישראל	izraeli	PROPN	
ישראל	izrael	ישראל	izrael	PROPN	
יש	hurrá	יש	hurra	V	
שם	neve	שם	név	ADV	N;NOM;SG
שם	név	שם	név	ADV	N;NOM;SG
בית	otthon	בית	otthon	N;MASC;SG	
בית	itthon	בית	itthon	N;MASC;SG	
בית	haza	בית	haza	N;MASC;SG	
בית	house	בית	hous	N;MASC;SG	
בית	házon	בית	ház	N;MASC;SG	ADJ;FRML;SG
אשר	asher	אשר	asher	CONJ	
אשר	escher	אשר	escher	CONJ	N;NOM;SG
אשר	usher	אשר	usher	CONJ	
אשר	ami	אשר	ami	CONJ	PRO;NOM;SG;3
אשר	melyik	אשר	melyik	CONJ	
אשר	mely	אשר	mely	CONJ	
אשר	amely	אשר	amely	CONJ	PRO;NOM;SG;3
אשר	megerősítés	אשר	megerősítés	CONJ	N;NOM;SG
אשר	megerősítése	אשר	megerősítés	CONJ	N;NOM;SG
אשר	megerősíteni	אשר	meg+erősít	CONJ	V;NFIN;ACT
אשר	megerősítve	אשר	megerősítve	CONJ	ADV;V.CVB
כמו	mint	כמו	mint	ADP	CONJ
כמו	like	כמו	lik	ADP	
כמו	tetszik	כמו	tetszik	ADP	V;INDF;IND;SG;3;PRS;FIN;ACT
אחד	egy	אחד	egy	NUM;MASC;SG	DET;INDF
שמאל	bal	שמאל	bal	N;MASC;SG	
שמאל	balra	שמאל	balra	N;MASC;SG	
חיצוניים	külső	חיצוני	külső	ADJ;MASC;PL	
הברית	szövetség	הברית	szövetség	PROPN	N;NOM;SG
בו	őt	ב	ő	ADP	PRO;ACC;SG;3
בו	neki	ב	ő	ADP	
בו	boo	ב	boo	ADP	
רק	kizárólag	רק	kizárólag	ADV	
כאשר	mikor	כאשר	mikor	CONJ	ADV
כאשר	amikor	כאשר	amikor	CONJ	ADV
אותו	neki	None	ő	PRO;ACC;MASC;SG;3	
בן	ben	בן	ben	PROPN	
בן	fiam	בן	fia	PROPN	N;NOM;SG
בן	fiuk	בן	fiuk	PROPN	N;NOM;SG
שני	másodszor	שני	másod	NUM;MASC;PL	
שני	másodperc	שני	másodperc	NUM;MASC;PL	
שני	második	שני	második	NUM;MASC;PL	
שני	kettő	שני	kettő	NUM;MASC;PL	
שני	hétfőn	שני	hétfő	NUM;MASC;PL	N;ON+ESS;SG
שני	hétfő	שני	hétfő	NUM;MASC;PL	
העולם	vilag	העולם	vilag		N;NOM;SG
העיר	városban	העיר	város	V;MASC;SG;3;PST;ACT	N;IN+ESS;SG
העיר	town	העיר	town	V;MASC;SG;3;PST;ACT	
