експлуатація	utnyttjande	експлуатація	utnyttja	N;INAN;NOM;FEM;SG	ADJ;NOM;PRS;V.PTCP
традиційний	traditionella	традиційний	traditionell	ADJ;NOM;MASC;SG	ADJ;NOM;PL
людвіг	ludvig	людвіг	ludvig	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM
людвіг	ludwig	людвіг	ludwig	PROPN;ANIM;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
спостерігати	klocka	спостерігати	klocka	V;IPFV;NFIN	N;NOM;INDF;MASC+FEM;SG
спостерігати	bildskärm	спостерігати	bildskärm	V;IPFV;NFIN	N;NOM;INDF;MASC+FEM;SG
спостерігати	övervakare	спостерігати	övervakare	V;IPFV;NFIN	N;NOM;INDF;MASC+FEM;PL
спостерігати	monitor	спостерігати	monitor	V;IPFV;NFIN	N;NOM;INDF;MASC+FEM;SG
принципово	fundamentalt	принципово	fundamental	ADV	ADJ;NOM;INDF;NEUT;SG
відмову	vägran	відмова	vägra	N;INAN;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
відмову	avslag	відмова	avslag	N;INAN;ACC;FEM;SG	V;IMP;FIN;ACT
пенсію	pensionera	пенсія	pensionera	N;INAN;ACC;FEM;SG	V;IMP;FIN;ACT
біо	biot	біо	biot		N;NOM;INDF;NEUT;SG
тримає	lastrum	тримати	lastrum	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;INDF;NEUT;SG
заперечення	avslag	заперечення	avslag	N;INAN;NOM;NEUT;SG	V;IMP;FIN;ACT
заперечення	förnekande	заперечення	förnekande	N;INAN;NOM;NEUT;SG	ADJ;NOM;PRS;V.PTCP
заперечення	nekar	заперечення	neka	N;INAN;NOM;NEUT;SG	V;IMP;PRS;FIN;ACT
експертів	experter	експерт	expert	N;ANIM;GEN;MASC;PL	N;NOM;INDF;MASC+FEM;PL
експертів	sakkunniga	експерт	sakkunnig	N;ANIM;GEN;MASC;PL	ADJ;NOM;PL
блоки	tegel	блок	tegel	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;SG
блоки	tegelsten	блок	tegelst	N;INAN;NOM;MASC;PL	N;NOM;INDF;MASC+FEM;SG
блоки	motiv	блок	motiv	N;INAN;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
блоки	blockerar	блок	blockera	N;INAN;NOM;MASC;PL	V;IND;PRS;FIN;ACT
блоки	block	блок	block	N;INAN;NOM;MASC;PL	N;NOM;INDF;NEUT;SG
майстерність	excellens	майстерність	excell	N;INAN;NOM;FEM;SG	N;GEN;DEF;MASC+FEM;SG
кеннеді	kennedy	кеннеда	kennedy	PROPN;ANIM;NOM;FEM;SG	PROPN;NOM
мед	med	мед.	med	N;INAN;NOM;MASC;SG	ADP
переконання	tro	переконання	tro	N;INAN;NOM;NEUT;SG	V;IMP;FIN;ACT
переконання	övertygelser	переконання	övertygelse	N;INAN;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;PL
рига	riga	рига	rig	PROPN;INAN;NOM;MASC;SG	PROPN;NOM
статтями	artiklar	стаття	artikel	N;INAN;INS;FEM;PL	N;NOM;INDF;MASC+FEM;PL
статтями	artiklarna	стаття	artikel	N;INAN;INS;FEM;PL	N;NOM;DEF;MASC+FEM;PL
хворобу	sjukdom	хвороба	sjukdom	N;INAN;ACC;FEM;SG	N;NOM;INDF;MASC+FEM;SG
середнє	genomsnitt	середній	genomsnitt	ADJ;NOM;NEUT;SG	N;NOM;INDF;NEUT;SG
середнє	medelvärde	середній	medelvärde	ADJ;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
середнє	genomsnittliga	середній	genomsnittlig	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
середнє	medelvärde	середній	medelvärde	ADJ;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
середнє	menar	середній	mena	ADJ;NOM;NEUT;SG	V;IND;PRS;FIN;ACT
середнє	mena	середній	mena	ADJ;NOM;NEUT;SG	V;IMP;FIN;ACT
середнє	mean	середній	mean	ADJ;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;SG
біт	beat	біт	bea		N;NOM;INDF;NEUT;SG
біт	slå	біт	slå		V;IMP;FIN;ACT
біт	bet	біт	bet		V;IMP;FIN;ACT
біт	bitar	біт	bit		N;NOM;INDF;MASC+FEM;PL
біт	bits	біт	bits		V;IMP;FIN;ACT
процесор	processorer	процесор	processor	N;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;PL
люк	luke	люк	luke	N;INAN;NOM;MASC;SG	PROPN;NOM
люк	lukas	люк	luka	N;INAN;NOM;MASC;SG	PROPN;NOM
люк	luc	люк	luc	N;INAN;NOM;MASC;SG	PROPN;NOM
шарант	charente	шарант	charente		N;NOM;INDF;MASC+FEM;SG
прогрес	framsteg	прогрес	framsteg	N;INAN;NOM;MASC;SG	N;NOM;INDF;NEUT;PL
складно	komplicerade	складно	komplicerad	ADV	ADJ;NOM;PL;PST;V.PTCP
складно	krångligt	складно	krånglig	ADV	ADJ;NOM;INDF;NEUT;SG
складно	komplicerad	складно	komplicerad	ADV	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
складно	komplicerat	складно	komplicerad	ADV	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP
складно	svår	складно	svår	ADV	ADJ;NOM;INDF;MASC+FEM;SG
складно	svårt	складно	svår	ADV	ADJ;NOM;INDF;NEUT;SG
буковина	bukovina	буковина	bukovin	N;INAN;NOM;FEM;SG	PROPN;NOM
монпельє	montpellier	монпельє	montpelli	PROPN;INAN;NOM;NEUT;SG	N;NOM;INDF;MASC+FEM;PL
дордонь	dordogne	дордонь	dordogne	PROPN;INAN;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
казахстані	kazakstan	казахстань	kamakstad	N;INAN;ESS;MASC;PL	PROPN;NOM
інвестицій	placeringar	інвестиція	placering	N;INAN;GEN;FEM;PL	N;NOM;INDF;MASC+FEM;PL
інвестицій	investeringar	інвестиція	investering	N;INAN;GEN;FEM;PL	N;NOM;INDF;MASC+FEM;PL
взято	tagen	взяти	tagen	V;PFV;IND;0;FIN	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP
взято	tagna	взяти	ta	V;PFV;IND;0;FIN	ADJ;NOM;PL;PST;V.PTCP
бузеу	buzău	бузе	buzău	PROPN;INAN;NOM;FEM;SG	N;NOM;INDF;MASC+FEM;SG
документа	dokumentera	документ	dokumentera	N;INAN;GEN;MASC;SG	V;IMP;FIN;ACT
документа	dokumentet	документ	dokument	N;INAN;GEN;MASC;SG	N;NOM;DEF;NEUT;SG
документа	dokument	документ	dokument	N;INAN;GEN;MASC;SG	N;NOM;INDF;NEUT;SG
документа	handling	документ	handling	N;INAN;GEN;MASC;SG	N;NOM;INDF;MASC+FEM;SG
морів	hav	моріти	hav	N;INAN;GEN;MASC;PL	N;NOM;INDF;NEUT;SG
чернігова	tjernihiv	черніговий	tjernihiv	PROPN;INAN;NOM;MASC;SG	PROPN;NOM
довкілля	miljömässiga	довкілля	miljömässig	N;INAN;NOM;NEUT;SG	ADJ;NOM;PL
довкілля	miljömässigt	довкілля	miljömässig	N;INAN;NOM;NEUT;SG	ADJ;NOM;INDF;NEUT;SG
єврейський	judinna	єврейський	judin	ADJ;NOM;MASC;SG	N;NOM;INDF;MASC+FEM;SG
єврейський	judiska	єврейський	judisk	ADJ;NOM;MASC;SG	ADJ;NOM;PL
інформатики	informationsteknik	інформатика	informationsteknik	N;INAN;NOM;FEM;PL	N;NOM;INDF;MASC+FEM;SG
