और	та	और	та		CONJ
से	від	से	від		ADP;GEN
है	гаї	है	гай	V;IND;SG;3;PRS;FIN;ACT	N;INAN;NOM;MASC;PL
है	хай	है	хай	V;IND;SG;3;PRS;FIN;ACT	PART
एक	one	एक	one	NUM	
एक	одне	एक	один	NUM	DET;NOM;NEUT;SG
श्रेणी	серії	श्रेणी	серія	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
श्रेणी	ряди	श्रेणी	ряд	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
श्रेणी	категорії	श्रेणी	категорія	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
भी	даже	भी	даже	PART	
भी	також	भी	також	PART	ADV
भी	теж	भी	теж	PART	ADV
भी	надто	भी	надто	PART	ADV
भी	занадто	भी	занадто	PART	ADV
यह	цей	यह	цей	PRO;NOM;SG;3	DET;NOM;MASC;SG
यह	ця	यह	цей	PRO;NOM;SG;3	DET;NOM;FEM;SG
किया	рахував	कर	рахувати	V;PFV;MASC;SG;V.PTCP;ACT	V;IPFV;MASC;IND;SG;PST;FIN
किया	зробили	कर	зробити	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;PL;PST;FIN
किया	вчинили	कर	вчинити	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;PL;PST;FIN
किया	робили	कर	робити	V;PFV;MASC;SG;V.PTCP;ACT	V;IPFV;IND;PL;PST;FIN
किया	закінчили	कर	закінчити	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;IND;PL;PST;FIN
किया	готово	कर	готово	V;PFV;MASC;SG;V.PTCP;ACT	ADV
किया	done	कर	done	V;PFV;MASC;SG;V.PTCP;ACT	
इस	цей	यह	цей	DET;ACC;SG;3	DET;NOM;MASC;SG
इस	ця	यह	цей	DET;ACC;SG;3	DET;NOM;FEM;SG
हैं	надаються	है	надаватися	V;IND;PL;3;PRS;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN
