hope	nádej	hope	nádej	PROPN	N;NOM;FEM;SG
charlotte	charlotte	charlotte	charlotie	PROPN	N;NOM;FEM;PL
argo	argo	argo	argo	N	PROPN;ANIM;NOM;MASC;SG
poros	šachty	poros	šachta	N;SG	N;NOM;FEM;PL
poros	hriadele	poros	hriadel	N;SG	N;INAN;NOM;MASC;PL
poros	šachty	poros	šachta	N;SG	N;NOM;FEM;PL
ekologi	ekologického	ekologi	ekologický	N;SG	ADJ;GEN;NEUT;SG
ekologi	ekologické	ekologi	ekologický	N;SG	ADJ;NOM;NEUT;SG
ekologi	ekologický	ekologi	ekologický	N;SG	ADJ;INAN;NOM;MASC;SG
ekologi	ekologická	ekologi	ekologický	N;SG	ADJ;NOM;FEM;SG
raj	raj	raj	raj	PROPN	N;INAN;NOM;MASC;SG
aisne	aisne	aisne	aisne	PROPN	PROPN;NOM;FEM;SG
berkeley	berkeley	berkeley	berkeley	PROPN	N;NOM;FEM;PL
diukur	meraný	diukur	meraný	V;SG;PASS	ADJ;ANIM;NOM;MASC;SG
diukur	meraná	diukur	meraný	V;SG;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
diukur	merané	diukur	meraný	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
atlantic	atlantiku	atlantic	atlantika	PROPN	N;INAN;GEN;MASC;SG
atlantic	atlantic	atlantic	atlantica	PROPN	N;INAN;NOM;MASC;SG
atlantic	atlantický	atlantic	atlantický	PROPN	ADJ;ANIM;NOM;MASC;SG
atlantic	atlantik	atlantic	atlantik	PROPN	N;INAN;NOM;MASC;SG
melampaui	prekročené	menlampaui	prekročený	V;SG;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
melampaui	prekročenie	menlampaui	prekročenie	V;SG;ACT	N;NOM;NEUT;SG
melampaui	prekročená	menlampaui	prekročený	V;SG;ACT	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
rudolf	rudolf	rudolf	rudolf	PROPN	N;ANIM;NOM;MASC;SG
skema	schémy	skema	schý	N;SG	N;NOM;FEM;PL
skema	schémy	skema	schý	N;SG	N;NOM;FEM;PL
skema	schém	skema	schém	N;SG	N;GEN;FEM;PL
uzbekistan	uzbecké	uzbekistan	uzbecký	N	ADJ;NOM;NEUT;SG
mendefinisikan	definovanie	mendefinisikan	definovanie	V;SG;ACT	N;NOM;NEUT;SG
mendefinisikan	vymedzenie	mendefinisikan	vymedzenie	V;SG;ACT	N;NOM;NEUT;SG
mendefinisikan	definovanie	mendefinisikan	definovanie	V;SG;ACT	N;NOM;NEUT;SG
sumbu	wick	sumbu	wick	N;SG	PROPN;ANIM;NOM;MASC;SG
sumbu	osí	sumbu	osí	N;SG	N;NOM;FEM;PL
sumbu	os	sumbu	os	N;SG	
baden	baden	baden	baden	PROPN	PROPN;INAN;NOM;MASC;SG
dicampur	zmiešaný	dicampur	zmiešaný	V;SG;PASS	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
lidah	jazyky	lidah	jazyk	N;SG	N;INAN;NOM;MASC;PL
firaun	jedľa	firaun	jedľa	PROPN;SG	N;NOM;FEM;SG
firaun	faraónov	firaun	faraón	PROPN;SG	N;ANIM;GEN;MASC;PL
firaun	faraón	firaun	faraón	PROPN;SG	N;ANIM;NOM;MASC;SG
sup	polievky	sup	polievka	N;SG	N;NOM;FEM;PL
zhu	zhu	zhu	zho	PROPN	PROPN;ANIM;NOM;MASC;SG
berenang	plávať	berrenang	plávať	PROPN;SG;ACT	V;IPFV;POS;NFIN
berenang	plávanie	berrenang	plávanie	PROPN;SG;ACT	N;NOM;NEUT;SG
berenang	kúpanie	berrenang	kúpanie	PROPN;SG;ACT	N;NOM;NEUT;SG
berenang	plávanie	berrenang	plávanie	PROPN;SG;ACT	N;NOM;NEUT;SG
berenang	plávajúce	berrenang	plávajúci	PROPN;SG;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
brand	značku	brand	značka	PROPN	N;ACC;FEM;SG
brand	značka	brand	značka	PROPN	N;NOM;FEM;SG
brand	značky	brand	značka	PROPN	N;NOM;FEM;PL
demam	horúčky	demam	horúčka	N;SG	N;NOM;FEM;PL
wood	wood	wood	wood	PROPN	PROPN;ANIM;NOM;MASC;SG
wood	drevo	wood	drevo	PROPN	N;NOM;NEUT;SG
hub	huba	hub	huba	PROPN	N;NOM;FEM;SG
hub	náboj	hub	náboj	PROPN	N;INAN;NOM;MASC;SG
hub	hub	hub	hub	PROPN	
ria	ria	ria	ria	PROPN;SG	
revolution	revolúcie	revolution	revolúcia	PROPN	N;NOM;FEM;PL
revolution	revolúciu	revolution	revolúcia	PROPN	N;ACC;FEM;SG
revolution	revolúcia	revolution	revolúcia	PROPN	N;NOM;FEM;SG
federation	federácia	federation	federácia	PROPN	N;NOM;FEM;SG
federation	federácie	federation	federácia	PROPN	N;NOM;FEM;PL
eddie	eddie	eddie	eddia	PROPN	PROPN;ANIM;NOM;MASC;SG
eddie	eddieho	eddie	eddieho	PROPN	N;ANIM;ACC;MASC;SG
hangul	hangul	hangul	hangul	PROPN	N;INAN;NOM;MASC;SG
dicabut	zrušená	dicabut	zrušený	V;SG;PASS	ADJ;NOM;FEM;SG
dicabut	zrušené	dicabut	zrušený	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
