من	که	مِن	که	ADP	CONJ
عام	عمومی	عَام	عمومی	N;NOM;INDF;SG	ADJ
عام	علنی	عَام	None	N;NOM;INDF;SG	ADJ
عام	عمومی	عَام	عمومی	N;NOM;INDF;SG	ADJ
بن	b	بِن	b	PROPN	N;SG
بن	لاوک	بِن	لاوک	PROPN	
بن	بن	بِن	بن	PROPN	
بن	بِن	بِن	بِن	PROPN	
هي	اون	هُوَ	None	PRO;NOM;FEM;SG;3	
اختياري	اختیاری	اِختِيَارِيّ	اختیار	ADJ;NOM;INDF;MASC;SG	N;SG
هذه	اینها	هٰذَا	این	DET;NOM;FEM;SG	PRO;PL
هذه	اینا	هٰذَا	اینا	DET;NOM;FEM;SG	
ما	چی	مَا	چه	DET	ADV
ما	چه	مَا	چه	DET	CONJ
الذي	کدام	اَلَّذِي	کدام	DET;NOM;MASC;SG	N;SG
هذا	که	هٰذَا	که	DET;NOM;MASC;SG	CONJ
بين	بن	بَينَ	بن	ADP;ACC	
بين	بِن	بَينَ	بِن	ADP;ACC	
حيث	کجا	حَيثُ	کجا	CONJ	ADV
حيث	کجای	حَيثُ	کجا	CONJ	CONJ
نوع	مهربان	نَوع	مهربان	N;NOM;INDF;SG	ADJ
المتحدة	یونایتد	مُتَّحِد	یونایت#یونا	ADJ;NOM;DEF;FEM;SG	N;SG
المتحدة	متحد	مُتَّحِد	None	ADJ;NOM;DEF;FEM;SG	N;SG
ذلك	که	ذلك	که		CONJ
عبد	عبدل	عبد	عبدل		N;SG
عبد	slave	عبد	slave		N;SG
عبد	بنده	عبد	بنده		N;SG
عبد	برده	عبد	برد#بر		V;SG;3;V.PTCP
محمد	محمد	محمد	محمد		N;SG
محمد	محمد	محمد	محمد		N;SG
محمد	محمد	محمد	محمد		N;SG
كل	همه	كُلّ	همه	N;NOM;INDF;SG	PRO
كل	بخورید	كُلّ	None	N;NOM;INDF;SG	V;SBJV;PL;2;PRS
كل	بخورم	كُلّ	None	N;NOM;INDF;SG	V;SBJV;SG;1;PRS
الله	الهی	اَللّٰه	الهی	N;NOM;DEF;SG	N;VOC
الله	الله	اَللّٰه	الله	N;NOM;DEF;SG	
الله	الله	اَللّٰه	الله	N;NOM;DEF;SG	
حتى	حتى	حَتَّى	حتى	ADV	
حتى	وحتی	حَتَّى	وحتی	ADV	CONJ
حتى	تا	حَتَّى	تا	ADV	ADP
قد	می	قَد	می	PART	
قد	مه	قَد	مه	PART	N;SG
قد	تا	قَد	تا	PART	ADP
ثم	پس	ثُمَّ	پس	CONJ	ADV
مثل	شبیه	مِثلَ	شبیه	ADP;NOM	ADJ
مثل	لایک	مِثلَ	لایک	ADP;NOM	N;SG
مثل	مثل	مِثلَ	مثل	ADP;NOM	ADV
مثل	like	مِثلَ	like	ADP;NOM	
مثل	مانند	مِثلَ	مانند	ADP;NOM	ADV
خارجية	خارجی	خَارِجِيَّة	خارجی	N;NOM;INDF;SG	ADJ
خارجية	خارجی	خَارِجِيَّة	خارجی	N;NOM;INDF;SG	ADJ
علم	پرچم	عَلِم	پرچم	V;PFV;MASC;SG;3;ACT	N;SG
علم	کپی	عَلِم	None	V;PFV;MASC;SG;3;ACT	N;SG
علم	رونوشت	عَلِم	رونوشت	V;PFV;MASC;SG;3;ACT	N;SG
له	او	هُوَ	او		PRO;SG;3
بعض	بعضیها	بَعض	بعضی	N;NOM;INDF;SG	N;PL
بعض	برخی	بَعض	برخی	N;NOM;INDF;SG	PRO
فرق	تفاوت	فِرقَة	تفاوت	N;NOM;INDF;PL	N;SG
فرق	فرق	فِرقَة	فرق	N;NOM;INDF;PL	N;SG
قدم	پای	قَدَّم	پا	V;PFV;MASC;SG;3;ACT	N;SG
قدم	فوت	قَدَّم	فوت	V;PFV;MASC;SG;3;ACT	N;SG
قدم	پیاده	قَدَّم	پیاده	V;PFV;MASC;SG;3;ACT	N;SG
قدم	پا	قَدَّم	پا	V;PFV;MASC;SG;3;ACT	N;SG
قدم	پاهای	قَدَّم	پا	V;PFV;MASC;SG;3;ACT	N;PL
قدم	پایی	قَدَّم	پا	V;PFV;MASC;SG;3;ACT	N;SG
العربية	عرب	عَرَبِيّ	عرب	ADJ;NOM;DEF;FEM;SG	N;SG
العربية	عربها	عَرَبِيّ	عرب	ADJ;NOM;DEF;FEM;SG	N;PL
العربية	عربی	عَرَبِيّ	عربی	ADJ;NOM;DEF;FEM;SG	N;SG
العربية	تازی	عَرَبِيّ	تازی	ADJ;NOM;DEF;FEM;SG	N;SG
القرن	صور	قَرن	صورت	N;NOM;DEF;SG	N;PL
الثاني	ثانیه	ثَانِي	ثانیه	ADJ;NOM;DEF;MASC;SG	N;SG
القدم	پاهای	قَدَم	پا	N;NOM;DEF;SG	N;PL
علي	علی	علي	علی		N;SG
علي	ali	علي	ali		N;SG
انظر	نگاهی	أَنظَر	نگاه		N;SG
انظر	ببین	أَنظَر	دید#بین		V;IMP;SG;2
نتيجة	نتیجۀ	نَتِيجَة	نتیجۀ	N;ACC;INDF;SG	
نادي	باشگاه	نادي	باشگاه		N;SG
نادي	چماق	نادي	چماق		N;SG
نادي	کلاب	نادي	کلاب		N;SG
نادي	کلوب	نادي	کلوب		N;SG
نادي	کلوپ	نادي	کلوپ		N;SG
الوطني	پاتریوت	وَطَنِيّ	پاتریوت	ADJ;NOM;DEF;MASC;SG	N;SG
الطول	قد	طُول	قد	N;NOM;DEF;SG	
ولكن	ولی	ولكن	ولی		CONJ
ولكن	اما	ولكن	اما		CONJ
المياه	آب	مَاء	آب	N;NOM;DEF;PL	N;SG
لها	او	لها	او		PRO;SG;3
ان	آن	أَنَّ	آن	CONJ	DET
ان	ان	أَنَّ	None	CONJ	N;SG
الثالث	سومی	ثَالِث	None	ADJ;NOM;DEF;MASC;SG	N;SG
العديد	بسیار	عَدِيد	بسیار	ADJ;NOM;DEF;MASC;SG	ADV
عندما	وقتی	عِندَمَا	وقتی	CONJ	CONJ
عندما	چون	عِندَمَا	چون	CONJ	CONJ
كتاب	b	كِتَاب	b	N;NOM;INDF;SG	INTJ
ابن	پسر	ابن	پسر		N;SG
الرسمي	صوری	رَسمِيّ	صوری	ADJ;NOM;DEF;MASC;SG	N;SG
سنوات	سال	سَنَة	سال	N;NOM;INDF;PL	N;SG
بسبب	چون	بسبب	چون	N;NOM;INDF;SG	CONJ
كتابة	نوشت	كِتَابَة	نوشت#نویس	N;NOM;INDF;SG	V;SG;3;PST
كتابة	نویسند	كِتَابَة	نویست#نویس	N;NOM;INDF;SG	V;SBJV;PL;3;PRS
كتابة	بنویسید	كِتَابَة	نسود#آو	N;NOM;INDF;SG	V;SBJV;PL;2;PRS
كتابة	بنویسد	كِتَابَة	نوشت#نویس	N;NOM;INDF;SG	V;SBJV;SG;3;PRS
لكن	ولی	لكن	ولی		CONJ
لكن	اما	لكن	اما		CONJ
