年	évi	年	évi	N	
月	hold	月	hold	N	
月	holdon	月	hold	N	
月	moon	月	moon	N	
日	nap	日	nap	PROPN	N;NOM;SG
日	napon	日	nap	PROPN	N;ON+ESS;SG
日	nappal	日	nap	PROPN	N;INS;SG
日	napot	日	nap	PROPN	N;ACC;SG
和	és	和	és	ADP	CONJ
村	falusi	村	falusi	N	ADJ;NOM;SG
小	aszteroidák	小	aszteroida	PART	N;NOM;PL
小	aszteroida	小	aszteroida	PART	N;NOM;SG
大	nagyok	大	nagy	PART	N;NOM;PL
大	nagy	大	nagy	PART	ADJ;NOM;SG
德	tak	德	tak	PROPN	
重	heavy	重	heavy	N	
重	súlyos	重	súlyos	N	
重	nehéz	重	nehéz	N	
重	nehezebb	重	nehéz	N	ADJ;NOM;CMPR;SG
重	súlyosabb	重	súlyos	N	ADJ;NOM;CMPR;SG
一	egy	一	egy	NUM	DET;INDF
定	eligazítás	定	eligazítás	V	N;NOM;SG
定	orientációs	定	orientációs	V	ADJ;NOM;SG
定	irányultság	定	irányultság	V	N;NOM;SG
但	de	但	de	ADV	CONJ
也	szintén	也	szintén	ADV	
也	úgyszintén	也	úgyszintén	ADV	
拉	húzd	拉	húzd		V;DEF;IMP;SG;2;PRS;FIN;ACT
後	után	後	után	ADV	ADP
後	after	後	after	ADV	
後	miután	後	miután	ADV	CONJ
後	utána	後	utána	ADV	
市	city	市	city	N	
市	városi	市	városi	N	ADJ;NOM;SG
克	gramm	克	gramm	PROPN	N;NOM;SG
克	nagyi	克	nagyi	PROPN	N;NOM;SG
新	újdonság	新	újdonság	PART	N;NOM;SG
新	új	新	új	PART	ADJ;NOM;SG
站	állj	站	állj	N	V;INDF;IMP;SG;1;PRS;FIN;ACT
州	állami	州	állami	N	
研究	vizsgálat	研究	vizsgálat	V	N;NOM;SG
研究	tanulmányok	研究	tanulmány	V	N;NOM;PL
研究	tanulás	研究	tanulás	V	N;NOM;SG
研究	tanulmány	研究	tanulmány	V	N;NOM;SG
研究	vizsgálatok	研究	vizsgálat	V	N;NOM;PL
研究	tanulmányok	研究	tanulmány	V	N;NOM;PL
研究	kutatás	研究	kutatás	V	N;NOM;SG
研究	kutatások	研究	kutatás	V	N;NOM;PL
研究	kutatási	研究	kutatási	V	N;NOM;SG
日本	japán	日本	japán	PROPN	
前	előtte	前	előtte	N	
前	előtt	前	előtt	N	ADP
前	mielőtt	前	mielőtt	N	ADV
家	otthon	家	otthon	N	
家	itthon	家	itthon	N	
家	haza	家	haza	N	
多	több	多	több		DET;INDF
多	további	多	további		N;NOM;SG
使用	használat	使用	használat	V	N;NOM;SG
使用	használatával	使用	használat	V	N;INS;SG
使用	használata	使用	használat	V	N;NOM;SG
使用	felhasználva	使用	felhasználva	V	ADV;V.CVB
使用	használat	使用	használat	V	N;NOM;SG
使用	használata	使用	használat	V	N;NOM;SG
使用	felhasználás	使用	felhasználás	V	N;NOM;SG
基	kei	基	kei	V	
王	kinga	王	kinga	PROPN	
王	wang	王	wang	PROPN	
林	lam	林	lam	PROPN	
林	lin	林	lin	PROPN	
公司	vállalati	公司	vállalati	N	ADJ;NOM;SG
李	lee	李	lee	PROPN	
一	egy	一	egy	NUM	DET;INDF
西	nyugat	西	nyugat	N	
西	nyugati	西	nyugati	N	
省	vajdaság	省	vajdaság	N	PROPN;NOM;SG
卡	kártyák	卡	kártya	PROPN	N;NOM;PL
卡	lapok	卡	lap	PROPN	N;NOM;PL
卡	kártya	卡	kártya	PROPN	N;NOM;SG
卡	kártya	卡	kártya	PROPN	N;NOM;SG
二	kettő	二	kettő	NUM	
小	kis	小	kis	PART	ADJ;NOM;SG
小	kicsik	小	kicsik	PART	
小	kicsi	小	kicsi	PART	
小	kis	小	kis	PART	ADJ;NOM;SG
小	kicsi	小	kicsi	PART	
小	kevés	小	kevés	PART	
小	kicsi	小	kicsi	PART	
小	pici	小	pici	PART	
小	apró	小	apró	PART	
相似	hasonló	相似	hasonló	V	ADJ;NOM;SG
相似	hasonlóak	相似	hasonló	V	ADJ;NOM;PL
相似	hasonlók	相似	hasonló	V	N;NOM;PL
相似	hasonlóság	相似	hasonlóság	V	N;NOM;SG
相似	hasonlóság	相似	hasonlóság	V	N;NOM;SG
相似	hasonlóságot	相似	hasonlóság	V	N;ACC;SG
區	kerület	區	kerület	N	
人口	demográfiai	人口	demográfiai	N	ADJ;NOM;SG
人口	demográfiai	人口	demográfiai	N	ADJ;NOM;SG
道	dao	道	dao	PROPN	
將	will	將	will	V;CAUS	
將	fog	將	fog	V;CAUS	V;INDF;IND;SG;3;PRS;ACT
將	akarat	將	akarat	V;CAUS	N;NOM;SG
高	high	高	high	PROPN	
高	magas	高	magas	PROPN	ADJ;NOM;SG
高	magasan	高	magasan	PROPN	
高	magas	高	magas	PROPN	ADJ;NOM;SG
高	gao	高	gao	PROPN	
美國	amerika	美國	amerika	PROPN	N;NOM;SG
美國	america	美國	america	PROPN	
集	set	集	set	N	
集	beállítva	集	beállítva	N	ADV;V.CVB
台灣	tajvani	台灣	tajv	PROPN	
台灣	tajvan	台灣	tajvan	PROPN	N;NOM;SG
世界	világ	世界	világ	N	
世界	world	世界	world	N	
南	nan	南	nan	N	
南	dél	南	dél	N	
南	délre	南	délre	N	ADV
南	déli	南	déli	N	
南	nam	南	nam	N	
路	uton	路	ut	N	
五	öt	五	öt	NUM	
五	öten	五	öten	NUM	PRO;NOM;PL;3
金	jin	金	jin	PROPN	
金	arany	金	arany	PROPN	
金	kim	金	kim	PROPN	
曾	zeng	曾	zeng	ADV	V;INDF;IND;SG;3;PRS;FIN;ACT
文	wen	文	wen	N	
林	lincoln	林	lincoln	PROPN	
包括	beleértve	包括	bele+értv	V	ADV;V.CVB
峰	csúcs	峰	csúcs	PROPN	
峰	csúcsok	峰	csúcsok	PROPN	N;NOM;PL
位	található	位	található	V	ADJ;NOM;SG
其他	egyéb	其他	egyéb	DET	
其他	más	其他	más	DET	PRO;NOM;SG;3
其他	másoknak	其他	más	DET	PRO;DAT;PL;3
其他	egyéb	其他	egyéb	DET	
其他	mások	其他	más	DET	
其他	egyebek	其他	egyéb	DET	
塔	tower	塔	tower	N	
縣	megyei	縣	megyei	N	ADJ;NOM;SG
縣	megye	縣	megye	N	
縣	canton	縣	canton	N	
第一	először	第一	először	NUM	ADV
第一	első	第一	első	NUM	ADJ;NOM;SG
比	arány	比	arány	ADP	N;NOM;SG
元	meta	元	meta	PROPN	
元	yuan	元	yuan	PROPN	
元	dollár	元	dollár	PROPN	N;NOM;SG
元	nyert	元	nyert	PROPN	V;INDF;IND;SG;3;PST;FIN;ACT
中國	porcelán	中國	porcela	PROPN	N;NOM;SG
中國	kína	中國	kína	PROPN	PROPN;NOM;SG
中國	china	中國	china	PROPN	
六	hat	六	hat	NUM	
主要	őrnagy	主要	őrnagy	ADV	N;NOM;SG
主要	fő	主要	fő	ADV	
主要	main	主要	main	ADV	
主要	főbb	主要	fő	ADV	ADJ;NOM;CMPR;SG
城	city	城	city	N	
城	városi	城	városi	N	ADJ;NOM;SG
城	vár	城	vár	N	V;INDF;IND;SG;3;PRS;FIN;ACT
城	castle	城	castle	N	
法	módszer	法	módszer	PROPN	N;NOM;SG
中心	center	中心	center	N	
線	line	線	line	N	
線	sor	線	sor	N	
第二	másodszor	第二	másod	NUM	
第二	másodperc	第二	másodperc	NUM	
第二	második	第二	második	NUM	
山	hegyi	山	hegyi	N	
山	hill	山	hill	N	
加	hozzáadás	加	hozzáadás	ADP	
加	hozzáadása	加	hozzáadás	ADP	V;DEF;IND;SG;3;PRS;FIN;ACT
加	plus	加	plus	ADP	
加	plussz	加	plussz	ADP	
加	plusz	加	plusz	ADP	
自己	magam	自己	maga	PRO	
張	chang	張	chang	PROPN	
張	zhang	張	zhang	PROPN	
內	belső	內	belső	N	
雷	ray	雷	ray	PROPN	
管理	menedzsment	管理	menedzsment	V	N;NOM;SG
管理	irányítás	管理	irányítás	V	N;NOM;SG
管理	vezetőség	管理	vezetőség	V	N;NOM;SG
管理	gazdálkodás	管理	gazdálkodás	V	N;NOM;SG
管理	irányítási	管理	irányítási	V	ADJ;NOM;SG
管理	kezelése	管理	kezelés	V	N;NOM;SG
性	szexuális	性	szexuális	N	ADJ;NOM;SG
成	sung	成	sung	V	
代表	reprezentatív	代表	reprezentatív	N	
代表	megbízott	代表	meg+bízik	N	V;INDF;IND;SG;3;PST;FIN;ACT
那	akkor	那	akkor	PRO	ADV
那	aztán	那	aztán	PRO	
海	tengeren	海	tenger	N	
海	tengeri	海	tengeri	N	
海	óceán	海	óceán	N	
海	ocean	海	ocean	N	
大學	university	大學	university	N	
從	től	從	től	ADP	
從	tól	從	tól	ADP	
從	from	從	from	ADP	
羅	luo	羅	luo	PROPN	
原	eredeti	原	eredeti	PART	N;NOM;SG
原	hara	原	hara	PART	PROPN;NOM;SG
工作	dolgozó	工作	dolgozó	N	ADJ;NOM;SG
工作	dolgozik	工作	dolgozik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
工作	dolgozom	工作	dolgozik	N	V;INDF;IND;SG;1;PRS;FIN;ACT
工作	dolgozok	工作	dolgozik	N	V;INDF;IND;SG;1;PRS;FIN;ACT
北	észak	北	észak	N	
北	északi	北	északi	N	
政治	politikai	政治	politikai	N	ADJ;NOM;SG
陳	chen	陳	chen	PROPN	
陳	chan	陳	chan	PROPN	PROPN;NOM;SG
作品	működik	作品	működik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
河	folyó	河	folyó	N	
馬	lovas	馬	lovas	N	
更	több	更	több	ADV	DET;INDF
更	more	更	more	ADV	
更	további	更	további	ADV	N;NOM;SG
更	tobb	更	tobb	ADV	
曼	mann	曼	mann	PROPN	
龍	dragon	龍	dragon	N	
女	nö	女	nö	N	
女	nőnemű	女	nőnemű	N	
女	női	女	női	N	
正式	hivatalosan	正式	hivatalos	ADV	ADJ;FRML;SG
正式	formális	正式	formális	ADV	
外	kint	外	kint	N	
外	kívül	外	kívül	N	
明	ming	明	ming	PROPN	
美	gyönyörű	美	gyönyörű	PROPN	
美	szépség	美	szépség	PROPN	N;NOM;SG
美	gyönyörűség	美	gyönyörűség	PROPN	N;NOM;SG
因為	mert	因為	mert	ADP	CONJ
北京	pekingi	北京	pekingi	PROPN	
北京	pekingi	北京	pekingi	PROPN	
不同	más	不同	más	ADJ	PRO;NOM;SG;3
不同	különböző	不同	különböző	ADJ	
目前	jelenlegi	目前	jelenlegi	N	
目前	aktuális	目前	aktuális	N	ADJ;NOM;SG
目前	jelenleg	目前	jelenleg	N	ADV
所有	mindegyik	所有	mindegyik	DET	
所有	mind	所有	mind	DET	CONJ
所有	minden	所有	minden	DET	PRO;NOM;SG;3
部分	részleges	部分	részleges	N	
部分	részlegesen	部分	részleges	N	ADJ;FRML;SG
部分	részben	部分	részben	N	ADV
部分	részlegesen	部分	részleges	N	ADJ;FRML;SG
中央	központi	中央	központi	N	ADJ;NOM;SG
森	sen	森	sen	PROPN	
森	mori	森	mori	PROPN	
郡	megyei	郡	megyei	N	ADJ;NOM;SG
郡	megye	郡	megye	N	
國家	állami	國家	állami	N	
國家	nemzeti	國家	nemzeti	N	ADJ;NOM;SG
國家	országos	國家	országos	N	ADJ;NOM;SG
國家	national	國家	national	N	
球	ball	球	ball	N	
生	nyersen	生	nyersen	N	
生	nyers	生	nyers	N	
但是	de	但是	de	ADV	CONJ
提供	feltéve	提供	feltév	V	
城市	city	城市	city	N	
城市	városi	城市	városi	N	ADJ;NOM;SG
一些	néhány	一些	néhány	ADJ	DET;INDF
長	hosszú	長	hosszú	PART	
加入	csatlakozás	加入	csatlakozás	V	N;NOM;SG
加入	csatlakozás	加入	csatlakozás	V	N;NOM;SG
英	ying	英	ying	PROPN	
上海	shanghai	上海	shanghai	PROPN	N;NOM;SG
史	shi	史	shi	N	
第三	harmadik	第三	harmadik	NUM	
第三	harmadszor	第三	harmadszor	NUM	
回	vissza	回	vissza	PROPN	ADV
吉	kat	吉	kat	PROPN	
你	te	你	te	PRO;2	V;DEF;IND;SG;1;PRS;FIN;ACT
方	fang	方	fang	N	
東	keleti	東	keleti	N	
東	kelet	東	kelet	N	
東	dong	東	dong	N	
英國	anglia	英國	anglia	PROPN	N;NOM;SG
英國	england	英國	england	PROPN	
英國	angliai	英國	angliai	PROPN	ADJ;NOM;SG
周	héten	周	hét	PROPN	N;ON+ESS;SG
周	hét	周	hét	PROPN	N;NOM;SG
周	hetekig	周	het	PROPN	N;PL
周	hetek	周	het	PROPN	N;NOM;SG
周	zhou	周	zhou	PROPN	
周	chow	周	chow	PROPN	
石	shi	石	shi	N	
石	stone	石	stone	N	PROPN;NOM;SG
建立	létrehozása	建立	létrehozás	V	N;NOM;SG
建立	alkotás	建立	alkotás	V	N;NOM;SG
建立	teremtés	建立	teremtés	V	N;NOM;SG
建立	telephely	建立	telephely	V	N;NOM;SG
建立	létesítmény	建立	létesítmény	V	N;NOM;SG
建立	létrehozása	建立	létrehozás	V	N;NOM;SG
建立	letelepedés	建立	letelepedés	V	N;NOM;SG
生活	élő	生活	élő	V	
生活	élet	生活	élet	V	N;NOM;SG
生活	életem	生活	élet	V	N;NOM;SG
生活	life	生活	life	V	
派	pite	派	pite	V;CAUS	N;NOM;SG
教育	oktatási	教育	oktatási	N	ADJ;NOM;SG
教育	oktatási	教育	oktatási	N	ADJ;NOM;SG
