que	att	que	att	PRO	PART
a	de	o	de	DET	PRO;NOM;DEF;PL
a	den	o	den	DET	PRO;DEF;MASC+FEM;SG
o	de	o	de	DET	PRO;NOM;DEF;PL
o	den	o	den	DET	PRO;DEF;MASC+FEM;SG
o	vad	o	vad	DET	PRO;INDF;NEUT;SG
non	don	non	don	PART	N;NOM;INDF;MASC+FEM;SG
un	en	un	en	DET	NUM;NOM;INDF;MASC+FEM;SG
un	ett	un	en	DET	NUM;NOM;INDF;NEUT;SG
un	one	un	one	DET	N;NOM;INDF;MASC+FEM;SG
os	de	o	de	DET	PRO;NOM;DEF;PL
os	den	o	den	DET	PRO;DEF;MASC+FEM;SG
unha	en	un	en	DET	NUM;NOM;INDF;MASC+FEM;SG
unha	ett	un	en	DET	NUM;NOM;INDF;NEUT;SG
unha	one	un	one	DET	N;NOM;INDF;MASC+FEM;SG
se	ni	se	ni	CONJ	PRO;NOM;DEF;MASC+FEM;SG
se	dig	se	du	CONJ	PRO;ACC;DEF;MASC+FEM;SG
se	du	se	du	CONJ	PRO;NOM;DEF;MASC+FEM;SG
por	varför	por	varför	ADP	ADV
por	snälla	por	snälla	ADP	ADJ;NOM;PL
por	vänligen	por	vänligen	ADP	ADV
do	de	do	de	PROPN	PRO;NOM;DEF;PL
do	den	do	den	PROPN	PRO;DEF;MASC+FEM;SG
do	från	do	från	PROPN	ADP
da	de	da	de	V	PRO;NOM;DEF;PL
da	den	da	den	V	PRO;DEF;MASC+FEM;SG
da	från	da	från	V	ADP
as	de	o	de	DET	PRO;NOM;DEF;PL
as	den	o	den	DET	PRO;DEF;MASC+FEM;SG
como	hur	como	hur	PRO	ADV
como	gilla	como	gilla	PRO	V;IMP;FIN;ACT
como	gillar	como	gilla	PRO	V;IND;PRS;FIN;ACT
como	som	como	som	PRO	CONJ
como	like	como	like	PRO	V;IMP;FIN;ACT
máis	more	máis	more	ADV	
máis	fler	máis	mången	ADV	PRO;INDF;PL
máis	most	máis	most	ADV	N;NOM;INDF;MASC+FEM;SG
máis	än	máis	än	ADV	CONJ
no	de	no	de	V	PRO;NOM;DEF;PL
no	den	no	den	V	PRO;DEF;MASC+FEM;SG
ben	duktiga	ben	duktig	ADV	ADJ;NOM;PL
ben	god	ben	god	ADV	ADJ;NOM;INDF;MASC+FEM;SG
ben	duktig	ben	duktig	ADV	ADJ;NOM;INDF;MASC+FEM;SG
ben	okej	ben	okej	ADV	INTJ
ben	höger	ben	höger	ADV	N;NOM;INDF;MASC+FEM;SG
ben	rätt	ben	rätt	ADV	N;NOM;INDF;MASC+FEM;SG
ben	allt	ben	all	ADV	PRO;INDF;NEUT;SG
ben	alla	ben	all	ADV	PRO;INDF;PL
si	ja	si	ja	ADV	INTJ
si	ja	si	ja	ADV	INTJ
na	de	na	de	N	PRO;NOM;DEF;PL
na	den	na	den	N	PRO;DEF;MASC+FEM;SG
ao	de	ao	de	PROPN	PRO;NOM;DEF;PL
ao	den	ao	den	PROPN	PRO;DEF;MASC+FEM;SG
son	är	ser	vara	V	V;IND;PRS;FIN;ACT
son	are	ser	are	V	N;NOM;INDF;MASC+FEM;SG
son	de	ser	de	V	PRO;NOM;DEF;PL
son	dom	ser	de	V	PRO;NOM;DEF;PL
á	de	á	de	N	PRO;NOM;DEF;PL
á	den	á	den	N	PRO;DEF;MASC+FEM;SG
iso	att	iso	att	PRO	PART
hai	där	haber	där	V	ADV
hai	är	haber	vara	V	V;IND;PRS;FIN;ACT
hai	are	haber	are	V	N;NOM;INDF;MASC+FEM;SG
todo	allt	todo	all	DET	PRO;INDF;NEUT;SG
todo	alla	todo	all	DET	PRO;INDF;PL
todo	everything	todo	everything	DET	N;NOM;INDF;MASC+FEM;SG
todo	allt	todo	all	DET	PRO;INDF;NEUT;SG
todo	allting	todo	allting	DET	PRO;INDF;NEUT;SG
cando	när	cando	när	PRO	ADV
xa	ni	xa	ni	ADV	PRO;NOM;DEF;MASC+FEM;SG
xa	dig	xa	du	ADV	PRO;ACC;DEF;MASC+FEM;SG
xa	du	xa	du	ADV	PRO;NOM;DEF;MASC+FEM;SG
