din	from	din	from	ADP;ACC	
care	kto	care	kto	PRO;3	PRO;NOM;MASC;SG
care	kogo	care	kto	PRO;3	PRO;ACC;MASC;SG
care	who	care	who	PRO;3	
care	które	care	który	PRO;3	DET;ACC;MASC;SG
care	która	care	który	PRO;3	DET;NOM;FEM;SG
care	który	care	który	PRO;3	DET;NOM;MASC;SG
mai	mai	mai	ja	ADV	PROPN;NOM;MASC;SG
mai	more	mai	more	ADV	
pentru	na	pentru	na	ADP;ACC	INTJ
pentru	za	pentru	za	ADP;ACC	PART
lui	lui	el	lej	PRO;3	
lui	jego	el	on	PRO;3	PRO;GEN;MASC;SG;3
sunt	są	fi	być	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
sit	witryny	sit	witryna	N;INDF;MASC;SG	N;GEN;FEM;PL
după	after	după	after	ADP;ACC	
după	po	după	po	ADP;ACC	INTJ
prin	poprzez	prin	poprzez	ADP;ACC	
regiunea	region	regiune	region	N;DEF;FEM;SG	N;NOM;MASC;SG
regiunea	regionie	regiune	region	N;DEF;FEM;SG	N;ACC;MASC;SG
regiunea	regiony	regiune	regić	N;DEF;FEM;SG	N;NOM;MASC;PL
regiunea	regionu	regiune	regić	N;DEF;FEM;SG	N;GEN;MASC;SG
mare	świetnie	mare	świetnie	ADJ;INDF;MASC;SG	ADV
mare	super	mare	super	ADJ;INDF;MASC;SG	
mare	wspaniale	mare	wspaniale	ADJ;INDF;MASC;SG	
mare	big	mare	big	ADJ;INDF;MASC;SG	
mare	morza	mare	morze	ADJ;INDF;MASC;SG	N;GEN;NEUT;SG
mare	morze	mare	morze	ADJ;INDF;MASC;SG	N;NOM;NEUT;SG
anul	roku	an	rok	N;DEF;MASC;SG	N;GEN;MASC;SG
anul	rok	an	rok	N;DEF;MASC;SG	N;NOM;MASC;SG
comună	wspólnej	comun	wspólny	ADJ;INDF;FEM;SG	ADJ;GEN;FEM;SG
comună	wspólny	comun	wspólny	ADJ;INDF;FEM;SG	ADJ;NOM;MASC;SG
comună	częste	comun	częsty	ADJ;INDF;FEM;SG	
comună	często	comun	często	ADJ;INDF;FEM;SG	ADV
comună	wspólne	comun	wspólny	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
externe	zewnętrzne	extern	zewnętrzny	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
legături	łącza	legătură	łączyć	N;INDF;FEM;PL	
legături	znajomości	legătură	znajomość	N;INDF;FEM;PL	N;GEN;FEM;SG
legături	powiązania	legătură	powiązanie	N;INDF;FEM;PL	N;NOM;NEUT;SG
vezi	patrz	vedea	patrzeć	V;IND;SG;2;PRS;FIN	V;IPFV;IMP;SG;2;FIN;ACT
vezi	zobacz	vedea	zobaczyć	V;IND;SG;2;PRS;FIN	V;PFV;IMP;SG;2;FIN;ACT
cod	kodu	cod	koda		N;GEN;MASC;SG
cod	kod	cod	kod		N;ACC;MASC;SG
populație	populacja	populație	populacja	N;INDF;FEM;SG	N;NOM;FEM;SG
populație	populacji	populație	populacja	N;INDF;FEM;SG	N;GEN;FEM;SG
populație	ludność	populație	ludność	N;INDF;FEM;SG	N;NOM;FEM;SG
bucurești	bukareszcie	bucuresc	bukareszt	PROPN	N;NOM;MASC;SG
fiind	bycie	fi	bycie	V;V.MSDR	
fiind	będąc	fi	być	V;V.MSDR	V;IPFV;PRS;V.CVB;ACT
fiind	bycia	fi	być	V;V.MSDR	
românia	rumunii	românia	rumunia	PROPN	
românia	rumunia	românia	rumunia	PROPN	
jpg	jpg	jpg	jeść	N	
lista	listy	listă	list	N;DEF;FEM;SG	
lista	wykaz	listă	wykaz	N;DEF;FEM;SG	N;NOM;MASC;SG
lista	lista	listă	list	N;DEF;FEM;SG	N;NOM;FEM;SG
lista	spis	listă	spis	N;DEF;FEM;SG	N;NOM;MASC;SG
lista	listę	listă	lista	N;DEF;FEM;SG	N;ACC;FEM;SG
ucraina	ukrainy	ucraina	ukrainy	PROPN	
ucraina	ukrainę	ucraina	ukraina	PROPN	N;ACC;FEM;SG
ucraina	ukraina	ucraina	ukrainać	PROPN	
ucraina	ukrainie	ucraina	ukrać	PROPN	
ani	ani	an	ani	N;INDF;MASC;PL	CONJ
avea	mial	avea	mial	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
avea	miał	avea	mieć	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
avea	miała	avea	mieć	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
avea	miał	avea	mieć	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
între	pomiędzy	între	pomiędzy	ADP;ACC	
comuna	gmina	comună	gmina	N;DEF;FEM;SG	
comuna	wspólnej	comună	wspólny	N;DEF;FEM;SG	ADJ;GEN;FEM;SG
comuna	wspólny	comună	wspólny	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
comuna	częste	comună	częsty	N;DEF;FEM;SG	
comuna	często	comună	często	N;DEF;FEM;SG	ADV
comuna	wspólne	comună	wspólny	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG
poate	może	poate	móc	ADV	V;IPFV;IND;SG;3;PRS;FIN;ACT
rege	king	rege	king	N;INDF;MASC;SG	
rege	kinga	rege	kinga	N;INDF;MASC;SG	PROPN;NOM;FEM;SG
alte	innych	alt	inny	DET;FEM;PL;3	ADJ;GEN;MASC;PL
alte	inne	alt	inny	DET;FEM;PL;3	ADJ;NOM;NEUT;SG
alte	pozostał	alt	pozostać	DET;FEM;PL;3	V;PFV;MASC;IND;SG;PST;FIN;ACT
alte	inny	alt	inny	DET;FEM;PL;3	ADJ;NOM;MASC;SG
când	gdy	când	gdy	ADV	CONJ
când	kiedy	când	kiedy	ADV	ADV
regiune	region	regiune	region	N;INDF;FEM;SG	N;NOM;MASC;SG
regiune	regionie	regiune	region	N;INDF;FEM;SG	N;ACC;MASC;SG
regiune	regiony	regiune	regić	N;INDF;FEM;SG	N;NOM;MASC;PL
regiune	regionu	regiune	regić	N;INDF;FEM;SG	N;GEN;MASC;SG
anii	lat	an	rok	N;DEF;MASC;PL	N;GEN;MASC;PL
anii	lata	an	rok	N;DEF;MASC;PL	N;NOM;MASC;PL
parte	część	parte	część	N;INDF;FEM;SG	N;NOM;FEM;SG
parte	częściowo	parte	częściowo	N;INDF;FEM;SG	ADV
județul	hrabstwo	județ	hrabstwo	N;DEF;MASC;SG	N;NOM;NEUT;SG
județul	okręg	județ	okręg	N;DEF;MASC;SG	N;NOM;MASC;SG
județul	hrabstwa	județ	hrabstwo	N;DEF;MASC;SG	N;ACC;NEUT;SG
județul	powiat	județ	powiat	N;DEF;MASC;SG	
centura	pasek	centură	pask	N;DEF;FEM;SG	N;NOM;MASC;SG
centura	pas	centură	pas	N;DEF;FEM;SG	N;NOM;MASC;SG
dinastia	dynastia	dinastie	dynastia	N;DEF;FEM;SG	N;NOM;FEM;SG
dinastia	dynastii	dinastie	dynastia	N;DEF;FEM;SG	
septembrie	wrzesień	septembrie	wrzesień	N;INDF;MASC;SG	
septembrie	września	septembrie	wrzesień	N;INDF;MASC;SG	
unde	gdzie	unde	gdzie	ADV	ADV
majoritatea	większość	majoritate	większość	N;DEF;FEM;SG	N;NOM;FEM;SG
majoritatea	najczęściej	majoritate	często	N;DEF;FEM;SG	ADV;RL
majoritatea	większości	majoritate	większość	N;DEF;FEM;SG	N;GEN;FEM;SG
majoritatea	najbardziej	majoritate	bardzo	N;DEF;FEM;SG	ADV;RL
majoritatea	większość	majoritate	większość	N;DEF;FEM;SG	N;NOM;FEM;SG
majoritatea	większości	majoritate	większość	N;DEF;FEM;SG	N;GEN;FEM;SG
densitate	gęstości	densitate	gęstość	N;INDF;FEM;SG	N;GEN;FEM;SG
densitate	gęstość	densitate	gęstość	N;INDF;FEM;SG	N;NOM;FEM;SG
limbă	język	limbă	język	N;INDF;FEM;SG	N;NOM;MASC;SG
limbă	język	limbă	język	N;INDF;FEM;SG	N;NOM;MASC;SG
limbă	języku	limbă	język	N;INDF;FEM;SG	N;ACC;MASC;SG
iunie	june	iunie	juny	N;INDF;MASC;SG	
iunie	czerwiec	iunie	czerwiec	N;INDF;MASC;SG	
multe	wielu	mult	wiele	PRO;FEM;PL;3	DET;ACC;MASC;PL
multe	wiele	mult	wiele	PRO;FEM;PL;3	DET;ACC;MASC;PL
socorro	socorro	socorro	socorro		V;IPFV;IND;SG;PRS;FIN;ACT
prima	pierwszy	prim	pierwszy	NUM;DEF;FEM;SG	ADJ;NOM;MASC;SG
prima	pierwsze	prim	pierwszy	NUM;DEF;FEM;SG	ADJ;NOM;NEUT;SG
prima	najpierw	prim	najpierw	NUM;DEF;FEM;SG	ADV
prima	pierwsza	prim	pierwszy	NUM;DEF;FEM;SG	ADJ;NOM;FEM;SG
august	augusta	august	augusta	N;INDF;MASC;SG	
august	sierpień	august	sierpienie	N;INDF;MASC;SG	
sat	siedział	sat	siedzieć	N;INDF;MASC;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
sat	usiadł	sat	usiąść	N;INDF;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
sat	sat	sat	sat	N;INDF;MASC;SG	
martie	marzec	martie	marzec	N;INDF;MASC;SG	
martie	marca	martie	marza	N;INDF;MASC;SG	
biserica	kościoła	biserică	kościół	N;DEF;FEM;SG	N;GEN;MASC;SG
biserica	kościół	biserică	kościół	N;DEF;FEM;SG	N;NOM;MASC;SG
biserica	church	biserică	chury	N;DEF;FEM;SG	V;IPFV;IND;SG;PRS;FIN;ACT
decembrie	grudnia	decembrie	grudzień	N;INDF;MASC;SG	
toate	wszystkie	tot	wszystek	PRO;FEM;PL;3	DET;NOM;MASC;PL
toate	wszystko	tot	wszystko	PRO;FEM;PL;3	PRO;NOM;NEUT;SG
toate	all	tot	all	PRO;FEM;PL;3	
toate	wszyscy	tot	wszyscy	PRO;FEM;PL;3	PRO;NOM;MASC;PL
ianuarie	styczeń	ianuarie	styczenie	N;INDF;MASC;SG	
adresă	adres	adresa	adres	N;INDF;FEM;SG	N;ACC;MASC;SG
noiembrie	listopad	noiembrie	listopad	N;INDF;MASC;SG	
cum	jak	cum	jak	ADV	ADV
imagine	rysunek	imagine	rysunek	N;INDF;FEM;SG	N;NOM;MASC;SG
imagine	obrazek	imagine	obrazek	N;INDF;FEM;SG	N;NOM;MASC;SG
imagine	obraz	imagine	obraz	N;INDF;FEM;SG	N;NOM;MASC;SG
imagine	zdjęcie	imagine	zdjęcie	N;INDF;FEM;SG	N;NOM;NEUT;SG
imagine	zdjecie	imagine	zdjecie	N;INDF;FEM;SG	V;PFV;IND;SG;FIN;ACT
