של	shel	של	shel	PART;GEN	PROPN
את	vous	את	vous	PART;ACC	PRO;PL;2
את	tu	את	il	PART;ACC	PRO;SG;2
את	toi	את	soi	PART;ACC	PRO;SG;2
את	you	את	you	PART;ACC	PRO;SG;2
קטגוריה	catégories	קטגוריה	catégorie	N;FEM;SG	N;FEM;PL
גם	too	גם	too	ADV	INTJ
זה	cette	זה	ce	PRO;MASC;SG;3	DET;FEM;SG
זה	que	זה	que	PRO;MASC;SG;3	CONJ
היה	fut	היה	être	V;MASC;SG;3;POS;PST	V;IND;SG;3;PST;FIN
היה	etait	היה	etever	V;MASC;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
היה	était	היה	être	V;MASC;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
שיחה	appeler	שיחה	appeler	N;FEM;SG	V;NFIN
שיחה	appelez	שיחה	appeler	N;FEM;SG	V;IMP;PL;2;PRS;FIN
שיחה	appelle	שיחה	appeler	N;FEM;SG	V;IND;SG;3;PRS;FIN
לאחר	apres	לאחר	après	ADP	
לאחר	after	לאחר	after	ADP	PROPN
לאחר	aprés	לאחר	apré	ADP	
בין	bean	בין	bean	ADP	PROPN
בין	haricot	בין	haricot	ADP	N;MASC;SG
בין	haricots	בין	haricot	ADP	N;MASC;PL
בין	inter	בין	inter	ADP	PROPN
כל	toutes	כול	tout	DET;PSSD	PRO;FEM;PL
כל	tous	כול	tout	DET;PSSD	PRO;MASC;PL
כל	tout	כול	tout	DET;PSSD	PRO;MASC;SG
כל	all	כול	all	DET;PSSD	
כי	parce	כי	parce	CONJ	ADV
כי	car	כי	car	CONJ	CONJ
כי	parceque	כי	parceque	CONJ	
ישראל	israël	ישראל	israël	PROPN	N;MASC;SG
ישראל	israel	ישראל	israel	PROPN	PROPN
יש	youpi	יש	youpi	V	INTJ
שם	nommer	שם	nommer	ADV	V;NFIN
שם	nom	שם	nom	ADV	N;MASC;SG
שם	dénomination	שם	dénomination	ADV	N;FEM;SG
שם	noms	שם	nom	ADV	N;MASC;PL
בית	beit	בית	beit	N;MASC;SG	PROPN
הייתה	fut	היה	être	V;FEM;SG;3;POS;PST	V;IND;SG;3;PST;FIN
הייתה	etait	היה	etever	V;FEM;SG;3;POS;PST	V;IND;SG;3;IPFV;FIN
