kupfer	kobber	küpfen	kobber	ADJ	N;INDF;MASC+FEM;PL
lincoln	lincoln	lincoln	lincoln	PROPN	N;INDF;MASC+FEM;SG
sandstein	sandsten	sandstein	sandsten		N;DEF;MASC+FEM;SG
field	fagområde	falden	fagområde		N;INDF;NEUT;SG
field	felt	falden	felt		N;INDF;NEUT;SG
field	område	falden	område		N;INDF;NEUT;SG
field	marken	falden	mark		N;DEF;MASC+FEM;SG
marken	brands	marken	brands	V;NFIN	N;INDF;NEUT;PL
marken	mærker	marken	mærke	V;NFIN	N;INDF;NEUT;PL
marken	marche	marken	marche	V;NFIN	N;INDF;MASC+FEM;PL
marken	varemærke	marken	varemærke	V;NFIN	N;INDF;NEUT;SG
marken	brand	marken	brand	V;NFIN	N;INDF;MASC+FEM;SG
marken	brandet	marken	brand	V;NFIN	N;DEF;NEUT;SG
marken	marche	marken	marche	V;NFIN	N;INDF;MASC+FEM;PL
marken	marcher	marken	marche	V;NFIN	N;INDF;MASC+FEM;PL
marken	varemærker	marken	varemærke	V;NFIN	N;INDF;NEUT;PL
nachts	aftener	nachts	aften	ADV	N;INDF;MASC+FEM;PL
nachts	nætter	nachts	nætte	ADV	N;INDF;MASC+FEM;PL
nachts	godnat	nachts	godnat	ADV	N;INDF;NEUT;SG
nachts	natten	nachts	nat	ADV	N;DEF;MASC+FEM;SG
nachts	nat	nachts	nat	ADV	N;INDF;MASC+FEM;SG
nachts	aften	nachts	aften	ADV	N;DEF;MASC+FEM;SG
lasse	lasse	lassen	lasse	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;SG
rezension	gennemgang	rezension	gennemgang	ADJ	N;INDF;MASC+FEM;SG
rezension	gennemgå	rezension	gennemgå	ADJ	V;NFIN;ACT
rezension	gennemse	rezension	gennemse	ADJ	
rezension	anmeldelse	rezension	anmeldelse	ADJ	N;INDF;MASC+FEM;SG
fische	fisk	fischen	fisk		N;INDF;MASC+FEM;SG
fische	fisker	fischen	fisker		N;INDF;MASC+FEM;SG
fische	fiskene	fischen	fisk		N;DEF;MASC+FEM;PL
fische	fisk	fischen	fisk		N;INDF;MASC+FEM;SG
fische	fish	fischen	fish		N;INDF;MASC+FEM;SG
fische	fiske	fischen	fisk		V;NFIN;ACT
irgendwas	noget	irgendwas	nogen	ADV	PRO;NEUT;SG
schiller	schiller	schill	schille	ADJ	N;INDF;MASC+FEM;SG
sven	sven	sven	sven	PROPN;NOM;MASC;SG	
auszug	snippet	auszusz	snippe		N;DEF;NEUT;SG
auszug	stump	auszusz	stump		N;INDF;MASC+FEM;SG
auszug	uddrag	auszusz	uddrag		N;INDF;NEUT;SG
auszug	uddrag	auszusz	uddrag		N;INDF;NEUT;SG
auszug	ekstrakt	auszusz	ekstrakt		N;INDF;MASC+FEM;SG
auszug	udtræk	auszusz	udtræk		N;INDF;NEUT;SG
fordert	drifter	fordern	drift	V;IND;SG;3;PRS;FIN	N;INDF;MASC+FEM;PL
fordert	opkald	fordern	opkald	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
branche	sektor	branch	sektor		N;INDF;MASC+FEM;SG
branche	sektoren	branch	sektor		N;DEF;MASC+FEM;SG
kleidung	beklædningsgenstande	kleidung	beklædningsgenstand	N;NOM;FEM;SG	N;INDF;MASC+FEM;PL
kleidung	beklædningsgenstande	kleidung	beklædningsgenstand	N;NOM;FEM;SG	N;INDF;MASC+FEM;PL
erlaubnis	tilladelse	erlaubnis	tilladelse		N;INDF;MASC+FEM;SG
eingeschränkt	indskrænket	einschränken	indskrænket	ADJ	V;INDF;SG;PST;V.PTCP
eingeschränkt	begrænset	einschränken	begrænse	ADJ	V;INDF;SG;PST;V.PTCP
eingeschränkt	indskrænket	einschränken	indskrænket	ADJ	V;INDF;SG;PST;V.PTCP
eingeschränkt	limited	einschränken	limited	ADJ	
eingeschränkt	begrænsede	einschränken	begrænse	ADJ	V;PL;PST;V.PTCP
eingeschränkt	begrænset	einschränken	begrænse	ADJ	V;INDF;SG;PST;V.PTCP
norman	norman	norman	norman	PROPN;NOM;SG	
player	player	player	play	PROPN	N;INDF;MASC+FEM;PL
player	spilleren	player	spiller	PROPN	N;DEF;MASC+FEM;SG
player	spiller	player	spille	PROPN	V;IND;PRS;FIN;ACT
player	afspiller	player	afspille	PROPN	N;INDF;MASC+FEM;SG
atmosphäre	atmosfære	atmosphäre	atmosfære	ADJ;NOM;SG	N;INDF;MASC+FEM;SG
atmosphäre	stemning	atmosphäre	stemning	ADJ;NOM;SG	N;INDF;MASC+FEM;SG
