gerais	gerais	gerais	gerais	N;INDF;SG	PROPN;INDF;MASC;SG
rolig	леко	rolig	леко	ADJ;INDF;NEUT;SG	ADV
rolig	лесно	rolig	лесно	ADJ;INDF;NEUT;SG	ADV
santo	санто	santo	санто	N;INDF;NEUT;SG	PROPN
ryttere	конници	ryttere	конница	V;NFIN	N;INDF;MASC;PL
ryttere	конници	ryttere	конница	V;NFIN	N;INDF;MASC;PL
ryttere	ездачи	ryttere	ездач	V;NFIN	N;INDF;FEM;PL
deltaker	участник	deltaker	участник	N;INDF;MASC;PL	N;INDF;MASC;SG
deltaker	състезател	deltaker	състезател	N;INDF;MASC;PL	N;INDF;MASC;SG
deltaker	участник	deltaker	участник	N;INDF;MASC;PL	N;INDF;MASC;SG
filosofen	философ	filosof	философ	N;DEF;MASC;SG	N;INDF;MASC;SG
gjenopprettet	възстановено	gjenopprett	възстановя-(се)	N;DEF;NEUT;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
gjenopprettet	възстановен	gjenopprett	възстановя-(се)	N;DEF;NEUT;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
gjenopprettet	възстановени	gjenopprett	възстановя-(се)	N;DEF;NEUT;SG	V;PFV;INDF;PL;V.PTCP;PASS
gjenopprettet	възстановена	gjenopprett	възстановя-(се)	N;DEF;NEUT;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
gjenopprettet	възстановено	gjenopprett	възстановя-(се)	N;DEF;NEUT;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
gjenopprettet	възстановен	gjenopprett	възстановя-(се)	N;DEF;NEUT;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
gjenopprettet	възстановени	gjenopprett	възстановя-(се)	N;DEF;NEUT;SG	V;PFV;INDF;PL;V.PTCP;PASS
gjenopprettet	възстановена	gjenopprett	възстановя-(се)	N;DEF;NEUT;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
forent	обединена	forent	обединя-(се)	N;INDF;MASC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
forent	единна	forent	единен	N;INDF;MASC;SG	ADJ;INDF;FEM;SG
forent	обединен	forent	обединя-(се)	N;INDF;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
forent	обединени	forent	обединя-(се)	N;INDF;MASC;SG	V;PFV;INDF;PL;V.PTCP;PASS
forent	обединена	forent	обединя-(се)	N;INDF;MASC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
forent	обединен	forent	обединя-(се)	N;INDF;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
forent	обединено	forent	обединя-(се)	N;INDF;MASC;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
utenlandsk	чужди	utenlandsk	чужд	ADJ;INDF;SG	ADJ;INDF;PL
utenlandsk	чуждестранни	utenlandsk	чуждестранен	ADJ;INDF;SG	ADJ;INDF;PL
utenlandsk	чужденец	utenlandsk	чужденец	ADJ;INDF;SG	N;INDF;MASC;SG
federation	федерацията	federation	федерация	N;INDF;MASC;SG	N;DEF;FEM;SG
isaac	айзък	isaac	айзък	N;INDF;MASC;SG	PROPN;INDF;MASC;SG
phillips	филипс	phillips	филипс	N;INDF;MASC;SG	PROPN;INDF;MASC;SG
gata	улица	gate	улица	N;DEF;FEM;SG	N;INDF;FEM;SG
gata	стрийт	gate	стрийт	N;DEF;FEM;SG	N;INDF;MASC;SG
gata	street	gate	street	N;DEF;FEM;SG	PROPN;INDF;MASC;SG
powell	пауъл	powell	пауъл	N;INDF;MASC;SG	PROPN;INDF;MASC;SG
albumene	албуми	albume	албум	N;DEF;FEM;PL	N;INDF;MASC;PL
personlighet	личността	personlighet	личност	N;INDF;FEM;SG	N;DEF;FEM;SG
tidsskrifter	списанията	tidsskrift	списание	N;INDF;FEM;PL	N;DEF;NEUT;PL
stanset	спрян	stanse	спра-(се)	N;DEF;NEUT;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
stanset	спряна	stanse	спра-(се)	N;DEF;NEUT;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
stanset	спря	stanse	спра-(се)	N;DEF;NEUT;SG	V;PFV;IND;SG;3;PST;FIN;ACT
sakte	бавно	sakte	бавно	ADJ;INDF;NEUT;SG	ADV
halve	наполовина	halv	наполовина	ADJ;DEF;SG	ADV
halve	половината	halv	половина	ADJ;DEF;SG	N;DEF;FEM;SG
skritt	стъпала	skritt	стъпало	N;INDF;NEUT;SG	N;INDF;NEUT;PL
skritt	стъпки	skritt	стъпка	N;INDF;NEUT;SG	N;INDF;FEM;PL
skritt	стълби	skritt	стълба	N;INDF;NEUT;SG	N;INDF;FEM;PL
skritt	крачки	skritt	крачка	N;INDF;NEUT;SG	N;INDF;FEM;PL
organisk	органични	organisk	органичен	ADJ;INDF;NEUT;SG	ADJ;INDF;PL
organisk	органично	organisk	органичен	ADJ;INDF;NEUT;SG	ADV
søsteren	сестра	søster	сестра	N;DEF;MASC;SG	N;INDF;FEM;SG
rot	корени	rot	корен	N;INDF;NEUT;SG	N;INDF;MASC;PL
palmer	палмър	palme	палмър	N;INDF;FEM;SG	PROPN;INDF;MASC;SG
jennifer	дженифър	jennif	дженифър	N;INDF;MASC;SG	N;INDF;FEM;PL
kjerne	ядро	kjerne	ядро	N;INDF;MASC;SG	ADV
kjerne	ядрото	kjerne	ядро	N;INDF;MASC;SG	ADJ;DEF;NEUT;SG
kjerne	ядрото	kjerne	ядро	N;INDF;MASC;SG	ADJ;DEF;NEUT;SG
dømte	осъждан	dømme	осъждам	ADJ;PL;V.PTCP	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
dømte	осъден	dømme	осъдя	ADJ;PL;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
dømte	осъдени	dømme	осъдя	ADJ;PL;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
dømte	съден	dømme	съден	ADJ;PL;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
dømte	съдена	dømme	съден	ADJ;PL;V.PTCP	ADJ;INDF;FEM;SG
opplevd	опитни	oppleve	опитен	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;INDF;PL
made	направена	made	направя-(се)	N;INDF;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
made	направено	made	направя-(се)	N;INDF;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
made	направен	made	направя-(се)	N;INDF;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
made	направени	made	направя-(се)	N;INDF;SG	V;PFV;INDF;PL;V.PTCP;PASS
skuespillerinnen	актриса	skuespillerinn	актриса	N;DEF;MASC;SG	N;INDF;FEM;SG
skuespillerinnen	актриси	skuespillerinn	актриса	N;DEF;MASC;SG	N;INDF;FEM;PL
opprettholdt	поддържан	oppretthold	поддържам	N;INDF;NEUT;SG	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
opprettholdt	поддържани	oppretthold	поддържам	N;INDF;NEUT;SG	V;IPFV;INDF;PL;V.PTCP;PASS
opprettholdt	поддържана	oppretthold	поддържам	N;INDF;NEUT;SG	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
leon	лион	leon	лион	N;INDF;NEUT;SG	PROPN;INDF;MASC;SG
leon	леон	leon	леон	N;INDF;NEUT;SG	PROPN;INDF;MASC;SG
jenny	джени	jenny	джен	N;INDF;FEM;SG	PROPN;INDF;FEM;SG
