پِدر	father	پِدر	father	PROPN;NOM;MASC;SG;3	N;SG
پدرکشی	patricide	پدرکشی	patricide	PROPN;NOM;MASC;SG;3	PROPN;SG
پِدرانہ	fatherly	پِدرانہ	fatherly	PROPN;NOM;MASC;SG;3	ADJ
پِدرانہ	paternal	پِدرانہ	paternal	PROPN;NOM;MASC;SG;3	N;SG
پدرُود	departure	پدرُود	departure	PROPN;NOM;MASC;SG;3	N;SG
پدرُود	farewell	پدرُود	farewell	PROPN;NOM;MASC;SG;3	N;SG
پدرُود	dismissal	پدرُود	dismissal	PROPN;NOM;MASC;SG;3	N;SG
پدک	medal	پدک	medal		N;SG
پدک	step	پدک	step		N;SG
پدک	office	پدک	office		N;SG
پدک	badge	پدک	badge		N;SG
پدک	position	پدک	position		N;SG
پدِک	footman	پدِک	footman	PROPN;NOM;MASC;SG;3	N;SG
پدِک	pedestrian	پدِک	pedestrian	PROPN;NOM;MASC;SG;3	N;SG
پدما	beautiful	پدما	beautiful	PROPN;NOM;MASC;SG;3	ADJ
پدمنی	lotus	پدمنی	lotus	PROPN;NOM;MASC;SG;3	PROPN;SG
پدنا	tire	پدنا	tire	PROPN;NOM;MASC;SG;3	N;SG
پدنی	prostitute	پدنی	prostitute	PROPN;NOM;MASC;SG;3	N;SG
پدوی	road	پدوی	road	PROPN;NOM;MASC;SG;3	N;SG
پدوی	opportunity	پدوی	opportunity	PROPN;NOM;MASC;SG;3	N;SG
پدوی	path	پدوی	path	PROPN;NOM;MASC;SG;3	N;SG
پدوی	place	پدوی	place	PROPN;NOM;MASC;SG;3	N;SG
پدوی	surname	پدوی	surname	PROPN;NOM;MASC;SG;3	N;SG
پدوی	status	پدوی	status	PROPN;NOM;MASC;SG;3	N;SG
پدوی	title	پدوی	title	PROPN;NOM;MASC;SG;3	N;SG
پدوی	way	پدوی	way	PROPN;NOM;MASC;SG;3	N;SG
پِدّی	cowardly	پِدّی	cowardly	PROPN;NOM;MASC;SG;3	ADJ
پدِید	public	پدِید	public	PROPN;NOM;MASC;SG;3	ADJ
پدِید	open	پدِید	open	PROPN;NOM;MASC;SG;3	ADJ
پدِید	manifest	پدِید	manifest	PROPN;NOM;MASC;SG;3	V;IMP;FIN
پدِید	visible	پدِید	visible	PROPN;NOM;MASC;SG;3	ADJ
پدِید	conspicuous	پدِید	conspicuous	PROPN;NOM;MASC;SG;3	ADJ
پدِید	evident	پدِید	evident	PROPN;NOM;MASC;SG;3	ADJ
پدِید	clear	پدِید	clear	PROPN;NOM;MASC;SG;3	ADJ
پدِیدار	apparent	پدِیدار	apparent	PROPN;NOM;MASC;SG;3	ADJ
پدھارنا	proceed	پدھارنا	proceed	PROPN;NOM;MASC;SG;3	V;IMP;FIN
پدھارنا	depart	پدھارنا	depart	PROPN;NOM;MASC;SG;3	V;IMP;FIN
پدھارنا	arrive	پدھارنا	arrive	PROPN;NOM;MASC;SG;3	V;IMP;FIN
پدّھی	piggyback	پدّھی	piggyback	PROPN;NOM;MASC;SG;3	N;SG
پڈّا	calf	پڈّا	calf	PROPN;NOM;MASC;SG;3	N;SG
پذیر	taking	پذیر	take	ADJ	V;V.MSDR
پذیر	receiving	پذیر	receive	ADJ	V;V.MSDR
پذیر	accepting	پذیر	accept	ADJ	V;V.MSDR
پذیرا	acceptable	پذیرا	acceptable	PROPN;NOM;MASC;SG;3	ADJ
پذیرا	accepted	پذیرا	accept	PROPN;NOM;MASC;SG;3	V;PST;V.PTCP
پذیرا	approved	پذیرا	approve	PROPN;NOM;MASC;SG;3	V;PST;V.PTCP
پذیرائی	welcome	پذیرائی	welcome	N;NOM;FEM;SG;3	ADJ
پذیرائی	welcome	پذیرائی	welcome	N;NOM;FEM;SG;3	ADJ
پذیرُفتہ	accepted	پذیرُفتہ	accept	N;NOM;MASC;SG;3	V;PST;V.PTCP
پذیرُفتہ	approved	پذیرُفتہ	approve	N;NOM;MASC;SG;3	V;PST;V.PTCP
پذیری	taking	پذیری	take	ADJ	V;V.MSDR
پر	hostile	پر	hostile	ADP	ADJ
پر	last	پر	last	ADP	ADJ
پر	previous	پر	previous	ADP	ADJ
پر	beyond	پر	beyond	ADP	ADV
پر	distant	پر	distant	ADP	ADJ
پر	yet	پر	yet	ADP	ADV
پر	feather	پر	feather	ADP	N;SG
پر	still	پر	still	ADP	ADV
پر	quill	پر	quill	ADP	PROPN;SG
پر	subsequent	پر	subsequent	ADP	ADJ
پر	but	پر	but	ADP	CONJ
پر	another	پر	another	ADP	DET
پر	after	پر	after	ADP	ADV
پر	strength	پر	strength	ADP	N;SG
پر	for	پر	for	ADP	
پر	pinion	پر	pinion	ADP	N;SG
پر	support	پر	support	ADP	N;SG
پر	alien	پر	alien	ADP	ADJ
پر	power	پر	power	ADP	N;SG
پر	foreign	پر	foreign	ADP	ADJ
پر	other	پر	other	ADP	ADJ
پر	upon	پر	upon	ADP	ADV
پر	else	پر	else	ADP	ADV
پر	hostile	پر	hostile	ADP	ADJ
پر	last	پر	last	ADP	ADJ
پر	previous	پر	previous	ADP	ADJ
پر	beyond	پر	beyond	ADP	ADV
