орбиту	orbit	орбита	orbit	N;INAN;ACC;FEM;SG	PROPN;SG
теоретической	theoretisches	теоретический	theoretisch	ADJ;INS;FEM;SG	ADJ;NOM;NEUT;SG
теоретической	theoretische	теоретический	theoretisch	ADJ;INS;FEM;SG	ADJ;NOM;FEM;PL
существа	lebewesen	существо	lebewesen	N;INAN;NOM;NEUT;PL	
существа	wesen	существо	wesen	N;INAN;NOM;NEUT;PL	N;NOM;NEUT;SG
кремля	kreml	кремль	kreml	N;INAN;GEN;MASC;SG	
даны	dana	дать	dana	V;PFV;PL;PST;V.PTCP;PASS	PROPN;NOM;SG
широкие	breiten	широкий	breit	ADJ;NOM;PL	ADJ;SG
широкие	breiten	широкий	breit	ADJ;NOM;PL	ADJ;SG
широкие	wide	широкий	wide	ADJ;NOM;PL	
широкие	breite	широкий	breit	ADJ;NOM;PL	ADJ;NOM;FEM;SG
воспитание	erziehen	воспитание	erziehen	N;INAN;NOM;NEUT;SG	V;NFIN
воспитание	kindererziehung	воспитание	kindererziehung	N;INAN;NOM;NEUT;SG	ADJ
воспитание	eltern	воспитание	eltern	N;INAN;NOM;NEUT;SG	
заметки	notizen	заметка	notiz	N;INAN;NOM;FEM;PL	V;NFIN
заметки	anmerkungen	заметка	anmerkingen	N;INAN;NOM;FEM;PL	V;NFIN
заметки	bemerkungen	заметка	bemerkungen	N;INAN;NOM;FEM;PL	V;NFIN
обсерватория	informationsstelle	обсерватория	informationsstelle	N;INAN;NOM;FEM;SG	ADJ;NOM;FEM;PL
обсерватория	observatorium	обсерватория	observatorium	N;INAN;NOM;FEM;SG	ADJ
обсерватория	beobachtungsstelle	обсерватория	beobachtungsstelle	N;INAN;NOM;FEM;SG	ADJ;NOM;FEM;PL
обсерватория	sternwarte	обсерватория	sternwart	N;INAN;NOM;FEM;SG	ADJ;NOM;FEM;SG
стояли	stand	стоять	stehen	V;IPFV;IND;PL;PST;FIN;ACT	V;IND;SG;3;PST;FIN
получено	erhaltene	получить	erhalten	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;NOM;FEM;PL
получено	erhalten	получить	erhalten	V;PFV;NEUT;SG;PST;V.PTCP;PASS	ADJ;V.PTCP
стандарты	normen	стандарт	normen	N;INAN;NOM;MASC;PL	V;NFIN
климата	klima	климат	klima	N;INAN;GEN;MASC;SG	PROPN
климата	klimawandel	климат	klimawandel	N;INAN;GEN;MASC;SG	
барри	barry	барри	barry	N;ANIM;NOM;MASC;SG	PROPN;SG
ранняя	anfang	ранний	anfang	ADJ;NOM;FEM;SG	N;ACC;MASC;SG
ранняя	early	ранний	early	ADJ;NOM;FEM;SG	PROPN
стрелки	pfeile	стрелка	pfeil	N;INAN;NOM;FEM;PL	
стрелки	pfeile	стрелка	pfeil	N;INAN;NOM;FEM;PL	
стрелки	pfeil	стрелка	pfeil	N;INAN;NOM;FEM;PL	
стрелки	arrow	стрелка	arrow	N;INAN;NOM;FEM;PL	PROPN;NOM;MASC;SG
стрелки	schützen	стрелка	schützen	N;INAN;NOM;FEM;PL	V;NFIN
особенность	merkmal	особенность	merkmal	N;INAN;NOM;FEM;SG	ADJ
особенность	feature	особенность	featur	N;INAN;NOM;FEM;SG	
эгидой	schirmherrschaft	эгида	schirmherrschaft	N;INAN;INS;FEM;SG	ADJ
пауль	paulus	пауль	paulus	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
пауль	paul	пауль	paul	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
одежду	bekleidung	одежда	bekleidung	N;INAN;ACC;FEM;SG	
одежду	kleidung	одежда	kleidung	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
одежду	kleider	одежда	kleider	N;INAN;ACC;FEM;SG	ADJ
одежду	bekleidung	одежда	bekleidung	N;INAN;ACC;FEM;SG	
одежду	kleidung	одежда	kleidung	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
одежду	klamotten	одежда	klamott	N;INAN;ACC;FEM;SG	V;NFIN
одежду	kleider	одежда	kleider	N;INAN;ACC;FEM;SG	ADJ
ветеран	veteranen	ветеран	veteranen	N;ANIM;NOM;MASC;SG	ADJ
ветеран	veteran	ветеран	veteran	N;ANIM;NOM;MASC;SG	PROPN
ветеран	tierarzt	ветеран	tierarzt	N;ANIM;NOM;MASC;SG	
ветеран	berufsbildung	ветеран	berufsbildung	N;ANIM;NOM;MASC;SG	
эффективно	effizient	эффективно	effizient	ADV	ADJ
эффективно	effizienten	эффективно	effizient	ADV	ADJ;PL
эффективно	effizientes	эффективно	effizient	ADV	ADJ;NOM;NEUT;SG
эффективно	effiziente	эффективно	effizient	ADV	ADJ;NOM;SG
эффективно	wirksam	эффективно	wirksam	ADV	ADJ
эффективно	effektiver	эффективно	effektiv	ADV	ADJ
эффективно	effektive	эффективно	effektiv	ADV	ADJ;NOM;FEM;PL
эффективно	effektiv	эффективно	effektiv	ADV	ADJ
эффективно	wirksame	эффективно	wirksam	ADV	ADJ;NOM;FEM;PL
эффективно	effizient	эффективно	effizient	ADV	ADJ
веру	glaube	вера	glauben	N;INAN;ACC;FEM;SG	
веру	vertrauen	вера	vertrauen	N;INAN;ACC;FEM;SG	V;NFIN
веру	glauben	вера	glauben	N;INAN;ACC;FEM;SG	V;NFIN
веру	glaubens	вера	glaubens	N;INAN;ACC;FEM;SG	N;NOM;NEUT;PL
боксёр	boxer	боксёр	boxer	N;ANIM;NOM;MASC;SG	ADJ
охрана	sicherheits	охрана	sicherheits	N;INAN;NOM;FEM;SG	ADJ
охрана	sicherheitspolitik	охрана	sicherheitspolitik	N;INAN;NOM;FEM;SG	ADJ
охрана	schutzmaßnahmen	охрана	schutzmaßnahmen	N;INAN;NOM;FEM;SG	V;NFIN
охрана	guard	охрана	guard	N;INAN;NOM;FEM;SG	PROPN
охрана	bewachung	охрана	bewachung	N;INAN;NOM;FEM;SG	
охрана	wachen	охрана	wachen	N;INAN;NOM;FEM;SG	V;NFIN
охрана	wächter	охрана	wacht	N;INAN;NOM;FEM;SG	ADJ
охрана	wache	охрана	wach	N;INAN;NOM;FEM;SG	
императрица	kaiserin	императрица	kaiserin	N;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
ломоносова	lomonossow	ломоносов	lomonossow	N;INAN;NOM;MASC;SG	ADJ
огромные	immens	огромный	immens	ADJ;NOM;PL	ADV
либретто	libretto	либретто	libretto	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
франков	franc	франк	franc	N;INAN;GEN;MASC;PL	
франков	franken	франк	franken	N;INAN;GEN;MASC;PL	N;NOM;FEM;PL
франков	francs	франк	francs	N;INAN;GEN;MASC;PL	
парламентских	parlamentarische	парламентский	parlamentarisch	ADJ;GEN;PL	ADJ;NOM;FEM;PL
парламентских	parlamentarischen	парламентский	parlamentarisch	ADJ;GEN;PL	ADJ;NOM;PL
оби	obi	оба	obi	N;INAN;NOM;MASC;SG	
украину	ukraine	украина	ukrain	N;INAN;ACC;FEM;SG	PROPN;NOM;SG
нормальный	normale	нормальный	normal	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
