von	from	von	from	ADP	
das	bu	der	bu	PRO;NOM;NEUT;SG	
das	bunu	der	bu	PRO;NOM;NEUT;SG	PRO;ACC;SG;3
das	bu	der	bu	PRO;NOM;NEUT;SG	
das	bunu	der	bu	PRO;NOM;NEUT;SG	PRO;ACC;SG;3
das	das	der	das	PRO;NOM;NEUT;SG	
des	des	der	des	DET;GEN;DEF;NEUT;SG	PROPN;NOM;SG;3
mit	kullanıyor	mit	kullan	ADP	V;PROG;IND;SG;3;POS;INFM;PRS
mit	kullanımı	mit	kullanım	ADP	N;NOM;SG;3
mit	kullanmak	mit	kullan	ADP	V;PFV;NOM;IND;POS;PRS;V.MSDR
mit	kullanma	mit	kullan	ADP	
mit	kullanarak	mit	kullan	ADP	V;PFV;IND;POS;PRS;V.CVB
mit	with	mit	with	ADP	
mit	ile	mit	ile	ADP	
mit	mit	mit	mit	ADP	
für	icin	für	icin	ADP	
für	için	für	için	ADP	
ein	biri	ein	biri	ADV	PRO;NOM;SG;3
ein	bir	ein	bir	ADV	
ein	ein	ein	ein	ADV	INTJ
als	als	als	als	ADP	
eine	biri	ein	biri	DET;NOM;INDF;FEM;SG	PRO;NOM;SG;3
eine	bir	ein	bir	DET;NOM;INDF;FEM;SG	
auch	hatta	auch	hatta	ADV	CONJ
auch	ayrica	auch	ayrica	ADV	
auch	ayrıca	auch	ayrıca	ADV	
nicht	olmaz	nicht	ol	PART;NEG	V;IPFV;IND;SG;3;NEG
nicht	değil	nicht	değil	PART;NEG	
nach	sonrası	nach	sonra	ADP	
nach	ardından	nach	ardından	ADP	ADV
nach	sonrasında	nach	sonra	ADP	N;ESS;SG;3
nach	sonra	nach	sonra	ADP	ADV
bei	bei	bei	bei	ADP	
aus	aus	aus	aus	ADP	
aus	from	aus	from	ADP	
aus	dışarı	aus	dışarı	ADP	
sie	sen	sie	sen	PRO;NOM;FEM;SG;3	PRO;NOM;SG;2
sie	seni	sie	sen	PRO;NOM;FEM;SG;3	PRO;ACC;SG;2
sie	siz	sie	siz	PRO;NOM;FEM;SG;3	PRO;NOM;PL;2
sie	onlar	sie	o	PRO;NOM;FEM;SG;3	PRO;NOM;PL;3
bis	bekleniyor	bis	bekle	ADP	V;PROG;IND;SG;3;POS;INFM;PRS;PASS
bis	beklemede	bis	bekle	ADP	V;PFV;ESS;IND;POS;PRS;V.MSDR
bis	bekleyen	bis	bekle	ADP	V;PFV;IND;POS;PRS;V.PTCP
einer	bir	ein	bir	PRO;NOM;INDF;MASC;SG	
werden	will	werden	will	V;NFIN;PASS	
werden	haline	werden	hal	V;NFIN;PASS	N;DAT;SG;3
werden	olmak	werden	ol	V;NFIN;PASS	V;PFV;NOM;IND;POS;PRS;V.MSDR
oder	oder	oder	oder	CONJ	
wird	will	werden	will	V;IND;SG;3;PRS;FIN;PASS	
durch	aracılığıyla	durch	aracılık	ADP	N;INS;SG;3
durch	yoluyla	durch	yol	ADP	N;INS;SG;3
durch	geçerek	durch	geç	ADP	V;PFV;IND;POS;PRS;V.CVB
score	puan	scoren	pu	PROPN	
score	skor	scoren	skor	PROPN	
score	sayı	scoren	say	PROPN	
einen	biri	ein	biri	PRO;ACC;INDF;MASC;SG	PRO;NOM;SG;3
einen	bir	ein	bir	PRO;ACC;INDF;MASC;SG	
dass	bu	dass	bu	CONJ	
dass	bunu	dass	bu	CONJ	PRO;ACC;SG;3
über	hakkında	über	hak	ADP	N;ESS;SG;3
über	yaklaşık	über	yaklaşık	ADP	
über	aracılığıyla	über	aracılık	ADP	N;INS;SG;3
über	via	über	via	ADP	PROPN;NOM;SG;3
über	yoluyla	über	yol	ADP	N;INS;SG;3
über	üzerinden	über	üzer	ADP	N;AT+ABL;SG;3
über	üzeri	über	üzer	ADP	
über	bitti	über	bit	ADP	V;PFV;IND;SG;3;POS;PST
über	yukarıdaki	über	yukarıdakiki	ADP	
über	yukarıda	über	yukarı	ADP	ADJ;ESS;SG;3
über	üzeri	über	üzer	ADP	
über	üstünde	über	üst	ADP	ADJ;ESS;SG;3
über	üstü	über	üst	ADP	
über	yukarda	über	yukar	ADP	
aber	fakat	aber	fakat	CONJ	
wie	nasil	wie	nasil	ADP	
wie	nası	wie	nası	ADP	
wie	nasıl	wie	nasıl	ADP	
wie	wie	wie	wie	ADP	
wie	like	wie	like	ADP	
wie	beğen	wie	beğen	ADP	
wie	gibi	wie	gibi	ADP	
nur	nur	nur	nur	ADV	
nur	just	nur	just	ADV	
noch	hâlâ	noch	hul	ADV	
noch	halen	noch	halen	ADV	
noch	henüz	noch	henüz	ADV	
