que	ka	que	ka	PRO	
o	kas	o	kas	DET	PRO;NOM
o	kāda	o	kāda	DET	PRO;NOM;FEM;SG
o	kāds	o	kāds	DET	PRO;NOM;MASC;SG
o	ko	o	kas	DET	PRO;ACC
non	nav	non	nebūt	PART	V;FH;IND;3;NEG;PRS;FIN;ACT
non	dons	non	dons	PART	PROPN;NOM;MASC;SG
non	don	non	don	PART	
un	viens	un	viens	DET	NUM;NOM;MASC;SG
un	viena	un	viena	DET	NUM;NOM;FEM;SG
un	vienu	un	viens	DET	NUM;ACC;MASC;SG
unha	viens	un	viens	DET	NUM;NOM;MASC;SG
unha	viena	un	viena	DET	NUM;NOM;FEM;SG
unha	vienu	un	viens	DET	NUM;ACC;MASC;SG
se	tu	se	tu	CONJ	PRO;NOM;SG;2
se	tevi	se	tu	CONJ	PRO;ACC;SG;2
se	jums	se	jūs	CONJ	PRO;DAT;PL;2
se	tev	se	tu	CONJ	PRO;DAT;SG;2
se	jūs	se	jūs	CONJ	PRO;NOM;PL;2
para	par	para	par	ADP	
para	for	para	for	ADP	
por	par	por	par	ADP	
por	for	por	for	ADP	
por	kapēc	por	kapēc	ADP	
por	kādēļ	por	kādēļ	ADP	ADV
por	kāpēc	por	kāpēc	ADP	ADV
por	lūdzu	por	lūdzu	ADP	INTJ
por	ludzu	por	ludzu	ADP	V;FH;IND;SG;1;POS;PRS;FIN;ACT
do	no	do	no	PROPN	
da	no	da	no	V	
como	kā	como	kā	PRO	ADV
como	patīk	como	patikt	PRO	V;FH;IND;3;POS;PRS;FIN;ACT
como	like	como	like	PRO	
máis	vairak	máis	vairāk	ADV	
máis	vairums	máis	vairums	ADV	N;NOM;MASC;SG
máis	than	máis	than	ADV	
máis	nekā	máis	nekas	ADV	PRO;GEN;MASC;SG
ben	laba	ben	laba	ADV	ADJ;NOM;FEM;SG
ben	labas	ben	laba	ADV	ADJ;NOM;FEM;PL
ben	labs	ben	labs	ADV	ADJ;NOM;MASC;SG
ben	labais	ben	labs	ADV	ADJ;NOM;MASC;SG
ben	nu	ben	nu	ADV	INTJ
ben	tiesības	ben	tiesības	ADV	N;NOM;FEM
ben	labās	ben	laba	ADV	ADJ;NOM;FEM;PL
ben	visiem	ben	viss	ADV	PRO;DAT;MASC;PL
ben	visu	ben	viss	ADV	PRO;ACC;MASC;SG
ben	visas	ben	visa	ADV	PRO;NOM;FEM;PL
ben	visi	ben	viss	ADV	PRO;NOM;MASC;PL
ben	visa	ben	viss	ADV	PRO;NOM;FEM;SG
si	jā	si	jā	ADV	PART
si	jā	si	jā	ADV	PART
son	viņi	ser	viņš	V	PRO;NOM;MASC;PL;3
son	tie	ser	tas	V	PRO;NOM;MASC;PL
son	tās	ser	tā	V	PRO;NOM;FEM;PL
iso	ka	iso	ka	PRO	
hai	tur	haber	tur	V	ADV
todo	visiem	todo	viss	DET	PRO;DAT;MASC;PL
todo	visu	todo	viss	DET	PRO;ACC;MASC;SG
todo	visas	todo	visa	DET	PRO;NOM;FEM;PL
todo	visi	todo	viss	DET	PRO;NOM;MASC;PL
todo	visa	todo	viss	DET	PRO;NOM;FEM;SG
todo	viss	todo	viss	DET	PRO;NOM;MASC;SG
todo	visam	todo	viss	DET	PRO;DAT;MASC;SG
todo	visu	todo	viss	DET	PRO;ACC;MASC;SG
cando	kad	cando	kad	PRO	ADV
xa	tu	xa	tu	ADV	PRO;NOM;SG;2
xa	tevi	xa	tu	ADV	PRO;ACC;SG;2
xa	jums	xa	jūs	ADV	PRO;DAT;PL;2
xa	tev	xa	tu	ADV	PRO;DAT;SG;2
xa	jūs	xa	jūs	ADV	PRO;NOM;PL;2
xa	zinu	xa	zināt	ADV	V;FH;IND;SG;1;POS;PRS;FIN;ACT
xa	zinām	xa	zināt	ADV	V;FH;IND;PL;1;POS;PRS;FIN;ACT
xa	zināt	xa	zināt	ADV	V;POS;NFIN
dos	no	dos	no	PROPN	
ti	tu	ti	tu		PRO;NOM;SG;2
ti	tevi	ti	tu		PRO;ACC;SG;2
ti	jums	ti	jūs		PRO;DAT;PL;2
ti	tev	ti	tu		PRO;DAT;SG;2
ti	jūs	ti	jūs		PRO;NOM;PL;2
só	tikai	só	tikai	ADV	PART
só	tikai	só	tikai	ADV	PART
súa	viņa	seu	viņa	DET	PRO;NOM;FEM;SG;3
súa	viņai	seu	viņa	DET	PRO;DAT;FEM;SG;3
súa	viņas	seu	viņa	DET	PRO;NOM;FEM;PL;3
súa	viņu	seu	viņš	DET	PRO;ACC;MASC;SG;3
súa	tās	seu	tā	DET	PRO;NOM;FEM;PL
súa	tavas	seu	tava	DET	PRO;NOM;FEM;PL;3
súa	tavu	seu	tava	DET	PRO;ACC;SG;3
