loại	skriv	loại	skrive	N	V;IMP;FIN
được	oki	được	oki	V	N;INDF;MASC;SG
một	one	một	one	NUM	
một	en	một	en	NUM	
một	ett	một	ett	NUM	
một	én	một	én	NUM	
năm	årevis	năm	årevis	N	ADV
năm	fem	năm	fem	N	NUM;PL
của	ditt	của	din	ADP	PRO;NEUT;SG
của	din	của	din	ADP	PRO;MASC;SG
của	dine	của	din	ADP	PRO;PL
các	du	các	du	DET	PRO;HUM;NOM;SG;2
các	deg	các	du	DET	PRO;HUM;ACC;SG;2
này	this	này	this	PROPN	
này	dette	này	dette	PROPN	PRO;NEUT;SG;3
này	denne	này	denne	PROPN	PRO;SG;3
này	detta	này	dette	PROPN	PRO;NEUT;SG;3
này	hei	này	hei	PROPN	N;INDF;MASC;SG
vật	dyrisk	vật	dyrisk	N	ADJ;INDF;NEUT;SG
thích	likt	thích	lik	V	ADJ;INDF;NEUT;SG
thích	som	thích	som	V	ADP
thích	like	thích	lik	V	ADJ;SG
thích	likes	thích	like	V	N;INDF;MASC;SG
học	studie	học	studium	V	N;INDF;MASC;SG
học	skolen	học	skole	V	N;DEF;MASC;SG
học	skole	học	skole	V	N;INDF;MASC;SG
học	skulen	học	skule	V	N;DEF;MASC;SG
học	skule	học	skule	V	N;INDF;MASC;SG
học	læring	học	læring	V	N;INDF;FEM;SG
học	learn	học	learn	V	N;INDF;MASC;SG
học	lære	học	lære	V	N;INDF;FEM;SG
học	lær	học	lær	V	N;INDF;NEUT;SG
thực	real	thực	real	V	N;INDF;MASC;SG
thực	ekte	thực	ekte	V	ADJ;INDF;NEUT;SG
thực	reelt	thực	reell	V	ADJ;INDF;NEUT;SG
thực	egentlig	thực	egentlig	V	ADJ;INDF;NEUT;SG
thực	faktisk	thực	faktisk	V	ADJ;INDF;NEUT;SG
thực	autentiske	thực	autentisk	V	ADJ;PL
thực	autentisk	thực	autentisk	V	ADJ;INDF;NEUT;SG
thực	egentlig	thực	egentlig	V	ADJ;INDF;NEUT;SG
thực	virkelig	thực	virkelig	V	ADJ;INDF;NEUT;SG
liên	lien	liên	lien		N;DEF;MASC;SG
tham	joint	tham	join	V	N;INDF;MASC;SG
tham	tham	tham	tham	V	N;INDF;MASC;SG
đầu	første	đầu	første	N	ADJ;DEF;SG
đầu	først	đầu	først	N	ADV
ngoài	utafor	ngoài	utafor	N	ADP
ngoài	ute	ngoài	ute	N	ADP
ngoài	ytre	ngoài	ytre	N	ADJ;CMPR
thành	cheng	thành	cheng	V	N;INDF;MASC;SG
thành	kastellet	thành	kastell	V	N;DEF;NEUT;SG
khoa	vitenskap	khoa	vitenskap		N;INDF;MASC;SG
khoa	naturvitenskap	khoa	naturvitenskap		N;INDF;MASC;SG
khoa	fakultet	khoa	fakultet		N;INDF;NEUT;SG
với	with	với	with	ADP	N
cho	cho	cho	cho	V	N
cho	for	cho	for	V	ADP
cho	give	cho	give	V	N;INDF;MASC;SG
không	ikke	không	ikke	;NEG	
không	not	không	not	;NEG	N;INDF;NEUT;SG
không	ikkje	không	ikkje	;NEG	PART;NEG
không	niks	không	niks	;NEG	N;INDF;MASC;SG
không	nope	không	nope	;NEG	N;INDF;MASC;SG
thuộc	høre	thuộc	høre	V	N;INDF;MASC;SG
hoa	united	hoa	unite	N	ADJ;INDF;SG
những	desse	những	desse	DET	PRO;PL;3
những	disse	những	disse	DET	N;INDF;NEUT;SG
những	de	những	de	DET	PRO;HUM;NOM;PL;2
những	de	những	de	DET	PRO;HUM;NOM;PL;2
những	they	những	they	DET	N
nam	mannlige	nam	mannlig	N	ADJ;PL
nam	mannlig	nam	mannlig	N	ADJ;INDF;NEUT;SG
nam	sør	nam	sør	N	ADP
nam	south	nam	south	N	PROPN
công	angrip	công	angrip	N	V;IND;PRS;FIN
công	angriper	công	angripe	N	V;IND;PRS;FIN
công	offentleg	công	offentleg	N	ADJ;INDF;NEUT;SG
công	offentlige	công	offentlige	N	ADJ;PL
công	offentlig	công	offentlig	N	ADJ;INDF;NEUT;SG
chính	even	chính	even	PART	N;INDF;MASC;SG
chính	selv	chính	selv	PART	
chính	tilogmed	chính	tilogmed	PART	N;INDF;MASC;SG
chính	sjølv	chính	sjølv	PART	ADV
chính	own	chính	own	PART	N
chính	eget	chính	eget	PART	N;INDF;NEUT;SG
chính	eie	chính	ein	PART	N;INDF;MASC;SG
chính	egen	chính	eigen	PART	N;INDF;MASC;SG
chính	primære	chính	primær	PART	ADJ;PL
chính	primærvalg	chính	primærvalg	PART	N;INDF;NEUT;SG
chính	primær	chính	primær	PART	N;INDF;MASC;SG
chính	main	chính	main	PART	N;INDF;NEUT;SG
chính	hoved	chính	hoved	PART	N;INDF;MASC;SG
động	dynamisk	động	dynamisk	V	ADJ;INDF;NEUT;SG
động	dynamiske	động	dynamisk	V	ADJ;PL
động	automatisk	động	automatisk	V	ADJ;INDF;NEUT;SG
động	automatgir	động	automatgir	V	N;INDF;MASC;SG
động	automatisk	động	automatisk	V	ADJ;INDF;NEUT;SG
khi	when	khi	when	N	
khi	når	khi	når	N	ADV
đến	ankomsten	đến	ankomst	PART	N;DEF;MASC;SG
đến	ankomst	đến	ankomst	PART	N;INDF;MASC;SG
đến	ankom	đến	ankom	PART	N;INDF;MASC;SG
đến	kommet	đến	komme	PART	
đến	ankommet	đến	ankom	PART	N;DEF;NEUT;SG
đến	come	đến	come	PART	N;INDF;MASC;SG
đến	kom	đến	kome	PART	V;IMP;PST;FIN
đến	kommer	đến	kommer	PART	
đến	coming	đến	coming	PART	N
theo	theo	theo	theo	V	N;INDF;MASC;SG
theo	teo	theo	ta	V	N;INDF;MASC;SG
theo	follow	theo	follow	V	N;INDF;SG
theo	følge	theo	følgje	V	N;INDF;MASC;SG
theo	etter	theo	etter	V	ADP
theo	after	theo	after	V	N;INDF;NEUT;SG
theo	etterpå	theo	etterpå	V	ADV
theo	efter	theo	efter	V	
tỉnh	våken	tỉnh	våken	N	ADJ;INDF;SG
sau	etter	sau	etter	N	ADP
sau	etterpå	sau	etterpå	N	ADV
sau	efter	sau	efter	N	
sau	senere	sau	senere	N	
sau	seinare	sau	sein	N	ADJ;CMPR
trung	sentral	trung	sentral	N	ADJ;INDF;SG
trung	sentralt	trung	sentral	N	ADJ;INDF;NEUT;SG
trung	middle	trung	middle	N	PROPN
trung	midtre	trung	midtre	N	ADJ;CMPR
trên	ovenfor	trên	ovenfor		N;INDF;NEUT;SG
trên	over	trên	over		ADP
trên	above	trên	above		N
nhà	hjemme	nhà	hjemme	N	
nhà	heime	nhà	heime	N	ADP
như	som	như	som	CONJ	ADP
như	liker	như	like	CONJ	V;IND;PRS;FIN
như	like	như	lik	CONJ	ADJ;SG
nước	vann	nước	vinne	N	V;IND;PST;FIN
bản	nederlendere	bản	nederlendere	N	V;NFIN
bản	hollandsk	bản	hollandsk	N	ADJ;INDF;SG
làm	gjør	làm	gjør	V	
đại	store	đại	stor	N	ADJ;PL
đại	stor	đại	stor	N	ADJ;INDF;SG
đại	stort	đại	stor	N	ADJ;INDF;NEUT;SG
hiện	vise	hiện	vise	N	V;NFIN
