από	from	από	from	ADP	
με	with	με	with	ADP	
με	ile	με	ile	ADP	
που	hangi	που	hangi	PRO;ACC;NEUT;SG;3	ADJ
που	hangisi	που	hangi	PRO;ACC;NEUT;SG;3	
για	icin	για	icin	ADP	
για	için	για	için	ADP	
κατηγορία	kategori	κατηγορία	kategori	N;NOM;FEM;SG	
τους	onlar	μου	o	PRO;GEN;MASC;PL;3	PRO;NOM;PL;3
τους	onları	μου	o	PRO;GEN;MASC;PL;3	PRO;ACC;PL;3
ένα	biri	ένας	biri	NUM;NOM;NEUT;SG	PRO;NOM;SG;3
ένα	bir	ένας	bir	NUM;NOM;NEUT;SG	
ότι	bu	ότι	bu	CONJ	
ότι	bunu	ότι	bu	CONJ	PRO;ACC;SG;3
μια	biri	ένας	biri	NUM;NOM;FEM;SG	PRO;NOM;SG;3
μια	bir	ένας	bir	NUM;NOM;FEM;SG	
θα	will	θα	will	PART	
αλλά	fakat	αλλά	fakat	CONJ	
μετά	öyleyse	μετά	öyleyse	ADV	
μετά	ozaman	μετά	oza	ADV	
μετά	sonrası	μετά	sonra	ADV	
μετά	sonrasında	μετά	sonra	ADV	N;ESS;SG;3
επίσης	ayrica	επίσης	ayrica	ADV	
επίσης	ayrıca	επίσης	ayrıca	ADV	
όπως	like	όπως	like	ADV	
όπως	beğen	όπως	beğen	ADV	
όπως	gibi	όπως	gibi	ADV	
είχε	vardı	έχω	var	V;IPFV;IND;SG;3;PST;FIN;ACT	V;PFV;IND;SG;3;POS;PST
δύο	iki	δύο	iki	NUM;NOM;MASC;PL	
αυτό	bu	αυτός	bu	PRO;NOM;NEUT;SG;3	
αυτό	bunu	αυτός	bu	PRO;NOM;NEUT;SG;3	PRO;ACC;SG;3
αυτό	bu	αυτός	bu	PRO;NOM;NEUT;SG;3	
αυτό	bunu	αυτός	bu	PRO;NOM;NEUT;SG;3	PRO;ACC;SG;3
όπου	nereye	όπου	nere	ADV	PRO;DAT;SG;3
όπου	nerde	όπου	nere	ADV	
όπου	nere	όπου	nere	ADV	
όπου	nerede	όπου	nere	ADV	PRO;ESS;SG;3
μία	biri	ένας	biri	NUM;NOM;FEM;SG	PRO;NOM;SG;3
μία	bir	ένας	bir	NUM;NOM;FEM;SG	
μπορεί	can	μπορώ	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	
ομάδα	kadro	ομάδα	kadro	N;ACC;FEM;SG	
ομάδα	ekip	ομάδα	ekip	N;ACC;FEM;SG	
ομάδα	manga	ομάδα	manga	N;ACC;FEM;SG	
ομάδα	bölük	ομάδα	bölük	N;ACC;FEM;SG	
ομάδα	takım	ομάδα	takım	N;ACC;FEM;SG	
ομάδα	gurup	ομάδα	gur	N;ACC;FEM;SG	
ομάδα	grup	ομάδα	grup	N;ACC;FEM;SG	
ομάδα	grubu	ομάδα	grup	N;ACC;FEM;SG	
ομάδα	team	ομάδα	team	N;ACC;FEM;SG	
ομάδα	ekip	ομάδα	ekip	N;ACC;FEM;SG	
ομάδα	takım	ομάδα	takım	N;ACC;FEM;SG	
θέση	konum	θέση	konum	N;ACC;FEM;SG	N;NOM;SG;3
θέση	mevki	θέση	mevki	N;ACC;FEM;SG	
θέση	pozisyon	θέση	pozisyon	N;ACC;FEM;SG	
μεταξύ	arasında	μεταξύ	ara	ADP	ADJ;ESS;SG;3
μεταξύ	arasına	μεταξύ	ara	ADP	ADJ;DAT;SG;3
μεταξύ	arası	μεταξύ	ara	ADP	ADJ;NOM;SG;3
μεταξύ	arasındaki	μεταξύ	ara	ADP	ADJ;ESS;SG;3
χρόνια	kronik	χρόνος	kronik	N;NOM;NEUT;PL	
χρόνια	yıllarca	χρόνος	yıllarca	N;NOM;NEUT;PL	ADV
χρόνια	yıllardır	χρόνος	yıl	N;NOM;NEUT;PL	V;IPFV;IND;PL;3;POS
χρόνια	yılların	χρόνος	yıl	N;NOM;NEUT;PL	N;GEN;PL;3
χρόνια	seneler	χρόνος	sene	N;NOM;NEUT;PL	
πρώτη	öncelikle	πρώτος	öncelik	NUM;NOM;FEM;SG	N;INS;SG;3
πρώτη	önce	πρώτος	önce	NUM;NOM;FEM;SG	
πρώτη	ilk	πρώτος	ilk	NUM;NOM;FEM;SG	
πρώτη	once	πρώτος	once	NUM;NOM;FEM;SG	
πιο	devamı	πιο	devam	ADV	
πιο	more	πιο	more	ADV	
ένας	biri	ένας	biri	DET;NOM;INDF;MASC;SG	PRO;NOM;SG;3
ένας	bir	ένας	bir	DET;NOM;INDF;MASC;SG	
