xbox	xbox	xbox	xbox	N	PROPN
force	force	force	force	N	PROPN
force	memaksa	force	menpaksa	N	V;SG;ACT
force	paksakan	force	paksakan	N	V;SG;ACT
tramos	bagian	tramo	bagian	N;MASC;PL	N;SG
tramos	peregangan	tramo	peregangan	N;MASC;PL	N;SG
tramos	membentang	tramo	menbentang	N;MASC;PL	V;SG;ACT
tramos	ulurkan	tramo	ulurkan	N;MASC;PL	N;SG;ACT
contemporáneos	sezamannya	contemporáneo	sezaman	N;MASC;PL	N;SG
ken	ken	ken	ken	PROPN	PROPN
campeona	champ	campeona	champ	N;FEM;SG	PROPN
automáticamente	atis	automáticamente	atis	ADV	N
automáticamente	otomatis	automáticamente	otomatis	ADV	
centre	tengah	centre	tengah	N;MASC;SG	PROPN;SG
centre	centre	centre	centre	N;MASC;SG	PROPN
pacheco	pacheco	pacheco	pacheco	N;MASC;SG	PROPN
necesarias	diperlukan	necesario	diperlukan	ADJ;FEM;PL	V;SG;PASS
necesarias	perlu	necesario	perlu	ADJ;FEM;PL	V;SG;ACT
abraham	ibrahim	abraham	ibrahim	PROPN	PROPN;SG
abraham	abraham	abraham	abraham	PROPN	PROPN;SG
colaboradores	rekanan	colaborador	rekanan	N;MASC;PL	N;SG
colaboradores	mitra	colaborador	mitra	N;MASC;PL	N;SG
colaboradores	kolaborator	colaborador	kolaborator	N;MASC;PL	N;SG
colaboradores	kontributor	colaborador	kontributor	N;MASC;PL	N;SG
colaboradores	penyumbang	colaborador	pensumbang	N;MASC;PL	N;SG
lost	kalah	lost	kalah	N	V;SG
lost	tersesat	lost	tersesat	N	V;SG;PASS
lost	lost	lost	lost	N	PROPN
lost	hilang	lost	hilang	N	ADJ;SG
caras	mahalnya	cara	mahal	N;FEM;PL	N;SG
caras	mahal	cara	mahal	N;FEM;PL	ADJ;SG
caras	muka	cara	muka	N;FEM;PL	N;SG
caras	wajah	cara	wajah	N;FEM;PL	N;SG
caras	faces	cara	faces	N;FEM;PL	PROPN
supercopa	supercup	supercopa	supercup	N;FEM;SG	PROPN
supercopa	supercopa	supercopa	supercopa	N;FEM;SG	PROPN
turín	torino	turín	torino	N;MASC;SG	PROPN
turín	torino	turín	torino	N;MASC;SG	PROPN
turín	turin	turín	turin	N;MASC;SG	PROPN;SG;ACT
lesiones	cedera	lesión	cedera	N;FEM;PL	N;SG
lesiones	melukai	lesión	menlukai	N;FEM;PL	V;SG;ACT
lesiones	cidera	lesión	cidera	N;FEM;PL	N;SG
lesiones	cedera	lesión	cedera	N;FEM;PL	N;SG
disminución	kurangi	disminución	kurangi	N;FEM;SG	V;SG;ACT
disminución	mengurangi	disminución	menkurangi	N;FEM;SG	V;SG;ACT
disminución	menurun	disminución	menturun	N;FEM;SG	V;SG;ACT
disminución	berkurang	disminución	berkurang	N;FEM;SG	V;SG;ACT
sídney	sydney	sídney	sydney	N;MASC;SG	PROPN
libras	pon	libra	pon	N;MASC;PL	PROPN
libras	lbs	libra	lbs	N;MASC;PL	PROPN
libras	pound	libra	pound	N;MASC;PL	PROPN
libras	pounds	libra	pounds	N;MASC;PL	PROPN
libras	pon	libra	pon	N;MASC;PL	PROPN
modificar	modifikasi	modificar	modifikasi	V;NFIN	N;SG
land	land	land	land	N	PROPN
cedido	dipinjamkan	cedido	dipinjamkan	ADJ;MASC;SG;V.PTCP	V;SG;PASS
definido	ditentukan	definido	ditentukan	ADJ;MASC;SG;V.PTCP	V;SG;PASS
definido	dijelaskan	definido	dijelaskan	ADJ;MASC;SG;V.PTCP	V;SG;PASS
definido	didefinisikan	definido	didefinisikan	ADJ;MASC;SG;V.PTCP	V;SG;PASS
definido	terdefinisi	definido	terdefinisi	ADJ;MASC;SG;V.PTCP	V;SG;PASS
contribuyó	kontribusi	contribuir	kontribusi	V;IND;SG;3;PST;FIN	N;SG
terrestres	terestrial	terrestre	terestrial	N;PL	N;SG
rara	langka	raro	langka	ADJ;FEM;SG	N;SG
rara	rare	raro	rare	ADJ;FEM;SG	PROPN
rara	jarang	raro	jarang	ADJ;FEM;SG	ADV
soviéticos	soviet	soviético	soviet	N;MASC;PL	PROPN
soviéticos	soviet	soviético	soviet	N;MASC;PL	PROPN
figueroa	figueroa	figueroa	figueroa	N;MASC;SG	PROPN
adquirido	diperoleh	adquirido	diperoleh	ADJ;MASC;SG;V.PTCP	V;SG;PASS
adquirido	didapatkan	adquirido	didapatkan	ADJ;MASC;SG;V.PTCP	V;SG;PASS
