در	porte	در	porte	ADP	N;FEM;SG
از	du	از	du	ADP	DET;MASC;SG
که	qui	که	qui	CONJ	PRO
که	oms	که	om	CONJ	N;MASC;SG
که	who	که	who	CONJ	PROPN
که	cela	که	cela	CONJ	PRO;SG
این	ceci	این	ceci	DET	PRO;SG
این	cet	این	ce	DET	PRO;SG;3
این	cela	این	cela	DET	PRO;SG
این	ce	این	ce	DET	PRO;SG;3
را	le	را	le	PART	DET;DEF;MASC;SG
را	les	را	le	PART	DET;DEF;PL
را	la	را	le	PART	DET;DEF;FEM;SG
را	faites	را	faire	PART	V;FEM;PL;PST;V.PTCP
را	faire	را	faire	PART	V;NFIN
میلادی	décennie	میلادی	décennie	ADJ	N;FEM;SG
یک	un	یک	un	NUM	PRO;MASC;SG
یک	une	یک	un	NUM	DET;INDF;FEM;SG
یک	one	یک	one	NUM	PROPN
سال	années	سال	année	N;SG	N;FEM;PL
سال	ans	سال	an	N;SG	N;MASC;PL
آن	anne	آن	anne	DET	N;FEM;SG
ایران	iranienne	ایران	iranien	N;SG	ADJ;FEM;SG
ایران	iran	ایران	iran	N;SG	PROPN
اهل	ahl	اهل	ahl	N;SG	
آمریکا	amerique	آمریکا	amerique	N;SG	ADJ;MASC;SG
آمریکا	amérique	آمریکا	amérique	N;SG	ADJ;MASC;SG
فهرست	listes	فهرست	liste	N;SG	N;FEM;PL
بود	fut	بود#باش	être	V;SG;3;PST	V;IND;SG;3;PST;FIN
بود	etait	بود#باش	etever	V;SG;3;PST	V;IND;SG;3;IPFV;FIN
بود	était	بود#باش	être	V;SG;3;PST	V;IND;SG;3;IPFV;FIN
او	sa	او	son	PRO;SG;3	DET;FEM;SG
او	his	او	his	PRO;SG;3	PROPN
او	ses	او	son	PRO;SG;3	DET;MASC;PL
او	son	او	son	PRO;SG;3	DET;MASC;SG
تا	mai	تا	mai	ADP	N;MASC;SG
تا	may	تا	may	ADP	PROPN
تا	peut	تا	pouvoir	ADP	V;IND;SG;3;PRS;FIN
وابسته	adjectif	وابسته	adjectif	ADJ	N;MASC;SG
وابسته	dépendant	وابسته	dépendre	ADJ	V;PRS;V.PTCP
وابسته	associée	وابسته	associer	ADJ	V;FEM;SG;PST;V.PTCP
وابسته	associées	وابسته	associer	ADJ	V;FEM;PL;PST;V.PTCP
ساعت	horaires	ساعت	horaire	N;SG	N;MASC;PL
ساعت	heures	ساعت	heure	N;SG	N;FEM;PL
ساعت	horloges	ساعت	horloge	N;SG	N;FEM;PL
پایه	fondations	پایه	fondation	N;SG	N;FEM;PL
پایه	fondements	پایه	fondement	N;SG	N;MASC;PL
پایه	fondations	پایه	fondation	N;SG	N;FEM;PL
پایه	basiques	پایه	basique	N;SG	ADJ;MASC;PL
پایه	élémentaire	پایه	élémentaire	N;SG	ADJ;MASC;SG
پایه	basique	پایه	basique	N;SG	ADJ;MASC;SG
نام	nommer	نام	nommer	N;SG	V;NFIN
نام	noms	نام	nom	N;SG	N;MASC;PL
شهر	villes	شهر	ville	N;SG	N;FEM;PL
تاریخ	historique	تاریخ	historique	N;SG	ADJ;MASC;SG
فیلم	films	فیلم	film	N;SG	N;MASC;PL
بخش	sectoriel	بخش	sectoriel	N;SG	ADJ;MASC;SG
جمعیت	foules	جمعیت	foule	N;SG	N;FEM;PL
جمعیت	populations	جمعیت	population	N;SG	N;FEM;PL
دو	two	دو	two	NUM	PROPN
اثر	effets	اثر	effet	N;SG	N;MASC;PL
پس	puis	پس	puis	ADV	CONJ
یکی	someone	یک	someone	NUM	N;MASC;SG
یکی	un	یک	un	NUM	PRO;MASC;SG
یکی	une	یک	un	NUM	DET;INDF;FEM;SG
یکی	one	یک	one	NUM	PROPN
وی	wei	وی	wei	PRO;SG;3	PROPN
وی	wii	وی	wii	PRO;SG;3	N;FEM;SG
دیگر	autre	دیگر	autre	ADV	PRO;SG
دیگر	autres	دیگر	autre	ADV	PRO;PL
دیگر	another	دیگر	another	ADV	V
دیگر	autres	دیگر	autre	ADV	PRO;PL
می	mai	می	mai		N;MASC;SG
می	may	می	may		PROPN
می	peut	می	pouvoir		V;IND;SG;3;PRS;FIN
پیوند	liée	پیوند	lier	N;SG	V;FEM;SG;PST;V.PTCP
پیوند	lié	پیوند	lier	N;SG	V;MASC;SG;PST;V.PTCP
پیوند	relié	پیوند	relier	N;SG	V;MASC;SG;PST;V.PTCP
پیوند	liés	پیوند	lier	N;SG	V;MASC;PL;PST;V.PTCP
پیش	auparavant	پیش	auparavant	ADP	ADV
بحث	argumenter	بحث	argumenter	N;SG	V;NFIN
بحث	discussions	بحث	discussion	N;SG	N;FEM;PL
بیرون	sortir	بیرون	sortir	ADV;ESS	V;NFIN
بیرون	sortie	بیرون	sortir	ADV;ESS	V;FEM;SG;PST;V.PTCP
بیرون	out	بیرون	out	ADV;ESS	PROPN
دهه	décennies	دهه	décennie	N;SG	N;FEM;PL
متر	compteurs	متر	compteur	N;SG	N;MASC;PL
متر	mètres	متر	mètre	N;SG	N;MASC;PL
متر	mètres	متر	mètre	N;SG	N;MASC;PL
قنات	qanat	قنات	qanat	N;SG	PROPN
دانشگاه	universitaire	دانشگاه	universitaire	N;SG	ADJ;MASC;SG
زبان	langues	زبان	langue	N;SG	N;FEM;PL
زبان	langues	زبان	langue	N;SG	N;FEM;PL
زادگان	descendant	زاده	descendre	N;PL	V;PRS;V.PTCP
مسکونی	résidentiel	None	résidentiel	N;SG	ADJ;MASC;SG
مسکونی	résidentielle	None	résidentiel	N;SG	ADJ;FEM;SG
مسکونی	résidentiels	None	résidentiel	N;SG	ADJ;MASC;PL
کار	travaux	کار	travail	N;SG	N;MASC;PL
کار	travailler	کار	travailler	N;SG	V;NFIN
کار	travaillant	کار	travailler	N;SG	V;PRS;V.PTCP
کار	travailler	کار	travailler	N;SG	V;NFIN
بازیگران	tournage	بازیگر	tournage	N;PL	N;MASC;SG
بازیگران	filmer	بازیگر	filmer	N;PL	V;NFIN
روی	roy	رو	roy	ADP	PROPN
روی	zinc	رو	zinc	ADP	N;MASC;SG
فرودگاه	aéroports	فرودگاه	aéroport	N;SG	N;MASC;PL
مرکز	central	مرکز	central	N;SG	ADJ;MASC;SG
مرکز	centrale	مرکز	central	N;SG	ADJ;FEM;SG
مرکز	centrer	مرکز	centrer	N;SG	V;NFIN
زمان	zaman	زمان	zaman	N;SG	PROPN
شرکت	entreprise	شرکت	entreprendre	N;SG	V;FEM;SG;PST;V.PTCP
شرکت	participez	شرکت	participer	N;SG	V;IMP;PL;2;PRS;FIN
شرکت	participer	شرکت	participer	N;SG	V;NFIN
مقاله	articles	مقاله	article	N;SG	N;MASC;PL
تیم	tim	تیم	tim	N;SG	PROPN
انگلیسی	anglaise	انگلیسی	anglais	N;SG	ADJ;FEM;SG
انگلیسی	francais	انگلیسی	francais	N;SG	ADJ;MASC;SG
نظر	commente	نظر	commenter	N;SG	V;IND;SG;3;PRS;FIN
نظر	commenter	نظر	commenter	N;SG	V;NFIN
جهانی	international	جهانی	international	N;SG	ADJ;MASC;SG
جهانی	internationaux	جهانی	international	N;SG	ADJ;MASC;PL
جهانی	internationale	جهانی	international	N;SG	ADJ;FEM;SG
جهانی	universal	جهانی	universal	N;SG	PROPN
جهانی	universels	جهانی	universel	N;SG	ADJ;MASC;PL
جهانی	universelle	جهانی	universel	N;SG	ADJ;FEM;SG
جهانی	universel	جهانی	universel	N;SG	ADJ;MASC;SG
جهانی	global	جهانی	global	N;SG	ADJ;MASC;SG
جهانی	mondiale	جهانی	mondial	N;SG	ADJ;FEM;SG
جهانی	mondial	جهانی	mondial	N;SG	ADJ;MASC;SG
جهانی	mondiaux	جهانی	mondial	N;SG	ADJ;MASC;PL
جهانی	mondial	جهانی	mondial	N;SG	ADJ;MASC;SG
جهانی	mondiale	جهانی	mondial	N;SG	ADJ;FEM;SG
همچنین	également	همچنین	également	CONJ	ADV
همچنین	aussi	همچنین	aussi	CONJ	ADV
همچنین	egalement	همچنین	egalement	CONJ	ADV
همچنین	trop	همچنین	trop	CONJ	ADV
همچنین	too	همچنین	too	CONJ	INTJ
همچنین	pareillement	همچنین	pareillement	CONJ	ADV
زندگی	vivante	زندگی	vivant	N;SG	ADJ;FEM;SG
زندگی	vivants	زندگی	vivant	N;SG	ADJ;MASC;PL
زندگی	vivant	زندگی	vivre	N;SG	V;PRS;V.PTCP
زندگی	vivre	زندگی	vivre	N;SG	V;NFIN
زن	femelle	زن	femelle	N;SG	ADJ;FEM;SG
زن	femelles	زن	femelle	N;SG	N;FEM;PL
زن	féminin	زن	féminin	N;SG	ADJ;MASC;SG
زن	femmes	زن	femme	N;SG	N;FEM;PL
زیر	dessous	زیر	dessous	ADP	N;MASC;SG
زیر	under	زیر	under	ADP	PROPN
آنها	elles	آن	il	PRO;PL	PRO;FEM;PL;3
آنها	ils	آن	il	PRO;PL	PRO;MASC;PL;3
هستند	sont	هست	être	V;PL;3;PRS	V;IND;PL;3;PRS;FIN
تهران	téhéran	تهران	téhéran	N;SG	PROPN
بازی	jeux	بازی	jeu	N;SG	N;MASC;PL
بازی	jouer	بازی	jouer	N;SG	V;NFIN
بازی	jouez	بازی	jouer	N;SG	V;IMP;PL;2;PRS;FIN
سرشماری	recensements	سرشماری	recensement	N;SG	N;MASC;PL
فرانسه	francais	فرانسه	francais	N;SG	ADJ;MASC;SG
فرانسه	française	فرانسه	français	N;SG	ADJ;FEM;SG
فرانسه	français	فرانسه	français	N;SG	ADJ;MASC;SG
فرانسه	françaises	فرانسه	français	N;SG	ADJ;FEM;PL
باید	doit	بایست#باید	devoir	V;NFIN	V;IND;SG;3;PRS;FIN
باید	moût	بایست#باید	moût	V;NFIN	N;MASC;SG
باید	doivent	بایست#باید	devoir	V;NFIN	V;IND;PL;3;PRS;FIN
باید	devez	بایست#باید	devoir	V;NFIN	V;IMP;PL;2;PRS;FIN
دست	mains	دست	main	N;SG	N;FEM;PL
